title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	
		FOODON:03000411			Turkey meat (ground or minced, boneless) [FOODON:03000411]				
		FOODON:00003325		Turkey thigh [FOODON:00003325]				A thigh poultry cut of turkey.	
		FOODON:00003329			Turkey thigh (skinless) [FOODON:00003329]			A turkey thigh after the skin has been removed.	
		FOODON:03000370			Turkey thigh (skinless, boneless) [FOODON:03000370]				
		FOODON:00003328			Turkey thigh (with skin) [FOODON:00003328]			A turkey thigh that still contains the skin.	
		FOODON:03000382				Turkey upper thigh [FOODON:03000382]		Meat from the upper thigh of a turkey.	
		FOODON:03000384				Turkey upper thigh (with skin) [FOODON:03000384]		Turkey's upper thigh that contains the skin.	
		FOODON:03000371		Turkey wing [FOODON:03000371]					
		FOODON:00003083		Veal [FOODON:00003083]				Veal is the meat of calves, in contrast to the beef from older cattle. Veal can be produced from a calf of either sex and any breed; however, most veal comes from young males of dairy breeds which are not used for breeding.	
		OODON:000039111			Formula fed veal [FOODON:000039111]				
		FOODON:00004280			Grain-fed veal [FOODON:00004280]			Meat from a calf that is raised on grain, hay, or other solid food, in addition to milk	
									
									
food_product_properties menu	FoodProductPropertiesMenu	FOODON:03510128	Organic food claim or use [FOODON:03510128]					USA: The 1990 Farm Act specifies that a food labeled 'organic' must meet four requirements: 1) the food must be raised by specified methods to replenish and maintain the fertility of the soil; 2) the food must be certified as having been produced with a nationally approved list of materials and practices; 3) to be eligible for certification at least three years must have elapsed between the first organic harvest and first use of nationally approved materials on land and crops;and 4) organic foods must meet all local, state and federal regulations governing the quality and safety of the food supply. Europe: Foods produced in accordance with Council Regulation (EC) No 834/2007 of 28 June 2007 on organic production and labelling of organic products and repealing Regulation (EEC) No 2092/91. [http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2007:189:0001:0023:EN:PDF]	
		FOODON:03311126	Food (raw) [FOODON:03311126]					A food material that has not been cooked.	
		FOODON:03316043	Food (heat treated) [FOODON:03316043]						
		FOODON:00002654	Food (pasteurized) [FOODON:00002654]						
			Dairy product (no fat removed, whole)						
			Dairy product (skimmed, non-fat)						
			Dairy product (semi-skimmed, reduced fat, 1%)						
			Dairy product (semi-skimmed, reduced fat, 2%)						
									
food_packaging menu	FoodPackagingMenu	FOODON:03490214	Bottle [FOODON:03490214					A rigid or semirigid container typically of glass or plastic having a comparatively narrow neck or mouth and usually no handle.	
		FOODON:03490197	Bag [FOODON:03490197]					According to FSTA Thesaurus Packaging 3.1 package types, includes boil-in bag, carrier bag, flat bag, inner bag, retort pouch, shipping bag, valve bag, and valve sack	
		FOODON:03490213	Carton [FOODON:03490213]						
									
environmental_site menu	EnvironmentalSiteMenu	ENVO:01000925	Abattoir [ENVO:01000925]					A facility in which non-human animals are slaughtered and processed for human consumption.	
		ENVO:00000114	Agricultural Field [ENVO:00000114]					A field which is located on land and used for agricultural purposes, such as the grazing of livestock or the cultivation of crops.	
		ENVO:01000922	Animal cage [ENVO:01000922]        					A manufactured cage which may be used to confine, contain, or protect an animal.	
		ENVO:03501406	Artificial wetland [ENVO:03501406]					A wetland ecosystem which is constructed to treat municipal or industrial wastewater, greywater or stormwater runoff.	
		ENVO:03501441	Breeding ground [ENVO:03501441]					A place where animals breed.	
		ENVO:00000073	Building [ENVO:00000073]					A permanent walled and roofed construction.	
		ENVO:03501257	Barn [ENVO:03501257]					A farm building used for housing livestock, storing machinery or crops etc	
		ENVO:03501383		Breeder barn [ENVO:03501383]				A barn where animals are kept for breeding purposes.	
		ENVO:03501386		Broiler barn [ENVO:03501386]				A barn where broiler chickens are reared.	
		ENVO:03501385		Sheep barn [ENVO:03501385]				A barn where sheep are kept. 	
		ENVO:00003862	Dairy [ENVO:00003862]					A dairy is a building in which animal milk is harvested and, optionally, processed for human consumption.	
		ENVO:00000078	Farm [ENVO:00000078]					An area of land which is used for the cultivation of crops or grazing of livestock, including any agricultural constructions therein.	
		ENVO:03501443		Beef farm [ENVO:03501443]				A farm where cows are kept for the purpose of meat production.	
		ENVO:03501384		Breeder farm [ENVO:03501384]				A farm where animals are kept for breeding purposes.	
		ENVO:03501416		Dairy farm [ENVO:03501416]				A farm where cows are kept for the purpose of producing milk and other dairy products.	
		ENVO:01000627		Feedlot [ENVO:01000627]				A feedlot is a plot of land on which livestock are fattened for market [URL:http://www.merriam-webster.com/dictionary/feedlot ].	
		ENVO:03501444			Beef cattle feedlot [ENVO:03501444]			A feedlot where beef cattle are kept with a focus on efficient growth and weight gain of the animals.	
		ENVO:00000294		Fish farm [ENVO:00000294]				A facility in which fish are raised commercially in tanks or enclosures, usually for food.	
		ENVO:03501417		Research farm [ENVO:03501417]				A farm which is used for conducting agricultural research.	
		GAZ:00004603		Central Experimental Farm [GAZ:00004603]				An agricultural facility, working farm, and research centre of the Research Branch of Agriculture and Agri-Food Canada. This farm is centrally located in and completely surrounded by the City of Ottawa, Ontario, Canada. The CEF is bordered by the Rideau Canal (a National Historic Site as well) to the east, by Baseline Road to the south, by Merivale and Fisher Roads to the west, and Carling Avenue to the north.	
		ENVO:01000306	Freshwater environment [ENVO:01000306]					An aquatic environment which is determined by freshwater.	
		ENVO:01001873	Hatchery [ENVO:01001873]					A construction in which eggs are hatched under artificial conditions.	
		ENVO:01001874		Poultry hatchery [ENVO:01001874]				A hatchery in which the eggs of poultry are hatched under artificial conditions	
		ENVO:00002173	Hospital [ENVO:00002173]					A building in which health care services are provided by specialized staff and equipment.	
		ENVO:00000020	Lake [ENVO:00000020]					A body of water or other liquid of considerable size contained in a depression on a landmass.	
		ENVO:00000033	Pond [ENVO:00000033]					A body of water, usually of smaller size than a lake.	
		ENVO:00000025	Reservoir [ENVO:00000025]					An artificial body of water, often contained by a dam, constructed for the purpose of water storage.	
		ENVO:00000450		Irrigation reservoir [ENVO:00000450]				A reservoir constructed for the purpose of providing water for irrigation.	
		ENVO:01001448	Retail environment [ENVO:01001448]					A planned environmental usage process during which an environment supports the sale of goods to ultimate consumers, usually in small quantities.	
		ENVO:00002221		Shop [ENVO:00002221]				A building in which a business presents a selection of goods and offers to trade or sell them to customers for money or other goods.	
		ENVO:01000984			Supermarket [ENVO:01000984]			A food shop in which food products are the primary offer for sale or trade. 	
		ENVO:00000022	River [ENVO:00000022]					A stream which, through permanent or seasonal flow processes, moves from elevated land towards lower elevations through a definite channel and empties either into a sea, lake, or another river or ends on land as bed seepage and evapotranspiration exceed water supply.	
		ENVO:03501439	Roost (bird) [ENVO:03501439]					A perch on which birds rest.	
		ENVO:00002272	Wastewater treatment plant [ENVO:00002272]					A plant in which wastewater is treated.	
		ENVO:00000043	Wetland [ENVO:00000043]					An area that is inundated or saturated by surface or ground water at a frequency and duration sufficient to support, and that under normal circumstances do support, a prevalence of vegetation typically adapted for life in saturated soil conditions.	
									
environmental_material menu	EnvironmentalMaterialMenu	ENVO:00002005	Air [ENVO:00002005]					The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.	
		AGRO:00000079	Animal manure [AGRO:00000079]					Organic matter mostly derived from animal feces which can be used as organic fertilizer in agriculture.	
		AGRO:00000675	Animal feeding equipment [AGRO:00000675]					An equipment used to feed and water livestock animals. 	
		AGRO:00000679		Animal feeder [AGRO:00000679]				An animal feeding equipment that has a food storage unit and which enables livestock to obtain their own food.	
		AGRO:00000680		Animal drinker [AGRO:00000680]				An animal feeding equipment that has a water storage unit which enables livestock to obtain their own water.	
		AGRO:00000676		Feed pan [AGRO:00000676]				A bowl or pan which is used to feed livestock.	
		AGRO:00000677		Watering bowl [AGRO:00000677]				A bowl from which animals can drink.	
		AGRO:00000671	Animal transportation equipment [AGRO:00000671]					An equipment used in the transportation of an animal	
		GENEPIO:0100896		Dead haul trailer [GENEPIO:0100896]				A trailer used by a dead haul truck to transport dead animal from an abattoir.	
		AGRO:00000673		Dead haul truck [AGRO:00000673]				A truck used to haul dead animals from an abattoir.	
		GENEPIO:0100897		Live haul trailer [GENEPIO:0100897]				A trailer used by a live haul truck to transport live animals.	
		AGRO:00000674		Live haul truck [AGRO:00000674]				A truck used to haul live animals.	
		NCIT:C49844	Belt [NCIT:C49844]					A device consisting of a narrow loop of material moving over shafts or pulleys.	
		AGRO:00000670		Egg belt [AGRO:00000670]				A conveyor belt used to collect eggs in an industrial egg production environment.	
		AGRO:00000669		Plucking belt [AGRO:00000669]				A part of the plucking machine that moves the birds through the stages of plucking within the plucking apparatus.	
		ENVO:00002059	Biosolids [ENVO:00002059]					A treated form of sludge, sometimes used as a fertilizer in agriculture.	
		GSSO:012935	Boot [GSSO:012935]					A footwear which covers the foot, the ankle, and sometimes the leg below the knee.	
		OBI:0002806		Boot cover [OBI:0002806]				A personal protective device which is an impermiable material which covers a shoe or boot in order to prevent spread of specific environmental contaminants.	
		ENVO:03501431	Broom [ENVO:03501431]					A cleaning equipment piece which is a bundle of fibres attached to a long handle, and is used for sweeping.	
		ENVO:03501379	Bulk tank [ENVO:03501379]					A manufactured product which used to safely store and/or transport solids, liquids, gases and a variety of compounds and mixtures.	
		AGRO:00000678	Chick box [AGRO:00000678]					The box which is used to transport chick (juvenile chicken).	
		AGRO:00000672	Chick pad [AGRO:00000672]					The lining of a box or crate used to transport chicks (juvenile chickens).	
		ENVO:03501430	Cleaning equipment [ENVO:03501430]					An equipment piece used for cleaning a built environment or a manufactured product.	
		ENVO:00002170	Compost [ENVO:00002170]					The aerobically decomposed remnants of organic materials. 	
		ENVO:03501372	Crate [ENVO:03501372]					A manufactured product which is a container, traditionally made of wooden slates, designed to protect transported goods from damage.	
		ENVO:03501400	Dumpster [ENVO:03501400]					A manufactured product which is a reusable container that accumulates waste until it is periodically emptied or replaced.	
		ENVO:00002008	Dust [ENVO:00002008]					Minute solid particles with diameters less than 500 micrometers. Occurs in and may be deposited from, the atmosphere. 	
		NCIT:C49947	Fan [NCIT:C49947]					A device designed to create an air current through the rotation of a planar surface.	
		ENVO:03501415	Freezer [ENVO:03501415]					A manufactured product which is a device used to keep things frozen by maintaining a temperature below the freezing point of water.	
		ENVO:03501414		Freezer handle [ENVO:03501414]				A manufactured product which is the handle of a freezer door.	
		ENVO:03501424	Manure digester equipment [ENVO:03501424]					An equipment piece which is used in the aerobic or anaerobic microbial digestion of manure.	
		ENVO:03501432	Nest [ENVO:03501432]					A structure that is built for certain animals to hold eggs or young.	
		ENVO:00005805		Bird's nest [ENVO:00005805]				A bird nest is the spot in which a bird lays and incubates its eggs and raises its young. [ https://en.wikipedia.org/wiki/Bird_nest ]	
		ENVO:00000134	Permafrost [ENVO:00000134]					Soil or rock and included ice or organic material at or below the freezing point of water (0 degrees Celsius or 32 degrees Fahrenheit) for two or more years.	
		UBERON:0008291	Poultry fluff [UBERON:0008291]					A feather lacking a vane and having a rudimentary rachis and a tuft of non-interlocked barbs with elongated barbules extending from the calamus.	
		AGRO:00000080	Poultry litter [AGRO:00000080]					Manure which is primarily composed of pig feces.	
		ENVO:00002007	Sediment [ENVO:00002007]					Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid. 	
		ENVO:00001998	Soil [ENVO:00001998]					Soil is an environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms.	
		ENVO:00002259		Agricultural soil [ENVO:00002259]				A type of soil used for agriculture that supports the physical, chemical, and biological needs of the desired crop during production.	
		ENVO:00002261		Forest soil [ENVO:00002261]				A portion of soil which is found in a forested area.	
		ENVO:00003869	Straw [ENVO:00003869]					An agricultural byproduct, the dry stalk of a cereal plant, after the nutrient grain or seed has been removed.	
		CHEBI:15377	Water [CHEBI:15377]					An oxygen hydride consisting of an oxygen atom that is covalently bonded to two hydrogen atoms.	
		ENVO:00003064		Drinking water [ENVO:00003064]				Water which is suitable for consumption by humans 	
		ENVO:03501436		Fecal slurry [ENVO:03501436]				A mixture of fecal material mixed, buffer, and other materials, that is homogenized and strained and used in fecal microbiota translpantation.	
		GENEPIO:0004323		Fluid from meat rinse [GENEPIO:0004323]					
		ENVO:01001004		Groundwater [ENVO:01001004]				Underground water which is located in pore spaces found in rock or unconsolidated deposits such as soil, clay, or gravel.	
		AGRO:00000693		Poultry plucking water [AGRO_00000693]				A type of water obtained from rinsing poultry carcasses during the feather plucking process.	
		ENVO:03501408		Surface runoff [ENVO:03501408]				Surface water which is 1) from some rainwater, stormwater, meltwater, or other local source and 2) which can no longer sufficiently rapidly infiltrate into soil, and instead flows along a drainage slope.	
		ENVO:00002042		Surface water [ENVO:00002042]				Water that is found on the surface of an astronomical object.	
		ENVO:00002001		Wastewater [ENVO:00002001]				Water that has been adversely affected in quality by anthropogenic influence	
