label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
env_broad_scale	environment field	xs:token	required	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvOs biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	oceanic epipelagic zone biome [ENVO:01000033] for annotating a water sample from the photic zone in middle of the Atlantic Ocean	Expected value: The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.. Position: 10.0	MIXS:0000012					
env_local_scale	environment field	xs:token	required	Report the entity or entities which are in the sample or specimens local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	litter layer [ENVO:01000338]; Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336].	Expected value: Environmental entities having causal influences upon the entity at time of sampling.. Position: 11.0	MIXS:0000013					
env_medium	environment field	xs:token	required	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	soil [ENVO:00001998]; Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air [ENVO_00002005]	Expected value: The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483].. Position: 12.0	MIXS:0000014					
fertilizer_regm	core field	xs:token		Information about treatment involving the use of fertilizers; should include the name of fertilizer, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fertilizer regimens	urea;0.6 milligram per liter;R2/2018-05-11:T14:30/2018-05-11T19:30/P1H30M	Expected value: fertilizer name;fertilizer amount;treatment interval and duration. Preferred unit: gram, mole per liter, milligram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000556					
fungicide_regm	core field	xs:token		Information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fungicide regimens	bifonazole;1 mole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: fungicide name;fungicide amount;treatment interval and duration. Preferred unit: gram, mole per liter, milligram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000557					
gaseous_environment	core field	xs:token		Use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens	nitric oxide;0.5 micromole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: gaseous compound name;gaseous compound amount;treatment interval and duration. Preferred unit: micromole per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000558					
genetic_mod	core field	xs:token		Genetic modifications of the genome of an organism, which may occur naturally by spontaneous mutation, or be introduced by some experimental means, e.g. specification of a transgene or the gene knocked-out or details of transient transfection	aox1A transgenic	Expected value: PMID,DOI,url or free text. Occurrence: 1. Position: 3.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000859					
geo_loc_name	environment field	xs:token	required	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	USA: Maryland, Bethesda	Expected value: country or sea name (INSDC or GAZ): region(GAZ), specific location name. Position: 8.0	MIXS:0000010					
gravity	core field	xs:token		Information about treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple treatments	12 g;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: gravity factor value;treatment interval and duration. Preferred unit: meter per square second, g. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000559					
growth_facil	core field	xs:token		Type of facility where the sampled plant was grown; controlled vocabulary: growth chamber, open top chamber, glasshouse, experimental garden, field. Alternatively use Crop Ontology (CO) terms, see http://www.cropontology.org/ontology/CO_715/Crop%20Research	Growth chamber [CO_715:0000189]	Expected value: free text or CO. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001043					
growth_habit	core field	select		Characteristic shape, appearance or growth form of a plant species	spreading	Expected value: enumeration. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001044					
growth_hormone_regm	core field	xs:token		Information about treatment involving use of growth hormones; should include the name of growth hormone, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple growth hormone regimens	abscisic acid;0.5 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: growth hormone name;growth hormone amount;treatment interval and duration. Preferred unit: gram, mole per liter, milligram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000560					
herbicide_regm	core field	xs:token		Information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	atrazine;10 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: herbicide name;herbicide amount;treatment interval and duration. Preferred unit: gram, mole per liter, milligram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000561					
host_age	core field	xs:token		Age of host at the time of sampling; relevant scale depends on species and study, e.g. Could be seconds for amoebae or centuries for trees	10 days	Expected value: value. Preferred unit: year, day, hour. Occurrence: 1. Position: 9.0. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0000255					
host_common_name	core field	xs:token		Common name of the host.	human	Expected value: common name. Occurrence: 1. Position: 4.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000248					
host_dry_mass	core field	xs:token		Measurement of dry mass	500 gram	Expected value: measurement value. Preferred unit: kilogram, gram. Occurrence: 1. Position: 30.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000257					
host_genotype	core field	xs:token		Observed genotype	C57BL/6	Expected value: genotype. Occurrence: 1. Position: 27.0. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0000365					
host_height	core field	xs:token		The height of subject	0.1 meter	Expected value: measurement value. Preferred unit: centimeter, millimeter, meter. Occurrence: 1. Position: 18.0. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0000264					
host_infra_spec_name	core field	xs:token		Taxonomic information about the host below subspecies level	borealis	Expected value: name. Occurrence: 1. Position: 25.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000253					
host_infra_spec_rank	core field	xs:token		Taxonomic rank information about the host below subspecies level, such as variety, form, rank etc.	subspecies	Expected value: rank. Occurrence: 1. Position: 26.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000254					
host_length	core field	xs:token		The length of subject	1 meter	Expected value: measurement value. Preferred unit: centimeter, millimeter, meter. Occurrence: 1. Position: 19.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000256					
host_life_stage	core field	xs:token		Description of life stage of host	adult	Expected value: stage. Occurrence: 1. Position: 10.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000251					
host_phenotype	core field	xs:token		Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	elongated [PATO:0001154]	Expected value: PATO or HP. Occurrence: 1. Position: 28.0. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0000874					
host_subspecf_genlin	core field	xs:token		Information about the genetic distinctness of the host organism below the subspecies level, e.g., serovar, serotype, biotype, ecotype, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.	subvariety:glabrum	Expected value: Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, plus genetic lineage name.. Occurrence: m. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0001318					
host_symbiont	core field	xs:token		The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host.	flukeworms	Expected value: species name or common name. Occurrence: m. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0001298					
host_taxid	core field	xs:token		NCBI taxon id of the host, e.g. 9606	7955	Expected value: NCBI taxon identifier. Occurrence: 1. Position: 7.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000250					
host_tot_mass	core field	xs:token		Total mass of the host at collection, the unit depends on host	2500 gram	Expected value: measurement value. Preferred unit: kilogram, gram. Occurrence: 1. Position: 17.0. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0000263					
host_wet_mass	core field	xs:token		Measurement of wet mass	1500 gram	Expected value: measurement value. Preferred unit: kilogram, gram. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000567					
humidity_regm	core field	xs:token		Information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	25 gram per cubic meter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: humidity value;treatment interval and duration. Preferred unit: gram per cubic meter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000568					
lat_lon	environment field	xs:token	required	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	50.586825 6.408977	Expected value: decimal degrees,  limit to 8 decimal points. Position: 5.0	MIXS:0000009					
light_regm	core field	xs:token		Information about treatment(s) involving exposure to light, including both light intensity and quality.	incandescant light;10 lux;450 nanometer	Expected value: exposure type;light intensity;light quality. Preferred unit: lux; micrometer, nanometer, angstrom. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000569					
mechanical_damage	core field	xs:token		Information about any mechanical damage exerted on the plant; can include multiple damages and sites	pruning;bark	Expected value: damage type;body site. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001052					
mineral_nutr_regm	core field	xs:token		Information about treatment involving the use of mineral supplements; should include the name of mineral nutrient, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple mineral nutrient regimens	potassium;15 gram;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: mineral nutrient name;mineral nutrient amount;treatment interval and duration. Preferred unit: gram, mole per liter, milligram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000570					
misc_param	core field	xs:token		Any other measurement performed or parameter collected, that is not listed here	Bicarbonate ion concentration;2075 micromole per kilogram	Expected value: parameter name;measurement value. Occurrence: m. Position: 1.0. This field is used in: 16 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, wastewater_sludge, water	MIXS:0000752					
non_min_nutr_regm	core field	xs:token		Information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple non-mineral nutrient regimens	carbon dioxide;10 mole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: non-mineral nutrient name;non-mineral nutrient amount;treatment interval and duration. Preferred unit: gram, mole per liter, milligram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000571					
organism_count	core field	select		Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	total prokaryotes;3.5e7 cells per milliliter;qPCR	Expected value: organism name;measurement value;enumeration. Preferred unit: number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter. Occurrence: m. Position: 1.0. This field is used in: 16 packages: air, built environment, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000103					
oxy_stat_samp	core field	select		Oxygenation status of sample	aerobic	Expected value: enumeration. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000753					
perturbation	core field	xs:token		Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	Expected value: perturbation type name;perturbation interval and duration. Occurrence: m. Position: 1.0. This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000754					
pesticide_regm	core field	xs:token		Information about treatment involving use of insecticides; should include the name of pesticide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple pesticide regimens	pyrethrum;0.6 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: pesticide name;pesticide amount;treatment interval and duration. Preferred unit: gram, mole per liter, milligram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000573					
ph_regm	core field	xs:token		Information about treatment involving exposure of plants to varying levels of ph of the growth media, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimen	7.6;R2/2018-05-11:T14:30/2018-05-11T19:30/P1H30M	Expected value: measurement value;treatment interval and duration. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001056					
plant_growth_med	core field	select		Specification of the media for growing the plants or tissue cultured samples, e.g. soil, aeroponic, hydroponic, in vitro solid culture medium, in vitro liquid culture medium. Recommended value is a specific value from EO:plant growth medium (follow this link for terms http://purl.obolibrary.org/obo/EO_0007147) or other controlled vocabulary	hydroponic plant culture media [EO:0007067]	Expected value: EO or enumeration. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001057					
plant_product	core field	xs:token		Substance produced by the plant, where the sample was obtained from	xylem sap [PO:0025539]	Expected value: product name. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001058					
plant_sex	core field	select		Sex of the reproductive parts on the whole plant, e.g. pistillate, staminate, monoecieous, hermaphrodite.	Hermaphroditic	Expected value: enumeration. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001059					
plant_struc	core field	xs:token		Name of plant structure the sample was obtained from; for Plant Ontology (PO) (v releases/2017-12-14) terms, see http://purl.bioontology.org/ontology/PO, e.g. petiole epidermis (PO_0000051). If an individual flower is sampled, the sex of it can be recorded here.	epidermis [PO:0005679]	Expected value: PO. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001060					
radiation_regm	core field	xs:token		Information about treatment involving exposure of plant or a plant part to a particular radiation regimen; should include the radiation type, amount or intensity administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple radiation regimens	gamma radiation;60 gray;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: radiation type name;radiation amount;treatment interval and duration. Preferred unit: rad, gray. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000575					
rainfall_regm	core field	xs:token		Information about treatment involving an exposure to a given amount of rainfall, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	15 millimeter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: measurement value;treatment interval and duration. Preferred unit: millimeter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000576					
root_cond	core field	xs:token		Relevant rooting conditions such as field plot size, sowing density, container dimensions, number of plants per container.	http://himedialabs.com/TD/PT158.pdf	Expected value: PMID,DOI,url or free text. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001061					
root_med_carbon	core field	xs:token		Source of organic carbon in the culture rooting medium; e.g. sucrose.	sucrose	Expected value: carbon source name;measurement value. Preferred unit: milligram per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000577					
root_med_macronutr	core field	xs:token		Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S); e.g. KH2PO4 (170mg/L).	KH2PO4;170milligram per liter	Expected value: macronutrient name;measurement value. Preferred unit: milligram per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000578					
root_med_micronutr	core field	xs:token		Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo); e.g. H3BO3 (6.2mg/L).	H3BO3;6.2milligram per liter	Expected value: micronutrient name;measurement value. Preferred unit: milligram per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000579					
root_med_ph	core field	xs:decimal		pH measurement of the culture rooting medium; e.g. 5.5.	7.5	Expected value: measurement value. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001062					
root_med_regl	core field	xs:token		Growth regulators in the culture rooting medium such as cytokinins, auxins, gybberellins, abscisic acid; e.g. 0.5mg/L NAA.	abscisic acid;0.75 milligram per liter	Expected value: regulator name;measurement value. Preferred unit: milligram per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000581					
root_med_solid	core field	xs:token		Specification of the solidifying agent in the culture rooting medium; e.g. agar.	agar	Expected value: name. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001063					
root_med_suppl	core field	xs:token		Organic supplements of the culture rooting medium, such as vitamins, amino acids, organic acids, antibiotics activated charcoal; e.g. nicotinic acid (0.5mg/L).	nicotinic acid;0.5 milligram per liter	Expected value: supplement name;measurement value. Preferred unit: milligram per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000580					
salinity	core field	xs:token		The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.	25 practical salinity unit	Expected value: measurement value. Preferred unit: practical salinity unit, percentage. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000183					
salt_regm	core field	xs:token		Information about treatment involving use of salts as supplement to liquid and soil growth media; should include the name of salt, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple salt regimens	NaCl;5 gram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: salt name;salt amount;treatment interval and duration. Preferred unit: gram, microgram, mole per liter, gram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000582					
samp_capt_status	core field	select		Reason for the sample	farm sample	Expected value: enumeration. Occurrence: 1. Position: 5.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000860					
samp_dis_stage	core field	select		Stage of the disease at the time of sample collection, e.g. inoculation, penetration, infection, growth and reproduction, dissemination of pathogen.	infection	Expected value: enumeration. Occurrence: 1. Position: 6.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000249					
