label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
env_medium	environment field	xs:token	required	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	soil [ENVO:00001998]; Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air [ENVO_00002005]	Expected value: The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483].. Position: 12.0	MIXS:0000014					
gaseous_substances	core field	xs:token		Amount or concentration of substances such as hydrogen sulfide, carbon dioxide, methane, etc.; can include multiple substances		Expected value: gaseous substance name;measurement value. Preferred unit: micromole per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000661					
geo_loc_name	environment field	xs:token	required	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	USA: Maryland, Bethesda	Expected value: country or sea name (INSDC or GAZ): region(GAZ), specific location name. Position: 8.0	MIXS:0000010					
indust_eff_percent	core field	xs:token		Percentage of industrial effluents received by wastewater treatment plant		Expected value: measurement value. Preferred unit: percentage. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000662					
inorg_particles	core field	xs:token		Concentration of particles such as sand, grit, metal particles, ceramics, etc.; can include multiple particles		Expected value: inorganic particle name;measurement value. Preferred unit: mole per liter, milligram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000664					
lat_lon	environment field	xs:token	required	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	50.586825 6.408977	Expected value: decimal degrees,  limit to 8 decimal points. Position: 5.0	MIXS:0000009					
misc_param	core field	xs:token		Any other measurement performed or parameter collected, that is not listed here	Bicarbonate ion concentration;2075 micromole per kilogram	Expected value: parameter name;measurement value. Occurrence: m. Position: 1.0. This field is used in: 16 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, wastewater_sludge, water	MIXS:0000752					
nitrate	core field	xs:token		Concentration of nitrate in the sample	65 micromole per liter	Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 61.0. This field is used in: 7 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	MIXS:0000425					
org_particles	core field	xs:token		Concentration of particles such as faeces, hairs, food, vomit, paper fibers, plant material, humus, etc.		Expected value: particle name;measurement value. Preferred unit: gram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000665					
organism_count	core field	select		Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	total prokaryotes;3.5e7 cells per milliliter;qPCR	Expected value: organism name;measurement value;enumeration. Preferred unit: number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter. Occurrence: m. Position: 1.0. This field is used in: 16 packages: air, built environment, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000103					
oxy_stat_samp	core field	select		Oxygenation status of sample	aerobic	Expected value: enumeration. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000753					
perturbation	core field	xs:token		Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	Expected value: perturbation type name;perturbation interval and duration. Occurrence: m. Position: 1.0. This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000754					
ph	core field	xs:decimal		Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	7.2	Expected value: measurement value. Occurrence: 1. Position: 54.0. This field is used in: 8 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, soil, wastewater_sludge, water	MIXS:0001001					
phosphate	core field	xs:token		Concentration of phosphate	0.7 micromole per liter	Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 5 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	MIXS:0000505					
pre_treatment	core field	xs:token		The process of pre-treatment removes materials that can be easily collected from the raw wastewater		Expected value: pre-treatment type. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000348					
primary_treatment	core field	xs:token		The process to produce both a generally homogeneous liquid capable of being treated biologically and a sludge that can be separately treated or processed		Expected value: primary treatment type. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000349					
reactor_type	core field	xs:token		Anaerobic digesters can be designed and engineered to operate using a number of different process configurations, as batch or continuous, mesophilic, high solid or low solid, and single stage or multistage		Expected value: reactor type name. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000350					
salinity	core field	xs:token		The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.	25 practical salinity unit	Expected value: measurement value. Preferred unit: practical salinity unit, percentage. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000183					
samp_salinity	core field	xs:token		Salinity is the total concentration of all dissolved salts in a liquid or solid (in the form of an extract obtained by centrifugation) sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater	1 milligram per liter	Expected value: measurement value. Preferred unit: milligram per liter, practical salinity unit, percentage. Occurrence: 1. Position: 1.0. This field is used in: 11 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, plant-associated, wastewater_sludge	MIXS:0000109					
samp_store_dur	core field	xs:token		Duration for which the sample was stored	P1Y6M	Expected value: duration. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000116					
samp_store_loc	core field	xs:token		Location at which sample was stored, usually name of a specific freezer/room	Freezer no:5	Expected value: location name. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000755					
samp_store_temp	core field	xs:token	required	Temperature at which sample was stored, e.g. -80 degree Celsius	-80 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000110					
secondary_treatment	core field	xs:token		The process for substantially degrading the biological content of the sewage		Expected value: secondary treatment type. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000351					
sewage_type	core field	xs:token		Type of wastewater treatment plant as municipial or industrial		Expected value: sewage type name. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000215					
sludge_retent_time	core field	xs:token		The time activated sludge remains in reactor		Expected value: measurement value. Preferred unit: hours. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000669					
sodium	core field	xs:token		Sodium concentration in the sample	10.5 milligram per liter	Expected value: measurement value. Preferred unit: milligram per liter, parts per million. Occurrence: 1. Position: 66.0. This field is used in: 7 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	MIXS:0000428					
soluble_inorg_mat	core field	xs:token		Concentration of substances such as ammonia, road-salt, sea-salt, cyanide, hydrogen sulfide, thiocyanates, thiosulfates, etc.		Expected value: soluble inorganic material name;measurement value. Preferred unit: gram, microgram, mole per liter, gram per liter, parts per million. Occurrence: m. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000672					
soluble_org_mat	core field	xs:token		Concentration of substances such as urea, fruit sugars, soluble proteins, drugs, pharmaceuticals, etc.		Expected value: soluble organic material name;measurement value. Preferred unit: gram, microgram, mole per liter, gram per liter, parts per million. Occurrence: m. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000673					
suspend_solids	core field	xs:token		Concentration of substances including a wide variety of material, such as silt, decaying plant and animal matter; can include multiple substances		Expected value: suspended solid name;measurement value. Preferred unit: gram, microgram, milligram per liter, mole per liter, gram per liter, part per million. Occurrence: m. Position: 76.0. This field is used in: 3 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, wastewater_sludge	MIXS:0000150					
temp	environment field	xs:token		Temperature of the sample at the time of sampling.	25 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Position: 40.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000113					
tertiary_treatment	core field	xs:token		The process providing a final treatment stage to raise the effluent quality before it is discharged to the receiving environment		Expected value: tertiary treatment type. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000352					
tot_nitro	core field	xs:token		Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen	50 micromole per liter	Expected value: measurement value. Preferred unit: microgram per liter, micromole per liter, milligram per liter. Occurrence: 1. Position: 64.0. This field is used in: 4 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, wastewater_sludge, water	MIXS:0000102					
tot_phosphate	core field	xs:token		Total amount or concentration of phosphate		Expected value: measurement value. Preferred unit: microgram per liter, micromole per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000689					
wastewater_type	core field	xs:token		The origin of wastewater such as human waste, rainfall, storm drains, etc.		Expected value: wastewater type name. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000353					
ATP	organism_count											
MPN	organism_count											
other	organism_count											
aerobic	oxy_stat_samp											
anaerobic	oxy_stat_samp											
other	oxy_stat_samp											
