Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples
	optional	perturbation	xs:token								perturbation		perturbation type name {text}; perturbation interval and duration {Rn/start_time/end_time/duration}
	optional	ph	xs:decimal								pH		{float}
	optional	ph_meth	xs:token								pH method		{PMID}|{DOI}|{URL}
	optional	phosphate	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	phosphate		{float} {unit}
	optional	pre_treatment	xs:token								pre-treatment		{text}
	optional	primary_treatment	xs:token								primary treatment		{text}
	optional	reactor_type	xs:token								reactor type		{text}
	optional	samp_salinity	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	sample salinity		{float} {unit}
	optional	secondary_treatment	xs:token								secondary treatment		{text}
	optional	sewage_type	xs:token								sewage type		{text}
	optional	sludge_retent_time	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	sludge retention time		{float} {unit}
	optional	sodium	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	sodium		{float} {unit}
	optional	soluble_inorg_mat	xs:token								soluble inorganic material		soluble inorganic material name {text}; measurement value {float} {unit}
	optional	soluble_org_mat	xs:token								soluble organic material		soluble organic material name {text}; measurement value {float} {unit}
	optional	suspend_solids	xs:token								suspended solids		suspended solid name {text}; measurement value {float} {unit}
	optional	temp	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	temperature		{float} {unit}
	optional	tertiary_treatment	xs:token								tertiary treatment		{text}
	optional	tot_phosphate	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	total phosphate		{float} {unit}
	optional	wastewater_type	xs:token								wastewater type		{text}
	investigation_type	chemical speciation/mapping											
	investigation_type	genome											
	investigation_type	imaging- electron											
	investigation_type	imaging- ion											
	investigation_type	imaging- light											
	investigation_type	lipidome											
	investigation_type	metabolome											
	investigation_type	molecular structure											
	investigation_type	organic matter											
	investigation_type	proteome											
	investigation_type	transcriptome											
	growth_facil	experimental_garden											
	growth_facil	field											
	growth_facil	field_incubation											
	growth_facil	greenhouse											
	growth_facil	growth_chamber											
	growth_facil	lab_incubation											
	growth_facil	open_top_chamber											
	growth_facil	other											
	store_cond	fresh											
	store_cond	frozen											
	store_cond	lyophilized											
	store_cond	other											
	samp_store_temp	-20 degree Celsius											
	samp_store_temp	-80 degree Celsius											
	samp_store_temp	4 degree Celsius											
	samp_store_temp	other											
	samp_store_temp	room temperature											
	oxy_stat_samp	aerobic											
	oxy_stat_samp	anaerobic											
	oxy_stat_samp	anoxic											
	oxy_stat_samp	facultative											
	oxy_stat_samp	microaerophilic											
	oxy_stat_samp	microanaerobe											
	oxy_stat_samp	obligate aerobe											
	oxy_stat_samp	obligate anaerobe											
