Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples
MIXS:0000011	required	Collection Date	xs:date			required					The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	Expected value: date and time	2018-05-11T10:00:00+01:00; 2018-05-11
MIXS:0000692	optional	conductivity	xs:token								Electrical conductivity of water	Expected value: measurement value|Preferred unit: milliSiemens per centimeter|Occurrence: 1|This field is used uniquely in: water	10 milliSiemens per centimeter
MIXS:0000435	optional	density	xs:token								Density of the sample, which is its mass per unit volume (aka volumetric mass density)	Expected value: measurement value|Preferred unit: gram per cubic meter, gram per cubic centimeter|Occurrence: 1|This field is used in: 5 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, miscellaneous natural or artificial environment, sediment, water	1000 kilogram per cubic meter
MIXS:0000018	required where applicable	depth-meters	xs:token			required					The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.	When sample is collected with a ___ depth and homogenized, please report depth as a ____. (example, 0-10cm for soil collected from the surface to 10cm below and homogenized, or 10-20 for soil collected and homogenized from 10cm below the surface to 20cm).	10 meter
MIXS:0000178	optional	diether lipids	xs:token								Concentration of diether lipids; can include multiple types of diether lipids	Expected value: diether lipid name;measurement value|Preferred unit: nanogram per liter|Occurrence: m|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	0.2 nanogram per liter
MIXS:0000436	optional	dissolved carbon dioxide	xs:token								Concentration of dissolved carbon dioxide in the sample or liquid portion of the sample	Expected value: measurement value|Preferred unit: micromole per liter, milligram per liter|Occurrence: 1|This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	5 milligram per liter
MIXS:0000179	optional	dissolved hydrogen	xs:token								Concentration of dissolved hydrogen	Expected value: measurement value|Preferred unit: micromole per liter|Occurrence: 1|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	0.3 micromole per liter
MIXS:0000434	optional	dissolved inorganic carbon	xs:token								Dissolved inorganic carbon concentration in the sample, typically measured after filtering the sample using a 0.45 micrometer filter	Expected value: measurement value|Preferred unit: microgram per liter, milligram per liter, parts per million|Occurrence: 1|This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	2059 micromole per kilogram
MIXS:0000698	optional	dissolved inorganic nitrogen	xs:token								Concentration of dissolved inorganic nitrogen	Expected value: measurement value|Preferred unit: microgram per liter, micromole per liter|Occurrence: 1|This field is used uniquely in: water	761 micromole per liter
MIXS:0000106	optional	Concentration of dissolved inorganic phosphorus in the sample	xs:token								Concentration of dissolved inorganic phosphorus in the sample	Expected value: measurement value|Preferred unit: microgram per liter, milligram per liter, parts per million|Occurrence: 1|This field is used in: 3 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, water	56.5 micromole per liter
MIXS:0000433	optional	dissolved organic carbon	xs:token								Concentration of dissolved organic carbon in the sample, liquid portion of the sample, or aqueous phase of the fluid	Expected value: measurement value|Preferred unit: micromole per liter, milligram per liter|Occurrence: 1|This field is used in: 5 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, sediment, water	197 micromole per liter
MIXS:0000162	optional	dissolved organic nitrogen	xs:token								Dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2	Expected value: measurement value|Preferred unit: microgram per liter, milligram per liter|Occurrence: 1|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	0.05 micromole per liter
MIXS:0000119	optional	dissolved oxygen	xs:token								Concentration of dissolved oxygen	Expected value: measurement value|Preferred unit: micromole per kilogram, milligram per liter|Occurrence: 1|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	175 micromole per kilogram
MIXS:0000703	optional	downward PAR	xs:token								Visible waveband radiance and irradiance measurements in the water column	Expected value: measurement value|Preferred unit: microEinstein per square meter per second, microEinstein per square centimeter per second|Occurrence: 1|This field is used uniquely in: water	28.71 microEinstein per square meter per second
MIXS:0000093	required where applicable	elevation-meters	xs:token			required					Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	Expected value: measurement value|This field is used in: 9 packages: air, host-associated, hydrocarbon resources-cores, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, water	100 meter
MIXS:0000704	optional	fluorescence	xs:token								Raw or converted fluorescence of water	Expected value: measurement value|Preferred unit: milligram chlorophyll a per cubic meter, volts|Occurrence: 1|This field is used uniquely in: water	2.5 volts
MIXS:0000558	treatment	gas environment/exposure treatment	xs:token								Use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens	Expected value: gaseous compound name;gaseous compound amount;treatment interval and duration|Preferred unit: micromole per liter|Occurrence: m|This field is used uniquely in: plant-associated	nitric oxide;0.5 micromole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M
MIXS:0000010	required where applicable	Geographical Location Name	xs:token			required					The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	Expected value: country or sea name (INSDC or GAZ): region(GAZ), specific location name	USA: Maryland, Bethesda
MIXS:0000137	optional	glucosidase activity	xs:token								Measurement of glucosidase activity	Expected value: measurement value|Preferred unit: mol per liter per hour|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	5 mol per liter per hour
MIXS:0001043	required	Growth Facility	select			required					Type of facility where the sampled plant was grown; controlled vocabulary: growth chamber, open top chamber, glasshouse, experimental garden, field. Alternatively use Crop Ontology (CO) terms, see http://www.cropontology.org/ontology/CO_715/Crop%20Research	Type of facility or location from where the sample was harvested	Growth chamber [CO_715:0000189]
MIXS:0000568	treatment	humidity regimen/addition treatment	xs:token								Information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	Expected value: humidity value;treatment interval and duration|Preferred unit: gram per cubic meter|Occurrence: m|This field is used uniquely in: plant-associated	25 gram per cubic meter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M
MIXS:0000007	sample identification	Analysis/Data Type	select			required					Nucleic Acid Sequence Report is the root element of all MIGS/MIMS compliant reports as standardized by Genomic Standards Consortium. This field is either eukaryote,bacteria,virus,plasmid,organelle, metagenome,mimarks-survey, mimarks-specimen, metatranscriptome, single amplified genome, metagenome-assembled genome, or uncultivated viral genome	This field is constrained to contain only a set of limited terms (listed under Expected value) that indicate the types of data that were generated. Include all the data types, this field can have multiple values separated by a ;	metagenome
IoT:isotope_exposure	treatment	isotope exposure/addition treatment	xs:token										
MIXS:0000009	required where applicable	latitude, longitude	xs:token			required					The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	Expected value: decimal degrees,  limit to 8 decimal points	50.586825 6.408977
MIXS:0000706	optional	light intensity	xs:token								Measurement of light intensity	Expected value: measurement value|Preferred unit: lux|Occurrence: 1|This field is used uniquely in: water	0.3 lux
MIXS:0000569	treatment	light regimen treatment	xs:token								Information about treatment(s) involving exposure to light, including both light intensity and quality.	Expected value: exposure type;light intensity;light quality|Preferred unit: lux; micrometer, nanometer, angstrom|Occurrence: 1|This field is used uniquely in: plant-associated	incandescant light;10 lux;450 nanometer
MIXS:0000431	optional	magnesium	xs:token								Concentration of magnesium in the sample	Expected value: measurement value|Preferred unit: mole per liter, milligram per liter, parts per million, micromole per kilogram|Occurrence: 1|This field is used in: 5 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, sediment, water	52.8 micromole per kilogram
MIXS:0000498	optional	mean friction velocity	xs:token								Measurement of mean friction velocity	Expected value: measurement value|Preferred unit: meter per second|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	0.5 meter per second
MIXS:0000502	optional	mean peak friction velocity	xs:token								Measurement of mean peak friction velocity	Expected value: measurement value|Preferred unit: meter per second|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	1 meter per second
MIXS:0000752	optional	miscellaneous parameter	xs:token								Any other measurement performed or parameter collected, that is not listed here	Expected value: parameter name;measurement value|Occurrence: m|This field is used in: 16 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, wastewater_sludge, water	Bicarbonate ion concentration;2075 micromole per kilogram
MIXS:0000503	optional	n-alkanes	xs:token								Concentration of n-alkanes; can include multiple n-alkanes	Expected value: n-alkane name;measurement value|Preferred unit: micromole per liter|Occurrence: m|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	n-hexadecane;100 milligram per liter
MIXS:0000425	optional	nitrate	xs:token								Concentration of nitrate in the sample	Expected value: measurement value|Preferred unit: micromole per liter, milligram per liter, parts per million|Occurrence: 1|This field is used in: 7 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	65 micromole per liter
MIXS:0000426	optional	nitrite	xs:token								Concentration of nitrite in the sample	Expected value: measurement value|Preferred unit: micromole per liter, milligram per liter, parts per million|Occurrence: 1|This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	0.5 micromole per liter
MIXS:0000504	optional	nitrogen	xs:token								Concentration of nitrogen (total)	Expected value: measurement value|Preferred unit: micromole per liter|Occurrence: 1|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	4.2 micromole per liter
MIXS:0000508	optional	organic carbon	xs:token								Concentration of organic carbon	Expected value: measurement value|Preferred unit: micromole per liter|Occurrence: 1|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	1.5 microgram per liter
MIXS:0000204	optional	organic matter	xs:token								Concentration of organic matter	Expected value: measurement value|Preferred unit: microgram per liter|Occurrence: 1|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	1.75 milligram per cubic meter
MIXS:0000205	optional	organic nitrogen	xs:token								Concentration of organic nitrogen	Expected value: measurement value|Preferred unit: microgram per liter|Occurrence: 1|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	4 micromole per liter
MIXS:0000103	optional	organism count	select								Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	Expected value: organism name;measurement value;enumeration|Preferred unit: number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter|Occurrence: m|This field is used in: 16 packages: air, built environment, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	total prokaryotes;3.5e7 cells per milliliter;qPCR
IoT:other	required where applicable	Other	xs:token			required						Other details about your sample that you feel can't be accurately represented in the available columns.	
IoT:other_treatment	treatment	treatment-other details	xs:token										
MIXS:0000753	optional	oxygenation status of sample	select								Oxygenation status of sample	Expected value: enumeration|Occurrence: 1|This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	aerobic
IoT:package	sample identification	Sample Type	xs:token			required						MIxS Package	
MIXS:0000515	optional	particulate organic carbon	xs:token								Concentration of particulate organic carbon	Expected value: measurement value|Preferred unit: microgram per liter|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	1.92 micromole per liter
MIXS:0000719	optional	particulate organic nitrogen	xs:token								Concentration of particulate organic nitrogen	Expected value: measurement value|Preferred unit: microgram per liter, micromole per liter|Occurrence: 1|This field is used uniquely in: water	0.3 micromole per liter
MIXS:0000754	optional	perturbation	xs:token								Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	Expected value: perturbation type name;perturbation interval and duration|Occurrence: m|This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M
MIXS:0000516	optional	petroleum hydrocarbon	xs:token								Concentration of petroleum hydrocarbon	Expected value: measurement value|Preferred unit: micromole per liter|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	0.05 micromole per liter
MIXS:0001001	optional	pH	xs:decimal								Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	Expected value: measurement value|Occurrence: 1|This field is used in: 8 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, soil, wastewater_sludge, water	7.2
MIXS:0001106	optional	pH method	xs:token								Reference or method used in determining ph	Expected value: PMID,DOI or url|Occurrence: 1|This field is used uniquely in: soil	
MIXS:0000180	optional	phaeopigments	xs:token								Concentration of phaeopigments; can include multiple phaeopigments	Expected value: phaeopigment name;measurement value|Preferred unit: milligram per cubic meter|Occurrence: m|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	2.5 milligram per cubic meter
MIXS:0000505	optional	phosphate	xs:token								Concentration of phosphate	Expected value: measurement value|Preferred unit: micromole per liter|Occurrence: 1|This field is used in: 5 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	0.7 micromole per liter
MIXS:0000181	optional	phospholipid fatty acid	xs:token								Concentration of phospholipid fatty acids; can include multiple values	Expected value: phospholipid fatty acid name;measurement value|Preferred unit: mole per gram, mole per liter|Occurrence: m|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	2.98 milligram per liter
MIXS:0000725	optional	photon flux	xs:token								Measurement of photon flux	Expected value: measurement value|Preferred unit: number of photons per second per unit area|Occurrence: 1|This field is used uniquely in: water	3.926 micromole photons per second per square meter
MIXS:0000430	optional	potassium	xs:token								Concentration of potassium in the sample	Expected value: measurement value|Preferred unit: milligram per liter, parts per million|Occurrence: 1|This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	463 milligram per liter
IoT:practice_method-dev	optional	Practice Target	xs:token								If your sample is being sent as a test or practice sample, indicate the target test or what this test sample is meant to resolve.	"Example, if it's unclear if lyophilizing will affect your results, so you're sending a lyophilized and not lyophilized sample, the Practice Target would be ""lyophilization affect, dry (or wet)"""	
MIXS:0000412	optional	pressure	xs:token								Pressure to which the sample is subject to, in atmospheres	Expected value: measurement value|Preferred unit: atmosphere|Occurrence: 1|This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	50 atmosphere
MIXS:0000728	optional	primary production	xs:token								Measurement of primary production, generally measured as isotope uptake	Expected value: measurement value|Preferred unit: milligram per cubic meter per day, gram per square meter per day|Occurrence: 1|This field is used uniquely in: water	100 milligram per cubic meter per day
IoT:project_ID	sample identification	Project ID	xs:token			required					5 digit EMSL user project ID		
MIXS:0000182	optional	redox potential	xs:token								Redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential	Expected value: measurement value|Preferred unit: millivolt|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	300 millivolt
IoT:replicate_number	required	Replicate Number	xs:token			required					If sending biological replicates, indicate the rep number here.	This will guide staff in ensuring your samples are block & randomized correctly	
MIXS:0000183	optional	salinity	xs:token								The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.	Expected value: measurement value|Preferred unit: practical salinity unit, percentage|Occurrence: 1|This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	25 practical salinity unit
IoT:samp_collect_device	required where applicable	sample collection device	xs:token			required						Report dimensions and details when applicable	
MIXS:0000016	required	Material Processing	xs:token			required					A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.	Expected value: text	filtering of seawater, storing samples in ethanol
MIXS:0001107	sample identification	Sample Name	xs:token			required					A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.	ID that is present on the shipped sample. Human readable.	ISDsoil1
MIXS:0000001	required	Sample size	xs:token			required					The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.	Expected value: measurement value|Preferred unit: millliter, gram, milligram, liter	5 liter
MIXS:0000110	required	Storage temperature	select			required					Temperature at which sample was stored, e.g. -80 degree Celsius	Expected value: measurement value|Preferred unit: degree Celsius|Occurrence: 1|This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	-80 degree Celsius
MIXS:0000184	optional	silicate	xs:token								Concentration of silicate	Expected value: measurement value|Preferred unit: micromole per liter|Occurrence: 1|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	0.05 micromole per liter
MIXS:0000017	required where applicable	Size Fraction- Filter Type	xs:token			required					Filtering pore size used in sample preparation	Expected value: filter size value range	0-0.22 micrometer
MIXS:0000735	required where applicable	size-fraction lower threshold	xs:token			required					Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample	Expected value: value|Preferred unit: micrometer|Occurrence: 1|This field is used uniquely in: water	0.2 micrometer
MIXS:0000736	required where applicable	size-fraction upper threshold	xs:token			required					Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample	Expected value: value|Preferred unit: micrometer|Occurrence: 1|This field is used uniquely in: water	20 micrometer
MIXS:0000428	optional	sodium	xs:token								Sodium concentration in the sample	Expected value: measurement value|Preferred unit: milligram per liter, parts per million|Occurrence: 1|This field is used in: 7 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	10.5 milligram per liter
MIXS:0000738	optional	soluble reactive phosphorus	xs:token								Concentration of soluble reactive phosphorus	Expected value: measurement value|Preferred unit: micromole per liter, milligram per liter, parts per million|Occurrence: 1|This field is used uniquely in: water	0.1 milligram per liter
IoT:source_mat_ID	sample identification	Source Material ID	xs:token			required						A unique identifier assigned to an original material sample collected or to any derived sub-samples. The source material should be listed as a sample to inform details about parent material relationship.	
MIXS:0000327	required	Storage Condition	select			required					Explain how and for how long the soil sample was stored before DNA extraction (fresh/frozen/other).	Informs how your sample was stored	-20 degree Celsius freezer;P2Y10D
MIXS:0000423	optional	sulfate	xs:token								Concentration of sulfate in the sample	Expected value: measurement value|Preferred unit: micromole per liter, milligram per liter, parts per million|Occurrence: 1|This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	5 micromole per liter
MIXS:0000424	optional	sulfide	xs:token								Concentration of sulfide in the sample	Expected value: measurement value|Preferred unit: micromole per liter, milligram per liter, parts per million|Occurrence: 1|This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	2 micromole per liter
MIXS:0000741	optional	suspended particulate matter	xs:token								Concentration of suspended particulate matter	Expected value: measurement value|Preferred unit: milligram per liter|Occurrence: 1|This field is used uniquely in: water	0.5 milligram per liter
IoT:technical_reps	required	Number Technical Replicate	xs:token			required					If sending multiple technical replicates of the same sample, indicate how many replicates are being sent		
