Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples
	optional	bromide	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	bromide		{float} {unit}
	optional	calcium	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	calcium		{float} {unit}
	optional	carb_nitro_ratio	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	carbon/nitrogen ratio		{float} {unit}
	required where applicable	chem_administration	xs:token			required					chemical administration/addition treatment		{termLabel} {[termID]}; {timestamp}
	optional	chloride	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	chloride		{float} {unit}
	optional	chlorophyll	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	chlorophyll		{float} {unit}
	optional	conduc	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	conductivity		{float} {unit}
	optional	density	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	density		{float} {unit}
	optional	diether_lipids	xs:token								diether lipids		diether lipid name {text}; measurement value {float} {unit}
	optional	diss_carb_dioxide	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	dissolved carbon dioxide		{float} {unit}
	optional	diss_hydrogen	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	dissolved hydrogen		{float} {unit}
	optional	diss_inorg_carb	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	dissolved inorganic carbon		{float} {unit}
	optional	diss_inorg_nitro	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	dissolved inorganic nitrogen		{float} {unit}
	optional	diss_inorg_phosp	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	Concentration of dissolved inorganic phosphorus in the sample		{float} {unit}
	optional	diss_org_carb	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	dissolved organic carbon		{float} {unit}
	optional	diss_org_nitro	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	dissolved organic nitrogen		{float} {unit}
	optional	diss_oxygen	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	dissolved oxygen		{float} {unit}
	optional	down_par	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	downward PAR		{float} {unit}
	optional	fluor	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	fluorescence		{float} {unit}
	optional	glucosidase_act	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	glucosidase activity		{float} {unit}
	optional	light_intensity	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	light intensity		{float} {unit}
	optional	magnesium	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	magnesium		{float} {unit}
	optional	mean_frict_vel	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	mean friction velocity		{float} {unit}
	optional	mean_peak_frict_vel	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	mean peak friction velocity		{float} {unit}
	optional	misc_param	xs:token								miscellaneous parameter		parameter name {text}; measurement value {float} {unit}
	optional	n_alkanes	xs:token								n-alkanes		n-alkane name {text}; measurement value {value} {unit}
	optional	nitrate	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	nitrate		{float} {unit}
	optional	nitrite	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	nitrite		{float} {unit}
	optional	nitro	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	nitrogen		{float} {unit}
	optional	org_carb	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	organic carbon		{float} {unit}
	optional	org_matter	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	organic matter		{float} {unit}
	optional	org_nitro	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	organic nitrogen		{float} {unit}
	optional	organism_count	xs:token								organism count		organism name {text}; measurement value {value} {unit}; enumeration [qPCR|ATP|MPN|other]
	optional	oxy_stat_samp	select								oxygenation status of sample		enumeration
	optional	part_org_carb	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	particulate organic carbon		{float} {unit}
	optional	part_org_nitro	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	particulate organic nitrogen		{float} {unit}
	optional	perturbation	xs:token								perturbation		perturbation type name {text}; perturbation interval and duration {Rn/start_time/end_time/duration}
	optional	petroleum_hydrocarb	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	petroleum hydrocarbon		{float} {unit}
	optional	ph	xs:decimal								pH		{float}
	optional	ph_meth	xs:token								pH method		{PMID}|{DOI}|{URL}
	optional	phaeopigments	xs:token								phaeopigments		phaeopigment name {text}; measurement value {float} {unit}
	optional	phosphate	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	phosphate		{float} {unit}
	optional	phosplipid_fatt_acid	xs:token								phospholipid fatty acid		phospholipid fatty acid name {text}; measurement value {float} {unit}
	optional	photon_flux	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	photon flux		{float} {unit}
	optional	potassium	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	potassium		{float} {unit}
	optional	pressure	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	pressure		{float} {unit}
	optional	primary_prod	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	primary production		{float} {unit}
	optional	redox_potential	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	redox potential		{float} {unit}
	optional	salinity	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	salinity		{float} {unit}
	optional	silicate	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	silicate		{float} {unit}
	required where applicable	size_frac_low	xs:token			required					size-fraction lower threshold		{value}{text}
	required where applicable	size_frac_up	xs:token			required					size-fraction upper threshold		{value}{text}
	optional	sodium	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	sodium		{float} {unit}
	optional	soluble_react_phosp	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	soluble reactive phosphorus		{float} {unit}
	optional	sulfate	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	sulfate		{float} {unit}
	optional	sulfide	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	sulfide		{float} {unit}
	optional	suspend_part_matter	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	suspended particulate matter		{float} {unit}
	optional	temp	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	temperature		{float} {unit}
	optional	tidal_stage	select								tidal stage		enumeration
	optional	tot_depth_water_col	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	total depth of water column		{float} {unit}
	optional	tot_diss_nitro	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	total dissolved nitrogen		{float} {unit}
	optional	tot_inorg_nitro	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	total inorganic nitrogen		{float} {unit}
	optional	tot_nitro	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	total nitrogen concentration		{float} {unit}
	optional	tot_part_carb	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	total particulate carbon		{float} {unit}
	optional	tot_phosp	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	total phosphorus		{float} {unit}
	optional	turbidity	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	turbidity		{float} {unit}
	optional	water_current	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	water current		{float} {unit}
	investigation_type	chemical speciation/mapping											
	investigation_type	genome											
	investigation_type	imaging- electron											
	investigation_type	imaging- ion											
	investigation_type	imaging- light											
	investigation_type	lipidome											
	investigation_type	metabolome											
	investigation_type	molecular structure											
	investigation_type	organic matter											
	investigation_type	proteome											
	investigation_type	transcriptome											
	growth_facil	experimental_garden											
	growth_facil	field											
	growth_facil	field_incubation											
	growth_facil	greenhouse											
	growth_facil	growth_chamber											
	growth_facil	lab_incubation											
	growth_facil	open_top_chamber											
	growth_facil	other											
	store_cond	fresh											
	store_cond	frozen											
	store_cond	lyophilized											
	store_cond	other											
	samp_store_temp	-20 degree Celsius											
	samp_store_temp	-80 degree Celsius											
	samp_store_temp	4 degree Celsius											
	samp_store_temp	other											
	samp_store_temp	room temperature											
	oxy_stat_samp	aerobic											
	oxy_stat_samp	anaerobic											
	oxy_stat_samp	anoxic											
	oxy_stat_samp	facultative											
	oxy_stat_samp	microaerophilic											
	oxy_stat_samp	microanaerobe											
	oxy_stat_samp	obligate aerobe											
	oxy_stat_samp	obligate anaerobe											
	tidal_stage	ebb tide											
	tidal_stage	flood tide											
	tidal_stage	high tide											
	tidal_stage	low tide											
