title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description						
		NCIT:C15346	Vaccination [NCIT:C15346]					Administration of vaccines to stimulate the host's immune response. This includes any preparation intended for active immunological prophylaxis or treatment.						
														
experimental_specimen_role_type menu	ExperimentalSpecimenRoleTypeMenu	GENEPIO:0101018	Positive experimental control [GENEPIO:0101018]					A control specimen that is expected to yield a positive result, to establish a reference baseline for an experiment.						
		GENEPIO:0101019	Negative experimental control [GENEPIO:0101019]					A control specimen that is expected to yield a negative result, to establish a reference baseline for an experiment						
		EFO:0002090	Technical replicate [EFO:0002090]					A technical replicate is a replicate role where the same BioSample is use e.g. the same pool of RNA used to assess technical (as opposed to biological) variation within an experiment.						
		EFO:0002091	Biological replicate [EFO:0002091]					A biological replicate is a replicate role that consists of independent biological replicates made from different individual biosamples.						
														
														
specimen_processing menu	SpecimenProcessingMenu	OBI:0600016	Samples pooled [OBI:0600016]					Physical combination of several instances of like material						
		OBI:0002079	Isolated from single source [OBI:0002079]					A collection of specimens that is collected from one source (e.g. one organism) during a time period which for the purpose of the study can be considered to be taken at the same sampling time.						
														
environmental_site menu	EnvironmentalSiteMenu	ENVO:01000925	Abattoir [ENVO:01000925]					A facility in which non-human animals are slaughtered and processed for human consumption.						
		ENVO:00000114	Agricultural Field [ENVO:00000114]					A field which is located on land and used for agricultural purposes, such as the grazing of livestock or the cultivation of crops.						
		ENVO:00000314	Alluvial fan [ENVO:00000314]					A fan-shaped deposit formed where a fast flowing stream flattens, slows, and spreads typically at the exit of a canyon onto a flatter plain. [ https://en.wikipedia.org/wiki/Alluvial_fan ]						
		ENVO:01000922	Animal cage [ENVO:01000922]					A manufactured cage which may be used to confine, contain, or protect an animal.						
		ENVO:00002196	Aquarium [ENVO:00002196]					An aquarium is a vivarium which simulates the submerged portions of an aquatic environment						
		ENVO:03501406	Artificial wetland [ENVO:03501406]					A wetland ecosystem which is constructed to treat municipal or industrial wastewater, greywater or stormwater runoff.						
		ENVO:03501441	Breeding ground [ENVO:03501441]					A place where animals breed.						
		ENVO:00000073	Building [ENVO:00000073]					A permanent walled and roofed construction.						
		ENVO:03501257	      	Barn [ENVO:03501257]				A farm building used for housing livestock, storing machinery or crops etc						
		ENVO:03501383		Breeder barn [ENVO:03501383]				A barn where animals are kept for breeding purposes.						
		ENVO:03501386		Broiler barn [ENVO:03501386]				A barn where broiler chickens are reared.						
		ENVO:03501385		Sheep barn [ENVO:03501385]				A barn where sheep are kept. 						
		ENVO:03501397		Biodome [ENVO:03501397]				A building which encloses one or more self-contained ecosystems or living environments. 						
		ENVO:03501393		Cottage [ENVO:03501393]				A human house which is small and is typically in a rural or semi-rural location.						
		ENVO:00003862		Dairy [ENVO:00003862]				A dairy is a building in which animal milk is harvested and, optionally, processed for human consumption.						
		ENVO:00002173		Hospital [ENVO:00002173]				A hospital is a building in which health care services are provided by specialized staff and equipment.						
		ENVO:01001406		Laboratory facility [ENVO:01001406]				A research facility in which systems of manufactured products control internal conditions and in which scientific or technological research, experiments, and measurement may be performed.						
		ENVO:03501413		Pigsty [ENVO:03501413]				A small-scale outdoor enclosure for raising domestic pigs as livestock.						
			Building part (organizational term)					A part, section, or fixture of a building.						
		ENVO:03501380		Air intake [ENVO:03501380]				A building part which is a pipe, vent or other device that enables air to be drawn in from outside a building.						
		ENVO:03501387		Animal pen [ENVO:03501387]				An animal enclosure for holding livestock.						
		ENVO:01000486		Building floor [ENVO:01000486]				A building floor is a surface layer which is part of a building and used for walking.						
		ENVO:01000465		Building wall [ENVO:01000465]				Building walls are bulding parts which serve to support roofs, floors and ceilings; enclose a space as part of the building envelope; give buildings form; and to provide shelter and security.						
		ENVO:03501404		Countertop [ENVO:03501404]				A manufactured product which is the surface of a table or cabinet on which work is performed.						
		ENVO:03501403		Shelf [ENVO:03501403]				A manufactured product which is a flat, long piece of material fastened horizontally, as on a wall or bookcase, to support objects.						
		EOL:0001903		Stall [EOL:0001903]				Division or compartment for an animal, usually within a house						
		ENVO:03501381		Window sill [ENVO:03501381]				A building part which is a mainly horizontal surface or ledge at the bottom of a window which provides structural support.						
		ENVO:03501405	Creek [ENVO:03501405]					A stream that is usually smaller than a river.						
		ENVO:00000078	Farm [ENVO:00000078]					An area of land which is used for the cultivation of crops or grazing of livestock, including any agricultural constructions therein.						
		ENVO:03501443		Beef farm [ENVO:03501443]				A farm where cows are kept for the purpose of meat production.						
		ENVO:03501384		Breeder farm [ENVO:03501384]				A farm where animals are kept for breeding purposes.						
		ENVO:03501416		Dairy farm [ENVO:03501416]				A farm where cows are kept for the purpose of producing milk and other dairy products.						
		ENVO:01000627		Feedlot [ENVO:01000627]				A feedlot is a plot of land on which livestock are fattened for market [URL:http://www.merriam-webster.com/dictionary/feedlot ].						
		ENVO:03501444			Beef cattle feedlot [ENVO:03501444]			A feedlot where beef cattle are kept with a focus on efficient growth and weight gain of the animals.						
		ENVO:00000294		Fish farm [ENVO:00000294]				A facility in which fish are raised commercially in tanks or enclosures, usually for food.						
		ENVO:03501417		Research farm [ENVO:03501417]				A farm which is used for conducting agricultural research.						
		GAZ:00004603			Central Experimental Farm [GAZ:00004603]			An agricultural facility, working farm, and research centre of the Research Branch of Agriculture and Agri-Food Canada. This farm is centrally located in and completely surrounded by the City of Ottawa, Ontario, Canada. The CEF is bordered by the Rideau Canal (a National Historic Site as well) to the east, by Baseline Road to the south, by Merivale and Fisher Roads to the west, and Carling Avenue to the north.						
		ENVO:01000306	Freshwater environment [ENVO:01000306]					An aquatic environment which is determined by freshwater.						
		ENVO:01001873	Hatchery [ENVO:01001873]					A construction in which eggs are hatched under artificial conditions.						
		ENVO:01001874		Poultry hatchery [ENVO:01001874]				A hatchery in which the eggs of poultry are hatched under artificial conditions						
		ENVO:00000020	Lake [ENVO:00000020]					A body of water or other liquid of considerable size contained in a depression on a landmass. 						
		ENVO:03501422	Manure digester facility [ENVO:03501422]					A human construction which is a facility in which a manure digester is housed.						
		ENVO:03501423	Manure lagoon (Anaerobic lagoon) [ENVO:03501423]					A human construction which is an outdoor earthen basin filled with animal waste that undergoes anaerobic respiration as part of a system designed to manage and treat refuse created by concentrated animal feeding operations.						
		ENVO:01001872	Manure pit [ENVO:01001872]					A pit which is used for the collection and storage of manure.						
		ENVO:01000320	Marine environment [ENVO:01000320]					A marine environment and enviroment which is determined by a marine water body. 						
		ENVO:03501440		Benthic zone [ENVO:03501440				The ecological region at the lowest level of a body of water such as an ocean, lake, or stream, that includes the sediment surface and some sub-surface layers.						
		ENVO:00000208		Pelagic zone [ENVO:00000208]				An open ocean region. [ https://en.wikipedia.org/wiki/Ocean ]						
		ENVO:00000562	Park [ENVO:00000562]					A bounded area of land, or water, usually in its natural or semi-natural (landscaped) state and set aside for some purpose, usually to do with recreation or conservation. 						
		ENVO:00000033	Pond [ENVO:00000033]					A body of water, usually of smaller size than a lake.						
		ENVO:00000025	Reservoir [ENVO:00000025]					An artificial body of water, often contained by a dam, constructed for the purpose of water storage.						
		ENVO:00000450		Irrigation reservoir [ENVO:00000450]				A reservoir constructed for the purpose of providing water for irrigation.						
		ENVO:01001448	Retail environment [ENVO:01001448]					A planned environmental usage process during which an environment supports the sale of goods to ultimate consumers, usually in small quantities.						
		ENVO:00002221		Shop [ENVO:00002221]				A building in which a business presents a selection of goods and offers to trade or sell them to customers for money or other goods.						
		ENVO:03501396		Butcher shop [ENVO:03501396]				A food shop in which meat, poultry, and sometimes fish are sold.						
		ENVO:03501395		Pet store [ENVO:03501395]				A shop which sells companion animals to the public.						
		ENVO:01000984		Supermarket [ENVO:01000984]				A food shop in which food products are the primary offer for sale or trade. 						
		ENVO:00000022	River [ENVO:00000022]					A stream which, through permanent or seasonal flow processes, moves from elevated land towards lower elevations through a definite channel and empties either into a sea, lake, or another river or ends on land as bed seepage and evapotranspiration exceed water supply. 						
		ENVO:03501439	Roost (bird) [ENVO:03501439]					A perch on which birds rest.						
		ENVO:01000772	Rural area [ENVO:01000772]					An area which is outside of a town, city, or urban area. Rural areas are primarily used for agriculture or pastoralism and may contain rural settlements. [ http://www.fao.org/docrep/015/am085e/am085e.pdf ]						
		ENVO:03501438	Slough [ENVO:03501438]					A freshwater wetland, that is usually a swamp or shallow lake, often a backwater to a larger body of water.						
		ENVO:00000023	Stream [ENVO:00000023]					A watercourse which is linear and flows across the solid portion of a planetary surface. [USGS:http://mapping.usgs.gov/www/ti/GNIS/gnis_users_guide_appendixc.html ]						
		ENVO:03501394	Trailer [ENVO:03501394]					A vehicle which is nonautomative and is designed to be hauled by a motorized vehicle.						
		ENVO:00000495	Tributary [ENVO:00000495]					A stream or river which flows into another river (a parent river) or body of water but which may not flow directly into the sea.						
		ENVO:01000602	Truck [ENVO:01000602]					A truck is a motor vehicle which, as its primary funcion, transports cargo rather than human passangers.						
		ENVO:03501437	Urban area [ENVO:03501437]					An area that has a high population density and infrastructure of built environment. Urban area includes cities, towns, conurbations or suburbs.  						
		ENVO:01001191	Water surface [ENVO:01001191]					The surface layer of a volume of water.						
		ENVO:00000109	Woodland area [ENVO:00000109]					Land having a cover of trees, shrubs, or both.						
		ENVO:00010625	Zoo [ENVO:00010625]					A facility in which animals are confined within enclosures and displayed to the public, and in which they may also be bred.						
														
environmental_material menu	EnvironmentalMaterialMenu	ENVO:00002005	Air [ENVO:00002005]					The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.						
		ENVO:01001202	Alluvium [ENVO:01001202]					Soil or sediment which has been eroded and influenced by flowing water and redeposited in a non-marine setting. [ https://en.wikipedia.org/wiki/Alluvium ]						
		AGRO:00000675	Animal feeding equipment [AGRO:00000675]					An equipment used to feed and water livestock animals. 						
		AGRO:00000679		Animal feeder [AGRO:00000679]				An animal feeding equipment that has a food storage unit and which enables livestock to obtain their own food.						
		AGRO:00000680		Animal drinker [AGRO:00000680]				An animal feeding equipment that has a water storage unit which enables livestock to obtain their own water.						
		AGRO:00000676		Feed pan [AGRO:00000676]				A bowl or pan which is used to feed livestock.						
		AGRO:00000677		Watering bowl [AGRO:00000677]				A bowl from which animals can drink.						
		AGRO:00000671	Animal transportation equipment [AGRO:00000671]					An equipment used in the transportation of an animal						
		GENEPIO:0100896		Dead haul trailer [GENEPIO:0100896]				A trailer used by a dead haul truck to transport dead animal from an abattoir.						
		AGRO:00000673		Dead haul truck [AGRO:00000673]				A truck used to haul dead animals from an abattoir.						
		GENEPIO:0100897		Live haul trailer [GENEPIO:0100897]				A trailer used by a live haul truck to transport live animals.						
		AGRO:00000674		Live haul truck [AGRO:00000674]				A truck used to haul live animals.						
		NCIT:C49844	Belt [NCIT:C49844]					A device consisting of a narrow loop of material moving over shafts or pulleys.						
		ENVO:00002059	Biosolids [ENVO:00002059]					A treated form of sludge, sometimes used as a fertilizer in agriculture.						
		GSSO:012935	Boot [GSSO:012935]					A footwear which covers the foot, the ankle, and sometimes the leg below the knee.						
		OBI:0002806		Boot cover [OBI:0002806]				A personal protective device which is an impermiable material which covers a shoe or boot in order to prevent spread of specific environmental contaminants.						
		ENVO:03501431	Broom [ENVO:03501431]					A cleaning equipment piece which is a bundle of fibres attached to a long handle, and is used for sweeping.						
		ENVO:03501379	Bulk tank [ENVO:03501379]					A manufactured product which used to safely store and/or transport solids, liquids, gases and a variety of compounds and mixtures.						
		AGRO:00000678	Chick box [AGRO:00000678]					The box which is used to transport chick (juvenile chicken).						
		AGRO:00000672	Chick pad [AGRO:00000672]					The lining of a box or crate used to transport chicks (juvenile chickens).						
		ENVO:03501430	Cleaning equipment [ENVO:03501430]					An equipment piece used for cleaning a built environment or a manufactured product.						
		ENVO:00002170	Compost [ENVO:00002170]					The aerobically decomposed remnants of organic materials. 						
		ENVO:00002186	Contaminated water [ENVO:00002186]					A type of water that contains contaminants such as pathogens, debris, chemicals, etc.						
		ENVO:03501436		Fecal slurry [ENVO:03501436]				A mixture of fecal material mixed, buffer, and other materials, that is homogenized and strained and used in fecal microbiota translpantation.						
		GENEPIO:0004323		Fluid from meat rinse [GENEPIO:0004323]				A type of fluid obtained from rinsing meat for the purpose of collecting materials and organisms that are on its surface.						
		ENVO:03501407		Effluent [ENVO:03501407]				Contaminated water which eminates from a structure such as a wastewater treatment plant, sewer pipe, or industrial outfall, into the environment.						
		ENVO:03501442		Influent [ENVO:03501442]				Contaminated or untreated water which is flowing into a wastewater treatment plant for processing.						
		ENVO:03501408		Surface runoff [ENVO:03501408]				Surface water which is 1) from some rainwater, stormwater, meltwater, or other local source and 2) which can no longer sufficiently rapidly infiltrate into soil, and instead flows along a drainage slope.						
		AGRO:00000693		Poultry plucking water [AGRO:00000693]				A type of water obtained from rinsing poultry carcasses during the feather plucking process.						
		ENVO:00002001		Wastewater [ENVO:00002001]				Water that has been adversely affected in quality by anthropogenic influence.						
		AGRO:00000692		Weep fluid [AGRO:00000692]				A fluid that leaks from a bag containing an animal carcass, and can include water, chemicals and anatomical fluids.						
		ENVO:03501372	Crate [ENVO:03501372]					A manufactured product which is a container, traditionally made of wooden slates, designed to protect transported goods from damage.						
		ENVO:03501400	Dumpster [ENVO:03501400]					A manufactured product which is a reusable container that accumulates waste until it is periodically emptied or replaced.						
		ENVO:00002008	Dust [ENVO:00002008]					Minute solid particles with diameters less than 500 micrometers. Occurs in and may be deposited from, the atmosphere. 						
		AGRO:00000670	Egg belt [AGRO:00000670]					A conveyor belt used to collect eggs in an industrial egg production environment.						
		NCIT:C49947	Fan [NCIT:C49947]					A device designed to create an air current through the rotation of a planar surface.						
		ENVO:03501415	Freezer [ENVO:03501415]					A manufactured product which is a device used to keep things frozen by maintaining a temperature below the freezing point of water.						
		ENVO:03501414		Freezer handle [ENVO:03501414]				A manufactured product which is the handle of a freezer door.						
		ENVO:00003031	Manure [ENVO:00003031]					Organic matter, mostly animal feces, that is used as organic fertilizer in agriculture.						
		AGRO:00000079		Animal manure [AGRO:00000079]				Organic matter mostly derived from animal feces which can be used as organic fertilizer in agriculture.						
		ENVO:00003860		Pig manure [ENVO:00003860]				Manure which is primarily composed of pig feces.						
		ENVO:03501424	Manure digester equipment [ENVO:03501424]					An equipment piece which is used in the aerobic or anaerobic microbial digestion of manure.						
		ENVO:03501432	Nest [ENVO:03501432]					A structure that is built for certain animals to hold eggs or young.						
		ENVO:00005805		Bird's nest [ENVO:00005805]				A bird nest is the spot in which a bird lays and incubates its eggs and raises its young. [ https://en.wikipedia.org/wiki/Bird_nest ]						
		ENVO:00000134	Permafrost [ENVO:00000134]					Soil or rock and included ice or organic material at or below the freezing point of water (0 degrees Celsius or 32 degrees Fahrenheit) for two or more years.						
		AGRO:00000669	Plucking belt [AGRO:00000669]					A part of the plucking machine that moves the birds through the stages of plucking within the plucking apparatus.						
		UBERON:0008291	Poultry fluff [UBERON:0008291]					A feather lacking a vane and having a rudimentary rachis and a tuft of non-interlocked barbs with elongated barbules extending from the calamus.						
		AGRO:00000080	Poultry litter [AGRO:00000080]					An animal manure that contains poultry excreta, spilled feed, feathers, and material used as bedding in poultry operations.						
		ENVO:00002007	Sediment [ENVO:00002007]					Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid. 						
		ENVO:00001998	Soil [ENVO:00001998]					Soil is an environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms.						
		ENVO:00002259		Agricultural soil [ENVO:00002259]				A type of soil used for agriculture that supports the physical, chemical, and biological needs of the desired crop during production.						
		ENVO:00002261		Forest soil [ENVO:00002261]				A portion of soil which is found in a forested area.						
		ENVO:00003869	Straw [ENVO:00003869]					An agricultural byproduct, the dry stalk of a cereal plant, after the nutrient grain or seed has been removed.						
		FOODON:00004430		Canola straw [FOODON:00004430]				 A straw of a canola plant (Brassica napus var. napus).						
		FOODON:03309878		Oat straw [FOODON:03309878]				A straw of an oat plant (Avena sativa)						
		FOODON:00004559		Barley straw [FOODON:00004559]				A straw of a barley plant (Hordeum vulgare subsp. vulgare)						
		ENVO:00002044	Sludge [ENVO:00002044]					The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.						
		ENVO:00002057		Primary sludge [ENVO:00002057]				Sludge generated from the initial processes (i.e., precipitation, sedimentation) of wastewater treatment.						
		ENVO:00002058		Secondary sludge [ENVO:00002058]				Activated waste biomass generated during wastewater treatment.						
		CHEBI:15377	Water [CHEBI:15377]					An oxygen hydride consisting of an oxygen atom that is covalently bonded to two hydrogen atoms.						
		ENVO:00003064		Drinking water [ENVO:00003064]				Water which is suitable for consumption by humans 						
		ENVO:01001004		Groundwater [ENVO:01001004]				Underground water which is located in pore spaces found in rock or unconsolidated deposits such as soil, clay, or gravel.						
		ENVO:00002042		Surface water [ENVO:00002042]				Water that is found on the surface of an astronomical object.						
														
anatomical_material menu	AnatomicalMaterialMenu	UBERON:0000178	Blood [UBERON:0000178]					A fluid that is composed of blood plasma and erythrocytes. 						
		UBERON:0006314	Fluid [UBERON:0006314]					Liquid components of living organisms. includes fluids that are excreted or secreted from the body as well as body water that normally is not.						
		UBERON:0001359		Fluid (cerebrospinal (CSF)) [UBERON:0001359]				A clear, colorless, bodily fluid, that occupies the subarachnoid space and the ventricular system around and inside the brain and spinal cord.						
		UBERON:0000173		Fluid (amniotic) [UBERON:0000173]				Amniotic fluid is a bodily fluid consisting of watery liquid surrounding and cushioning a growing fetus within the amnion.						
		UBERON:0001836		Saliva [UBERON:0001836]				A fluid produced in the oral cavity by salivary glands, typically used in predigestion, but also in other functions. 						
		UBERON:0000479	Tissue [UBERON:0000479]					Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.						
														
														
body_product menu	BodyProductMenu	GENEPIO:0100898	Digestive tract substance [GENEPIO:0100898]					Undigested food material, microbiota, and other materials found in the digestive tract. 						
		GENEPIO:0100899		Caecal content [GENEPIO:0100899]				Undigested food material, microbiota, and other materials found in the cecum 						
		GENEPIO:0100900		Intestinal content [GENEPIO:0100900]				Undigested food material, microbiota, and other materials found in the intestine 						
		GENEPIO:0100901		Stomach content [GENEPIO:0100901]				Undigested food material, microbiota, and other materials found in the stomach 						
		UBERON:0001988	Feces [UBERON:0001988]					Portion of semisolid bodily waste discharged through the anus.						
		GENEPIO:0004512		Fecal composite [GENEPIO:0004512]				A mixture of feces obtained from multiple individuals.						
		GENEPIO:0004513		Feces (fresh) [GENEPIO:0004513]				Feces that was recently excreted.						
		GENEPIO:0004514		Feces (environmental) [GENEPIO:0004514]				Feces which is deposited in the environment.						
		UBERON:0007109		Meconium [UBERON:0007109]				A dark greenish mass that accumulates in the bowel during fetal life and is discharged shortly after birth.						
		UBERON:0001913	Milk [UBERON:0001913]					An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.						
		UBERON:0001914		Colostrum [UBERON:0001914]				The thin, yellow, serous fluid secreted by the mammary glands during pregnancy and immediately postpartum before lactation begins. It consists of immunologically active substances, white blood cells, water, protein, fat, and carbohydrates. [ MESH : A12.200.194 http://en.wikipedia.org/wiki/Colostrum ]						
		UBERON:0001088	Urine [UBERON:0001088]					Excretion that is the output of a kidney. 						
														
														
anatomical_part menu	AnatomicalPartMenu	UBERON:0008979	Carcass [UBERON:0008979]					A body of a multi-cellular organism that is no longer living.						
		FOODON:03311719		Swine carcass [FOODON:03311719]				A carcass of a swine.						
		UBERON:0001007	Digestive system [UBERON:0001007]					Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes. 						
		UBERON:0001153		Caecum [UBERON:0001153]				 pouch in the digestive tract that connects the ileum with the ascending colon of the large intestine. It is separated from the ileum by the ileocecal valve, and is the beginning of the large intestine. It is also separated from the colon by the cecocolic junction.						
		UBERON:0001155		Colon [UBERON:0001155]				A portion of the large intestine before it becomes the rectum. In mammals, the colon is the most part of the large intestine, excluding the vermiform appendix, the rectum and the anal canal.						
		UBERON:0006925		Digestive gland [UBERON:0006925]				Any gland that is part of the digestive system.						
		UBERON:0001041		Foregut [UBERON:0001041]				Anterior subdivision of a digestive tract. 						
		UBERON:0002110		Gall bladder [UBERON:0002110]				An organ that aids digestion and stores bile produced by the liver.						
		UBERON:0004786		Gastrointestinal system mucosa [UBERON:0004786]				A mucosa that is part of a gastrointestinal system. 						
		UBERON:0005052		Gizzard [UBERON:0005052]				The muscular enlargement of the alimentary canal that has usually thick muscular walls and a tough horny lining for grinding the food and when the crop is present follows it and the proventriculus.						
		UBERON:0001046		Hindgut [UBERON:0001046]				The caudalmost subdivision of a digestive tract.						
		UBERON:0000160		Intestine [UBERON:0000160]				Segment of the alimentary canal extending from the stomach to the anus and, in humans and other mammals, consists of two segments, the small intestine and the large intestine. 						
		UBERON:0002108			Small intestine [UBERON:0002108]			Subdivision of digestive tract that connects the stomach to the large intestine and is where much of the digestion and absorption of food takes place (with the exception of ruminants). The mammalian small intestine is long and coiled and can be differentiated histologically into: duodenum, jejunem, ileum.						
		UBERON:0002114			Duodenum [UBERON:0002114]			The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one).						
		UBERON:0002116			Ileum [UBERON:0002116]			The portion of the small intestine that extends from the jejunum to the colon.						
		UBERON:0002115			Jejunum [UBERON:0002115]			The portion of the small intestine that extends from the duodenum to the ileum. 						
		UBERON:0000945		Stomach [UBERON:0000945]				An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium.						
		UBERON:0007358			Abomasum [UBERON:0007358]			The fourth stomach of ruminating animals, which is an elongated pear-shaped sac lying on the floor of the abdomen, on the right-hand side, and roughly between the seventh and twelfth ribs. It leads to the beginning of the small intestine. 						
		UBERON:0007365			Rumen [UBERON:0007365]			The first compartment of the ruminant stomach. It lies on the left side of the body, occupying the whole of the left side of the abdomen and even stretching across the median plane of the body to the right side. It is capacious, divided into an upper and a lower sac, each of which has a blind sac at its posterior extremity.						
			Excretory system (organizational term) 					An organ or anatomical structure associated with excretion or detoxification of substances in the body.						
		UBERON:0001245		Anus [UBERON:0001245]				Orifice at the opposite end of an animal's digestive tract from the mouth. Its function is to expel feces, unwanted semi-solid matter produced during digestion, which, depending on the type of animal, may be one or more of: matter which the animal cannot digest, such as bones; food material after all the nutrients have been extracted, for example cellulose or lignin; ingested matter which would be toxic if it remained in the digestive tract; and dead or excess gut bacteria and other endosymbionts.						
		UBERON:0011253		Anal gland [UBERON:0011253]				A type of gland occurring as solitary or in pairs or groups, near the anus and sometimes opening into the rectum.						
		UBERON:0000162		Cloaca [UBERON:0000162]				Common chamber into which the intestines and excretory system opens. Arises during development in all vertebrates, but in many it becomes subdivided, lost or incorporated into other structures.						
		UBERON:0002107		Liver [UBERON:0002107]				An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes						
		UBERON:0002113		Kidney [UBERON:0002113]				A paired organ of the urinary tract which has the production of urine as its primary function.						
		UBERON:0001052		Rectum [UBERON:0001052]				The terminal portion of the intestinal tube, terminating with the anus.						
		UBERON:0002106		Spleen [UBERON:0002106]				The organ that functions to filter blood and to store red corpuscles and platelets. 						
		UBERON:0001255		Urinary bladder [UBERON:0001255]				Distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion.						
		UBERON:0002387	Foot [UBERON:0002387]					The terminal part of the vertebrate leg upon which an individual stands. 2: An invertebrate organ of locomotion or attachment; especially: a ventral muscular surface or process of a mollusk. 						
		UBERON:0000033		Head [UBERON:0000033]				The head is the anterior-most division of the body.						
