Ontology ID	Meaning (LinkML)	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal
GENEPIO:0001174		Sample collection and processing	sample collection date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required	2019-10-01				The date on which the sample was collected.	Sample collection date is critical for surveillance and many types of analyses. Required granularity includes year, month and day. If this date is considered identifiable information, it is acceptable to add "jitter" by adding or subtracting a calendar day (acceptable by GISAID). Alternatively, ”received date” may be used as a substitute. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2020-03-16	Collection date	Patient Sample Collected Date	HC_COLLECT_DATE	sample collection date	sample collection date
GENEPIO:0001177		Sample collection and processing	sample collection date precision	select			required					The precision to which the "sample collection date" was provided.	Provide the precision of granularity to the "day", "month", or "year" for the date provided in the "sample collection date" field. The "sample collection date" will be truncated to the precision specified upon export; "day" for "YYYY-MM-DD", "month" for "YYYY-MM", or "year" for "YYYY".	year		Precision of date collected	HC_TEXT2		
GENEPIO:0001179		Sample collection and processing	sample received date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The date on which the sample was received.	ISO 8601 standard "YYYY-MM-DD".	2020-03-20			sample received date		
GENEPIO:0001181		Sample collection and processing	geo_loc_name (country)	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The country where the sample was collected.	Provide the country name from the controlled vocabulary provided.	Canada	Location	Patient Country	HC_COUNTRY	geo_loc_name	geo_loc_name (country)
GENEPIO:0001185		Sample collection and processing	geo_loc_name (state/province/territory)	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The province/territory where the sample was collected.	Provide the province/territory name from the controlled vocabulary provided.	Saskatchewan		Patient Province	HC_PROVINCE	geo_loc_name	geo_loc_name (state/province/territory)
GENEPIO:0001189		Sample collection and processing	geo_loc_name (city)	xs:token								The city where the sample was collected.	Provide the city name. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	Medicine Hat		Patient City	geo_loc_name (city)		
GENEPIO:0001191		Sample collection and processing	organism	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					Taxonomic name of the organism.	Use "Severe acute respiratory syndrome coronavirus 2". This value is provided in the template.	Severe acute respiratory syndrome coronavirus 2		Pathogen	HC_CURRENT_ID	organism	organism
GENEPIO:0001195		Sample collection and processing	isolate	xs:token		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					Identifier of the specific isolate.	Provide the GISAID virus name, which should be written in the format “hCov-19/CANADA/2 digit provincial ISO code-xxxxx/year”.	hCov-19/CANADA/BC-prov_rona_99/2020	Virus name	GISAID Virus Name	RESULT - CANCOGEN_SUBMISSIONS	isolate;GISAID_virus_name	isolate;fasta header name
GENEPIO:0001198		Sample collection and processing	purpose of sampling	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The reason that the sample was collected.	The reason a sample was collected may provide information about potential biases in sampling strategy. Provide the purpose of sampling from the picklist in the template. Most likely, the sample was collected for Diagnostic testing. The reason why a sample was originally collected may differ from the reason why it was selected for sequencing, which should be indicated in the "purpose of sequencing" field. 	Diagnostic testing		Reason for Sampling	HC_SAMPLE_CATEGORY	purpose_of_sampling	purpose of sampling
GENEPIO:0001200		Sample collection and processing	purpose of sampling details	xs:token		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The description of why the sample was collected, providing specific details.	Provide an expanded description of why the sample was collected using free text. The description may include the importance of the sample for a particular public health investigation/surveillance activity/research question. If details are not available, provide a null value.	The sample was collected to investigate the prevalence of variants associated with mink-to-human transmission in Canada. 		Details on the Reason for Sampling	PH_SAMPLING_DETAILS	description	purpose of sampling details
GENEPIO:0001204		Sample collection and processing	NML submitted specimen type	select			required					The type of specimen submitted to the National Microbiology Laboratory (NML) for testing.	This information is required for upload through the CNPHI LaSER system. Select the specimen type from the pick list provided. If sequence data is being submitted rather than a specimen for testing, select “Not Applicable”.	swab		Specimen Type	PH_SPECIMEN_TYPE		
GENEPIO:0001209		Sample collection and processing	Related specimen relationship type	select								The relationship of the current specimen to the specimen/sample previously submitted to the repository.	Provide the tag that describes how the previous sample is related to the current sample being submitted from the pick list provided, so that the samples can be linked and tracked in the system.	Specimen sampling methods testing		Related Specimen ID;Related Specimen Relationship Type	PH_RELATED_RELATIONSHIP_TYPE		
GENEPIO:0001211		Sample collection and processing	anatomical material	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					A substance obtained from an anatomical part of an organism e.g. tissue, blood.	Provide a descriptor if an anatomical material was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Blood	Specimen source	Anatomical Material	PH_ISOLATION_SITE_DESC	isolation_source;anatomical_material	anatomical material
GENEPIO:0001214		Sample collection and processing	anatomical part	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					An anatomical part of an organism e.g. oropharynx.	Provide a descriptor if an anatomical part was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Nasopharynx (NP)	Specimen source	Anatomical Site	PH_ISOLATION_SITE	isolation_source;anatomical_part	anatomical part
GENEPIO:0001216		Sample collection and processing	body product	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					A substance excreted/secreted from an organism e.g. feces, urine, sweat.	Provide a descriptor if a body product was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Feces	Specimen source	Body Product	PH_SPECIMEN_SOURCE_DESC	isolation_source;body_product	body product
GENEPIO:0001223		Sample collection and processing	environmental material	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					A substance obtained from the natural or man-made environment e.g. soil, water, sewage.	Provide a descriptor if an environmental material was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Face mask	Specimen source	Environmental Material	PH_ENVIRONMENTAL_MATERIAL	isolation_source;environmental_material	environmental material
GENEPIO:0001232		Sample collection and processing	environmental site	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					An environmental location may describe a site in the natural or built environment e.g. contact surface, metal can, hospital, wet market, bat cave.	Provide a descriptor if an environmental site was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Production Facility	Specimen source	Environmental Site	PH_ENVIRONMENTAL_SITE	isolation_source;environmental_site	environmental site
GENEPIO:0001234		Sample collection and processing	collection device	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The instrument or container used to collect the sample e.g. swab.	Provide a descriptor if a device was used for sampling. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Swab	Specimen source	Specimen Collection Matrix	PH_SPECIMEN_TYPE_ORIG	isolation_source;collection_device	collection device
GENEPIO:0001241		Sample collection and processing	collection method	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The process used to collect the sample e.g. phlebotamy, necropsy.	Provide a descriptor if a collection method was used for sampling. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Bronchoalveolar lavage (BAL)	Specimen source	Collection Method	COLLECTION_METHOD	isolation_source;collection_method	collection method
GENEPIO:0001243		Sample collection and processing	collection protocol	xs:token								The name and version of a particular protocol used for sampling.	Free text.	BCRonaSamplingProtocol v. 1.2			collection protocol		
GENEPIO:0001253		Sample collection and processing	specimen processing	multiple		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	recommended					Any processing applied to the sample during or after receiving the sample.	Critical for interpreting data. Select all the applicable processes from the pick list. If virus was passaged, include information in "lab host", "passage number", and "passage method" fields. If none of the processes in the pick list apply, put "not applicable".	Virus passage	Passage details/history		specimen processing		
GENEPIO:0001255		Sample collection and processing	lab host	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	recommended					Name and description of the laboratory host used to propagate the source organism or material from which the sample was obtained.	Type of cell line used for propagation. Provide the name of the cell line using the picklist in the template. If not passaged, put "not applicable".	Vero E6 cell line	Passage details/history		lab host	lab_host	
GENEPIO:0001261		Sample collection and processing	passage number	xs:nonNegativeInteger		Not Applicable 	recommended					Number of passages.	Provide number of known passages. If not passaged, put "not applicable"	3	Passage details/history		passage number	passage_history	
GENEPIO:0001264		Sample collection and processing	passage method	xs:token		Not Applicable	recommended					Description of how organism was passaged.	Free text. Provide a very short description (<10 words). If not passaged, put "not applicable".	0.25% trypsin + 0.02% EDTA	Passage details/history		passage method	passage_method	
GENEPIO:0001266		Sample collection and processing	biomaterial extracted	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The biomaterial extracted from samples for the purpose of sequencing.	Provide the biomaterial extracted from the picklist in the template.	RNA (total)			biomaterial extracted		
GENEPIO:0001268			Host Information																
GENEPIO:0001386		Host Information	host (common name)	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The commonly used name of the host.	Common name or scientific name are required if there was a host. Both can be provided, if known. Use terms from the pick lists in the template. Common name e.g. human, bat. If the sample was environmental, put "not applicable.	Human		Animal Type	PH_ANIMAL_TYPE		
GENEPIO:0001387		Host Information	host (scientific name)	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The taxonomic, or scientific name of the host.	Common name or scientific name are required if there was a host. Both can be provided, if known. Use terms from the pick lists in the template. Scientific name e.g. Homo sapiens, If the sample was environmental, put "not applicable	Homo sapiens	Host		host (scientific name)	host	host (scientific name)
GENEPIO:0001388		Host Information	host health state	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						Health status of the host at the time of sample collection.	If known, select a descriptor from the pick list provided in the template.	Symptomatic	Patient status	Host Health State	PH_HOST_HEALTH	host_health_state	
GENEPIO:0001389		Host Information	host health status details	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						Further details pertaining to the health or disease status of the host at time of collection.	If known, select a descriptor from the pick list provided in the template.	Hospitalized (ICU)		Host Health State Details	PH_HOST_HEALTH_DETAILS		
GENEPIO:0001390		Host Information	host health outcome	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						Disease outcome in the host.	If known, select a descriptor from the pick list provided in the template.	Recovered			PH_HOST_HEALTH_OUTCOME	host_disease_outcome	
GENEPIO:0001391		Host Information	host disease	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The name of the disease experienced by the host.	Select "COVID-19" from the pick list provided in the template.	COVID-19		Host Disease	PH_HOST_DISEASE	host_disease	host disease
GENEPIO:0001392		Host Information	host age	xs:decimal		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required	0	130			Age of host at the time of sampling.	Enter the age of the host in years. If not available, provide a null value. If there is not host, put "Not Applicable".	79	Patient age	Patient Age	PH_AGE	host_age	host age
GENEPIO:0001393		Host Information	host age unit	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The unit used to measure the host age, in either months or years.	Indicate whether the host age is in months or years. Age indicated in months will be binned to the 0 - 9 year age bin. 	years		Age Units	PH_AGE_UNIT		host age unit
GENEPIO:0001394		Host Information	host age bin	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					Age of host at the time of sampling, expressed as an age group.	Select the corresponding host age bin from the pick list provided in the template. If not available, provide a null value.	60 - 69		Host Age Category	PH_AGE_GROUP		host age bin
GENEPIO:0001395		Host Information	host gender	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required			Title		The gender of the host at the time of sample collection.	Select the corresponding host gender from the pick list provided in the template. If not available, provide a null value. If there is no host, put "Not Applicable".	male	Gender	Patient Sex	VD_SEX	host_sex	host gender
GENEPIO:0001396		Host Information	host residence geo_loc name (country)	select	geo_loc_name (country)	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The country of residence of the host.	Select the country name from pick list provided in the template.	United Kingdom			PH_HOST_COUNTRY		
GENEPIO:0001397		Host Information	host residence geo_loc name (state/province/territory)	select	geo_loc_name (state/province/territory)	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The state/province/territory of residence of the host.	Select the province/territory name from pick list provided in the template.	Quebec			PH_HOST_PROVINCE		
GENEPIO:0001398		Host Information	host subject ID	xs:token								A unique identifier by which each host can be referred to e.g. #131	Provide the host identifier. Should be a unique, user-defined identifier.	BCxy123			host subject ID	host_subject_id	
GENEPIO:0001399		Host Information	symptom onset date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The date on which the symptoms began or were first noted.	ISO 8601 standard "YYYY-MM-DD".	2020-03-16		Symptoms Onset Date	HC_ONSET_DATE		
GENEPIO:0001400		Host Information	signs and symptoms	multiple		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						A perceived change in function or sensation, (loss, disturbance or appearance) indicative of a disease, reported by a patient or clinician.	Select all of the symptoms experienced by the host from the pick list.	Chills (sudden cold sensation); Cough; Fever		Symptoms	HC_SYMPTOMS		
GENEPIO:0001401		Host Information	pre-existing conditions and risk factors	multiple		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						Patient pre-existing conditions and risk factors. <li>Pre-existing condition: A medical condition that existed prior to the current infection. <li>Risk Factor: A variable associated with an increased risk of disease or infection.	Select all of the pre-existing conditions and risk factors experienced by the host from the pick list. If the desired term is missing, contact the curation team.	Asthma; Pregnancy; Smoking			pre-existing conditions and risk factors		
GENEPIO:0001402		Host Information	complications	multiple		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						Patient medical complications that are believed to have occurred as a result of host disease.	Select all of the complications experienced by the host from the pick list. If the desired term is missing, contact the curation team.	Acute Respiratory Failure; Coma; Septicemia			complications		
GENEPIO:0001403			Host vaccination information																
GENEPIO:0001404		Host vaccination information	host vaccination status	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The vaccination status of the host (fully vaccinated, partially vaccinated, or not vaccinated).	Select the vaccination status of the host from the pick list.	Fully Vaccinated			PH_VACCINATION_HISTORY		
GENEPIO:0001406		Host vaccination information	number of vaccine doses received	xs:nonNegativeInteger								The number of doses of the vaccine recived by the host.	Record how many doses of the vaccine the host has received.	2					
		Host vaccination information	vaccination dose 1 vaccine name	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The name of the vaccine administered as the first dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the first dose by selecting a value from the pick list	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
		Host vaccination information	vaccination dose 1 vaccination date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The date the first dose of a vaccine was administered.	Provide the date the first dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".				PH_VACCINATION_HISTORY		
		Host vaccination information	vaccination dose 2 vaccine name	select	vaccination dose 1 vaccine name	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The name of the vaccine administered as the second dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the second dose by selecting a value from the pick list	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
		Host vaccination information	vaccination dose 2 vaccination date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The date the second dose of a vaccine was administered.	Provide the date the second dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".				PH_VACCINATION_HISTORY		
		Host vaccination information	vaccination dose 3 vaccine name	select	vaccination dose 1 vaccine name	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The name of the vaccine administered as the third dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the third dose by selecting a value from the pick list	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
		Host vaccination information	vaccination dose 3 vaccination date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The date the third dose of a vaccine was administered.	Provide the date the third dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".				PH_VACCINATION_HISTORY		
		Host vaccination information	vaccination dose 4 vaccine name	select	vaccination dose 1 vaccine name	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The name of the vaccine administered as the fourth dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the fourth dose by selecting a value from the pick list	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
		Host vaccination information	vaccination dose 4 vaccination date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The date the fourth dose of a vaccine was administered.	Provide the date the fourth dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".				PH_VACCINATION_HISTORY		
		Host vaccination information	vaccination history	xs:token								A description of the vaccines received and the administration dates of a series of vaccinations against a specific disease or a set of diseases.					PH_VACCINATION_HISTORY		
GENEPIO:0001409			Host exposure information																
GENEPIO:0001410		Host exposure information	location of exposure geo_loc name (country)	select	geo_loc_name (country)	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The country where the host was likely exposed to the causative agent of the illness.	Select the country name from pick list provided in the template.	Canada			PH_EXPOSURE_COUNTRY		
GENEPIO:0001411		Host exposure information	destination of most recent travel (city)	xs:token								The name of the city that was the destination of most recent travel.	Provide the name of the city that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	New York City		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
GENEPIO:0001412		Host exposure information	destination of most recent travel (state/province/territory)	xs:token								The name of the province that was the destination of most recent travel.	Provide the name of the state/province/territory that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	California		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
GENEPIO:0001413		Host exposure information	destination of most recent travel (country)	select	geo_loc_name (country)	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The name of the country that was the destination of most recent travel.	Provide the name of the country that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	United Kingdom		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
GENEPIO:0001414		Host exposure information	most recent travel departure date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The date of a person's most recent departure from their primary residence (at that time) on a journey to one or more other locations.	Provide the travel departure date.	2020-03-16		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
GENEPIO:0001415		Host exposure information	most recent travel return date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The date of a person's most recent return to some residence from a journey originating at that residence.	Provide the travel return date.	2020-04-26		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
GENEPIO:0001416		Host exposure information	travel history	xs:token								Travel history in last six months.	Specify the countries (and more granular locations if known, separated by a comma) travelled in the last six months; can include multiple travels. Separate multiple travel events with a semi-colon. List most recent travel first.	Canada, Vancouver; USA, Seattle; Italy, Milan			PH_TRAVEL		
GENEPIO:0001417		Host exposure information	exposure event	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						Event leading to exposure.	Select an exposure event from the pick list provided in the template. If the desired term is missing, contact the curation team.	Convention	Additional location information	Exposure Event	PH_EXPOSURE		
GENEPIO:0001418		Host exposure information	exposure contact level	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The exposure transmission contact type.	Select direct or indirect exposure from the pick-list.	Direct			exposure contact level		
GENEPIO:0001419		Host exposure information	host role	multiple								The role of the host in relation to the exposure setting.	Select the host's personal role(s) from the pick list provided in the template. If the desired term is missing, contact the curation team.	Patient			PH_HOST_ROLE		
GENEPIO:0001428		Host exposure information	exposure setting	multiple								The setting leading to exposure.	Select the host exposure setting(s) from the pick list provided in the template. If a desired term is missing, contact the curation team.	Healthcare Setting			PH_EXPOSURE		
GENEPIO:0001431		Host exposure information	exposure details	xs:token								Additional host exposure information.	Free text description of the exposure.	Host role - Other: Bus Driver			PH_EXPOSURE_DETAILS		
																			
																			
GENEPIO:0001434			Host reinfection information																
GENEPIO:0001435		Host reinfection information	prior SARS-CoV-2 infection	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						Whether there was prior SARS-CoV-2 infection.	If known, provide information about whether the individual had a previous SARS-CoV-2 infection. Select a value from the pick list.	Yes			prior SARS-CoV-2 infection		
GENEPIO:0001436		Host reinfection information	prior SARS-CoV-2 infection isolate	xs:token								The identifier of the isolate found in the prior SARS-CoV-2 infection.	Provide the isolate name of the most recent prior infection. Structure the "isolate" name to be ICTV/INSDC compliant in the following format: "SARS-CoV-2/host/country/sampleID/date".	SARS-CoV-2/human/USA/CA-CDPH-001/2020			prior SARS-CoV-2 infection isolate		
GENEPIO:0001437		Host reinfection information	prior SARS-CoV-2 infection date	xs:date								The date of diagnosis of the prior SARS-CoV-2 infection.	Provide the date that the most recent prior infection was diagnosed. Provide the prior SARS-CoV-2 infection date in ISO 8601 standard format "YYYY-MM-DD".	2021-01-23			prior SARS-CoV-2 infection date		
