class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	string_serialization	description	comments	examples	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal
	Sample collection and processing	GENEPIO:0001200	purpose of sampling details		xsd:token	null value menu			TRUE						The description of why the sample was collected, providing specific details.	Provide an expanded description of why the sample was collected using free text. The description may include the importance of the sample for a particular public health investigation/surveillance activity/research question. If details are not available, provide a null value.	The sample was collected to investigate the prevalence of variants associated with mink-to-human transmission in Canada. 		Details on the Reason for Sampling	PH_SAMPLING_DETAILS	description	purpose of sampling details
	Sample collection and processing	GENEPIO:0001204	NML submitted specimen type		selectNML submitted specimen type menu				TRUE						The type of specimen submitted to the National Microbiology Laboratory (NML) for testing.	This information is required for upload through the CNPHI LaSER system. Select the specimen type from the pick list provided. If sequence data is being submitted rather than a specimen for testing, select “Not Applicable”.	swab		Specimen Type	PH_SPECIMEN_TYPE		
	Sample collection and processing	GENEPIO:0001209	Related specimen relationship type		Related specimen relationship type menu										The relationship of the current specimen to the specimen/sample previously submitted to the repository.	Provide the tag that describes how the previous sample is related to the current sample being submitted from the pick list provided, so that the samples can be linked and tracked in the system.	Specimen sampling methods testing		Related Specimen ID;Related Specimen Relationship Type	PH_RELATED_RELATIONSHIP_TYPE		
	Sample collection and processing	GENEPIO:0001211	anatomical material		anatomical material menu	null value menu		TRUE	TRUE						A substance obtained from an anatomical part of an organism e.g. tissue, blood.	Provide a descriptor if an anatomical material was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Blood	Specimen source	Anatomical Material	PH_ISOLATION_SITE_DESC	isolation_source;anatomical_material	anatomical material
	Sample collection and processing	GENEPIO:0001214	anatomical part		anatomical part menu	null value menu		TRUE	TRUE						An anatomical part of an organism e.g. oropharynx.	Provide a descriptor if an anatomical part was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Nasopharynx (NP)	Specimen source	Anatomical Site	PH_ISOLATION_SITE	isolation_source;anatomical_part	anatomical part
	Sample collection and processing	GENEPIO:0001216	body product		body product menu menu	null value menu		TRUE	TRUE						A substance excreted/secreted from an organism e.g. feces, urine, sweat.	Provide a descriptor if a body product was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Feces	Specimen source	Body Product	PH_SPECIMEN_SOURCE_DESC	isolation_source;body_product	body product
	Sample collection and processing	GENEPIO:0001223	environmental material		environmental material menu	null value menu		TRUE	TRUE						A substance obtained from the natural or man-made environment e.g. soil, water, sewage.	Provide a descriptor if an environmental material was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Face mask	Specimen source	Environmental Material	PH_ENVIRONMENTAL_MATERIAL	isolation_source;environmental_material	environmental material
	Sample collection and processing	GENEPIO:0001232	environmental site		environmental site menu	null value menu		TRUE	TRUE						An environmental location may describe a site in the natural or built environment e.g. contact surface, metal can, hospital, wet market, bat cave.	Provide a descriptor if an environmental site was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Production Facility	Specimen source	Environmental Site	PH_ENVIRONMENTAL_SITE	isolation_source;environmental_site	environmental site
	Sample collection and processing	GENEPIO:0001234	collection device		collection device menu	null value menu		TRUE	TRUE						The instrument or container used to collect the sample e.g. swab.	Provide a descriptor if a device was used for sampling. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Swab	Specimen source	Specimen Collection Matrix	PH_SPECIMEN_TYPE_ORIG	isolation_source;collection_device	collection device
	Sample collection and processing	GENEPIO:0001241	collection method		collection method menu	null value menu		TRUE	TRUE						The process used to collect the sample e.g. phlebotamy, necropsy.	Provide a descriptor if a collection method was used for sampling. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Bronchoalveolar lavage (BAL)	Specimen source	Collection Method	COLLECTION_METHOD	isolation_source;collection_method	collection method
	Sample collection and processing	GENEPIO:0001243	collection protocol		xsd:token										The name and version of a particular protocol used for sampling.	Free text.	BCRonaSamplingProtocol v. 1.2			collection protocol		
	Sample collection and processing	GENEPIO:0001253	specimen processing		specimen processing menu	null value menu		TRUE		TRUE					Any processing applied to the sample during or after receiving the sample.	Critical for interpreting data. Select all the applicable processes from the pick list. If virus was passaged, include information in "lab host", "passage number", and "passage method" fields. If none of the processes in the pick list apply, put "not applicable".	Virus passage	Passage details/history		specimen processing		
	Sample collection and processing	GENEPIO:0100311	specimen processing details		xsd:token										Detailed information regarding the processing applied to a sample during or after receiving the sample.	Provide a free text description of any processing details applied to a sample.	25 swabs were pooled and further prepared as a single sample during library prep.					
	Sample collection and processing	GENEPIO:0001255	lab host		lab host menu	null value menu				TRUE					Name and description of the laboratory host used to propagate the source organism or material from which the sample was obtained.	Type of cell line used for propagation. Provide the name of the cell line using the picklist in the template. If not passaged, put "not applicable".	Vero E6 cell line	Passage details/history		lab host	lab_host	
	Sample collection and processing	GENEPIO:0001261	passage number		integer	null value menu				TRUE	0				Number of passages.	Provide number of known passages. If not passaged, put "not applicable"	3	Passage details/history		passage number	passage_history	
	Sample collection and processing	GENEPIO:0001264	passage method		xsd:token	null value menu				TRUE					Description of how organism was passaged.	Free text. Provide a very short description (<10 words). If not passaged, put "not applicable".	0.25% trypsin + 0.02% EDTA	Passage details/history		passage method	passage_method	
	Sample collection and processing	GENEPIO:0001266	biomaterial extracted		biomaterial extracted menu	null value menu									The biomaterial extracted from samples for the purpose of sequencing.	Provide the biomaterial extracted from the picklist in the template.	RNA (total)			biomaterial extracted		
		GENEPIO:0001268	Host Information																			
	Host Information	GENEPIO:0001386	host (common name)		host (common name) menu	null value menu									The commonly used name of the host.	Common name or scientific name are required if there was a host. Both can be provided, if known. Use terms from the pick lists in the template. Common name e.g. human, bat. If the sample was environmental, put "not applicable.	Human		Animal Type	PH_ANIMAL_TYPE		
	Host Information	GENEPIO:0001387	host (scientific name)		host (scientific name) menu	null value menu			TRUE						The taxonomic, or scientific name of the host.	Common name or scientific name are required if there was a host. Both can be provided, if known. Use terms from the pick lists in the template. Scientific name e.g. Homo sapiens, If the sample was environmental, put "not applicable	Homo sapiens	Host		host (scientific name)	host	host (scientific name)
	Host Information	GENEPIO:0001388	host health state		host health state menu	null value menu									Health status of the host at the time of sample collection.	If known, select a descriptor from the pick list provided in the template.	Symptomatic	Patient status	Host Health State	PH_HOST_HEALTH	host_health_state	
	Host Information	GENEPIO:0001389	host health status details		host health status details menu	null value menu									Further details pertaining to the health or disease status of the host at time of collection.	If known, select a descriptor from the pick list provided in the template.	Hospitalized (ICU)		Host Health State Details	PH_HOST_HEALTH_DETAILS		
	Host Information	GENEPIO:0001390	host health outcome		host health outcome menu	null value menu									Disease outcome in the host.	If known, select a descriptor from the pick list provided in the template.	Recovered			PH_HOST_HEALTH_OUTCOME	host_disease_outcome	
	Host Information	GENEPIO:0001391	host disease		host disease menu	null value menu			TRUE						The name of the disease experienced by the host.	Select "COVID-19" from the pick list provided in the template.	COVID-19		Host Disease	PH_HOST_DISEASE	host_disease	host disease
	Host Information	GENEPIO:0001392	host age		decimal	null value menu			TRUE		0	130			Age of host at the time of sampling.	Enter the age of the host in years. If not available, provide a null value. If there is not host, put "Not Applicable".	79	Patient age	Patient Age	PH_AGE	host_age	host age
	Host Information	GENEPIO:0001393	host age unit		host age unit menu	null value menu			TRUE						The unit used to measure the host age, in either months or years.	Indicate whether the host age is in months or years. Age indicated in months will be binned to the 0 - 9 year age bin. 	years		Age Units	PH_AGE_UNIT		host age unit
	Host Information	GENEPIO:0001394	host age bin		host age bin menu	null value menu			TRUE						Age of host at the time of sampling, expressed as an age group.	Select the corresponding host age bin from the pick list provided in the template. If not available, provide a null value.	60 - 69		Host Age Category	PH_AGE_GROUP		host age bin
	Host Information	GENEPIO:0001395	host gender		host gender menu	null value menu			TRUE					{Title_Case}	The gender of the host at the time of sample collection.	Select the corresponding host gender from the pick list provided in the template. If not available, provide a null value. If there is no host, put "Not Applicable".	male	Gender	Patient Sex	VD_SEX	host_sex	host gender
	Host Information	GENEPIO:0001396	host residence geo_loc name (country)		geo_loc_name (country) menu	null value menu									The country of residence of the host.	Select the country name from pick list provided in the template.	Canada			PH_HOST_COUNTRY		
	Host Information	GENEPIO:0001397	host residence geo_loc name (state/province/territory)		geo_loc_name (state/province/territory) menu	null value menu									The state/province/territory of residence of the host.	Select the province/territory name from pick list provided in the template.	Quebec			PH_HOST_PROVINCE		
	Host Information	GENEPIO:0001398	host subject ID		xsd:token										A unique identifier by which each host can be referred to e.g. #131	Provide the host identifier. Should be a unique, user-defined identifier.	BCxy123			host subject ID	host_subject_id	
	Host Information	GENEPIO:0001399	symptom onset date		date	null value menu									The date on which the symptoms began or were first noted.	ISO 8601 standard "YYYY-MM-DD".	2020-03-16		Symptoms Onset Date	HC_ONSET_DATE		
	Host Information	GENEPIO:0001400	signs and symptoms		signs and symptoms menu	null value menu		TRUE							A perceived change in function or sensation, (loss, disturbance or appearance) indicative of a disease, reported by a patient or clinician.	Select all of the symptoms experienced by the host from the pick list.	Chills (sudden cold sensation); Cough; Fever		Symptoms	HC_SYMPTOMS		
	Host Information	GENEPIO:0001401	pre-existing conditions and risk factors		pre-existing conditions and risk factors menu	null value menu		TRUE							Patient pre-existing conditions and risk factors. <li>Pre-existing condition: A medical condition that existed prior to the current infection. <li>Risk Factor: A variable associated with an increased risk of disease or infection.	Select all of the pre-existing conditions and risk factors experienced by the host from the pick list. If the desired term is missing, contact the curation team.	Asthma; Pregnancy; Smoking			pre-existing conditions and risk factors		
	Host Information	GENEPIO:0001402	complications		complications menu	null value menu		TRUE							Patient medical complications that are believed to have occurred as a result of host disease.	Select all of the complications experienced by the host from the pick list. If the desired term is missing, contact the curation team.	Acute Respiratory Failure; Coma; Septicemia			complications		
		GENEPIO:0001403	Host vaccination information																			
	Host vaccination information	GENEPIO:0001404	host vaccination status		host vaccination status menu	null value menu									The vaccination status of the host (fully vaccinated, partially vaccinated, or not vaccinated).	Select the vaccination status of the host from the pick list.	Fully Vaccinated			PH_VACCINATION_HISTORY		
	Host vaccination information	GENEPIO:0001406	number of vaccine doses received		integer										The number of doses of the vaccine recived by the host.	Record how many doses of the vaccine the host has received.	2					
	Host vaccination information	GENEPIO:0100313	vaccination dose 1 vaccine name		vaccine name menu	null value menu									The name of the vaccine administered as the first dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the first dose by selecting a value from the pick list	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
	Host vaccination information	GENEPIO:0100314	vaccination dose 1 vaccination date		date	null value menu									The date the first dose of a vaccine was administered.	Provide the date the first dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2021-03-01			PH_VACCINATION_HISTORY		
	Host vaccination information	GENEPIO:0100315	vaccination dose 2 vaccine name		vaccine name menu	null value menu									The name of the vaccine administered as the second dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the second dose by selecting a value from the pick list	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
	Host vaccination information	GENEPIO:0100316	vaccination dose 2 vaccination date		date	null value menu									The date the second dose of a vaccine was administered.	Provide the date the second dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2021-09-01			PH_VACCINATION_HISTORY		
	Host vaccination information	GENEPIO:0100317	vaccination dose 3 vaccine name		vaccine name menu	null value menu									The name of the vaccine administered as the third dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the third dose by selecting a value from the pick list	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
	Host vaccination information	GENEPIO:0100318	vaccination dose 3 vaccination date		date	null value menu									The date the third dose of a vaccine was administered.	Provide the date the third dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2021-12-30			PH_VACCINATION_HISTORY		
	Host vaccination information	GENEPIO:0100319	vaccination dose 4 vaccine name		vaccine name menu	null value menu									The name of the vaccine administered as the fourth dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the fourth dose by selecting a value from the pick list	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
	Host vaccination information	GENEPIO:0100320	vaccination dose 4 vaccination date		date	null value menu									The date the fourth dose of a vaccine was administered.	Provide the date the fourth dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2022-01-15			PH_VACCINATION_HISTORY		
	Host vaccination information	GENEPIO:0100321	vaccination history		xsd:token										A description of the vaccines received and the administration dates of a series of vaccinations against a specific disease or a set of diseases.	Free text description of the dates and vaccines administered against a particular disease/set of diseases. It is also acceptable to concatenate the individual dose information (vaccine name, vaccination date) separated by semicolons.	Pfizer-BioNTech (Comirnaty); 2021-03-01; Pfizer-BioNTech (Comirnaty); 2022-01-15			PH_VACCINATION_HISTORY		
		GENEPIO:0001409	Host exposure information																			
	Host exposure information	GENEPIO:0001410	location of exposure geo_loc name (country)		geo_loc_name (country) menu	null value menu									The country where the host was likely exposed to the causative agent of the illness.	Select the country name from pick list provided in the template.	Canada			PH_EXPOSURE_COUNTRY		
	Host exposure information	GENEPIO:0001411	destination of most recent travel (city)		xsd:token										The name of the city that was the destination of most recent travel.	Provide the name of the city that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	New York City		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
	Host exposure information	GENEPIO:0001412	destination of most recent travel (state/province/territory)		xsd:token										The name of the province that was the destination of most recent travel.	Provide the name of the state/province/territory that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	California		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
	Host exposure information	GENEPIO:0001413	destination of most recent travel (country)		geo_loc_name (country) menu	null value menu									The name of the country that was the destination of most recent travel.	Provide the name of the country that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	United Kingdom		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
	Host exposure information	GENEPIO:0001414	most recent travel departure date		date	null value menu									The date of a person's most recent departure from their primary residence (at that time) on a journey to one or more other locations.	Provide the travel departure date.	2020-03-16		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
	Host exposure information	GENEPIO:0001415	most recent travel return date		date	null value menu									The date of a person's most recent return to some residence from a journey originating at that residence.	Provide the travel return date.	2020-04-26		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
	Host exposure information		travel point of entry type		travel point of entry type menu	null value menu				TRUE					The type of entry point a traveler arrives through.	Select the point of entry type.	Air			PH_POINT_OF_ENTRY		
	Host exposure information		border testing test day type		border testing test day type menu	null value menu				TRUE					The day a traveller was tested on or after arrival at their point of entry. 	Select the test day.	day 1			PH_DAY		
	Host exposure information	GENEPIO:0001416	travel history		xsd:token										Travel history in last six months.	Specify the countries (and more granular locations if known, separated by a comma) travelled in the last six months; can include multiple travels. Separate multiple travel events with a semi-colon. List most recent travel first.	Canada, Vancouver; USA, Seattle; Italy, Milan			PH_TRAVEL		
	Host exposure information	GENEPIO:0001417	exposure event		exposure event menu	null value menu									Event leading to exposure.	Select an exposure event from the pick list provided in the template. If the desired term is missing, contact the curation team.	Convention	Additional location information	Exposure Event	PH_EXPOSURE		
	Host exposure information	GENEPIO:0001418	exposure contact level		exposure contact level menu	null value menu									The exposure transmission contact type.	Select direct or indirect exposure from the pick-list.	Direct			exposure contact level		
	Host exposure information	GENEPIO:0001419	host role		host role menu			TRUE							The role of the host in relation to the exposure setting.	Select the host's personal role(s) from the pick list provided in the template. If the desired term is missing, contact the curation team.	Patient			PH_HOST_ROLE		
	Host exposure information	GENEPIO:0001428	exposure setting		exposure setting menu			TRUE							The setting leading to exposure.	Select the host exposure setting(s) from the pick list provided in the template. If a desired term is missing, contact the curation team.	Healthcare Setting			PH_EXPOSURE		
	Host exposure information	GENEPIO:0001431	exposure details		xsd:token										Additional host exposure information.	Free text description of the exposure.	Host role - Other: Bus Driver			PH_EXPOSURE_DETAILS		
																						
																						
		GENEPIO:0001434	Host reinfection information																			
	Host reinfection information	GENEPIO:0001435	prior SARS-CoV-2 infection		prior SARS-CoV-2 infection menu	null value menu									Whether there was prior SARS-CoV-2 infection.	If known, provide information about whether the individual had a previous SARS-CoV-2 infection. Select a value from the pick list.	Yes			prior SARS-CoV-2 infection		
	Host reinfection information	GENEPIO:0001436	prior SARS-CoV-2 infection isolate		xsd:token										The identifier of the isolate found in the prior SARS-CoV-2 infection.	Provide the isolate name of the most recent prior infection. Structure the "isolate" name to be ICTV/INSDC compliant in the following format: "SARS-CoV-2/host/country/sampleID/date".	SARS-CoV-2/human/USA/CA-CDPH-001/2020			prior SARS-CoV-2 infection isolate		
	Host reinfection information	GENEPIO:0001437	prior SARS-CoV-2 infection date		date										The date of diagnosis of the prior SARS-CoV-2 infection.	Provide the date that the most recent prior infection was diagnosed. Provide the prior SARS-CoV-2 infection date in ISO 8601 standard format "YYYY-MM-DD".	2021-01-23			prior SARS-CoV-2 infection date		
	Host reinfection information	GENEPIO:0001438	prior SARS-CoV-2 antiviral treatment		prior SARS-CoV-2 antiviral treatment menu	null value menu									Whether there was prior SARS-CoV-2 treatment with an antiviral agent.	If known, provide information about whether the individual had a previous SARS-CoV-2 antiviral treatment. Select a value from the pick list.	No prior antiviral treatment			prior SARS-CoV-2 antiviral treatment		
	Host reinfection information	GENEPIO:0001439	prior SARS-CoV-2 antiviral treatment agent		xsd:token										The name of the antiviral treatment agent administered during the prior SARS-CoV-2 infection.	Provide the name of the antiviral treatment agent administered during the most recent prior infection. If no treatment was administered, put "No treatment". If multiple antiviral agents were administered, list them all separated by commas.	Remdesivir			prior SARS-CoV-2 antiviral treatment agent		
