Ontology ID	Subset	Meaning (LinkML)	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples	EXPORT_GISAID	EXPORT_NCBI_BIOSAMPLE	EXPORT_NCBI_SRA	EXPORT_NCBI_Genbank	EXPORT_NCBI_Genbank_source_modifiers
GENEPIO:0001165	Covid-19		Sample collection and processing	sequence submitter contact email	xs:token							The email address of the contact responsible for follow-up regarding the sequence.	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	RespLab@lab.ca			sequence_submitter_contact_email		
GENEPIO:0001167	Covid-19		Sample collection and processing	sequence submitter contact address	xs:token							The mailing address of the agency submitting the sequence.	The mailing address should be in the format: Street number and name, City, Province/Territory, Postal Code, Country	123 Sunnybrooke St, Toronto, Ontario, M4P 1L6, Canada	Address				
GENEPIO:0001174	Covid-19		Sample collection and processing	sample collection date	xs:date		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The date on which the sample was collected.	Sample collection date is critical for surveillance and many types of analyses. Required granularity includes year, month and day. If this date is considered identifiable information, it is acceptable to add "jitter" by adding or subtracting a calendar day (acceptable by GISAID). Alternatively, ”received date” may be used as a substitute. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2020-03-19	Collection date	collection_date			collection-date
GENEPIO:0001179	Covid-19		Sample collection and processing	sample received date	xs:date		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The date on which the sample was received.	ISO 8601 standard "YYYY-MM-DD".	2020-03-20					
GENEPIO:0001181	Covid-19		Sample collection and processing	geo_loc_name (country)	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The country where the sample was collected.	Provide the country name from the controlled vocabulary provided.	South Africa	Location	geo_loc_name			country
GENEPIO:0001185	Covid-19		Sample collection and processing	geo_loc_name (state/province/territory)	xs:token		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The state/province/territory where the sample was collected.	Provide the state/province/territory name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/gaz	Western Cape		geo_loc_name			
GENEPIO:0100280	Covid-19		Sample collection and processing	geo_loc name (county/region)	xs:token							The county/region of origin of the sample.	Provide the county/region name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/gaz	Derbyshire		geo_loc_name			
GENEPIO:0001189	Covid-19		Sample collection and processing	geo_loc_name (city)	xs:token							The city where the sample was collected.	Provide the city name. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	Vancouver		geo_loc_name			
GENEPIO:0100309	Covid-19	OBI:0001620	Sample collection and processing	geo_loc latitude	xs:token							The latitude coordinates of the geographical location of sample collection.	Provide latitude coordinates if available. Do not use the centre of the city/region/province/state/country or the location of your agency as a proxy, as this implicates a real location and is misleading. Specify as degrees latitude in format "d[d.dddd] N|S".	38.98 N		lat_lon			
GENEPIO:0100310	Covid-19	OBI:0001621	Sample collection and processing	geo_loc longitude	xs:token							The longitude coordinates of the geographical location of sample collection.	Provide longitude coordinates if available. Do not use the centre of the city/region/province/state/country or the location of your agency as a proxy, as this implicates a real location and is misleading. Specify as degrees longitude in format "d[dd.dddd] W|E".	77.11 W		lat_lon			
GENEPIO:0001191	Covid-19		Sample collection and processing	organism	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				Taxonomic name of the organism.	Use "Severe acute respiratory syndrome coronavirus 2". This value is provided in the template.	Severe acute respiratory syndrome coronavirus 2		organism			
GENEPIO:0001644	Covid-19		Sample collection and processing	isolate	xs:token		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				Identifier of the specific isolate.	This identifier should be an unique, indexed, alpha-numeric ID within your laboratory. If submitted to the INSDC, the "isolate" name is propagated throughtout different databases. As such, structure the "isolate" name to be ICTV/INSDC compliant in the following format: "SARS-CoV-2/host/country/sampleID/date".	SARS-CoV-2/human/USA/CA-CDPH-001/2020		isolate			isolate
GENEPIO:0100284	Covid-19		Sample collection and processing	culture collection	xs:token							The name of the source collection and unique culture identifier. 	Format: "<institution-code>:[<collection-code>:]<culture_id>". For more information, see http://www.insdc.org/controlled-vocabulary-culturecollection-qualifier.	/culture_collection="ATCC:26370"					
GENEPIO:0001198	Covid-19		Sample collection and processing	purpose of sampling	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	recommended				The reason that the sample was collected.	The reason a sample was collected may provide information about potential biases in sampling strategy. Provide the purpose of sampling from the picklist in the template. Most likely, the sample was collected for Diagnostic testing. The reason why a sample was originally collected may differ from the reason why it was selected for sequencing, which should be indicated in the "purpose of sequencing" field. 	Diagnostic testing		purpose_of_sampling			
GENEPIO:0001200	Covid-19		Sample collection and processing	purpose of sampling details	xs:token							The description of why the sample was collected, providing specific details.	Provide an expanded description of why the sample was collected using free text. The description may include the importance of the sample for a particular public health investigation/surveillance activity/research question. If details are not available, provide a null value.	Screening of bat specimens in museum collections.					
GENEPIO:0100285	Covid-19		Sample collection and processing	sample plan name	xs:token							The name of the sample plan implemented for sample collection.	Provide the name and version of the sample plan outlining the sample strategy.	CanCOGeN Sampling Strategy 1.0					
GENEPIO:0100277	Covid-19		Sample collection and processing	sample collected in quarantine	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Whether the sample was collected from an individual in quarantine.	Whether a sample was collected under quarantine conditions (e.g. self-quarantining, medically isolated, staying at a quarantine hotel) can inform public health measure assessments. Use the picklist provided in the template.	Yes					
GENEPIO:0001211	Covid-19		Sample collection and processing	anatomical material	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					A substance obtained from an anatomical part of an organism e.g. tissue, blood.	Provide a descriptor if an anatomical material was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Blood	Specimen source	isolation_source;host_anatomical_material			isolation-source
GENEPIO:0001214	Covid-19		Sample collection and processing	anatomical part	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					An anatomical part of an organism e.g. oropharynx.	Provide a descriptor if an anatomical part was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Nasopharynx	Specimen source	isolation_source;host_anatomical_part			isolation-source
GENEPIO:0001216	Covid-19		Sample collection and processing	body product	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					A substance excreted/secreted from an organism e.g. feces, urine, sweat.	Provide a descriptor if a body product was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Feces	Specimen source	isolation_source;host_body_product			isolation-source
GENEPIO:0001223	Covid-19		Sample collection and processing	environmental material	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					A substance obtained from the natural or man-made environment e.g. soil, water, sewage.	Provide a descriptor if an environmental material was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Face mask	Specimen source	isolation_source;environmental_material			isolation-source
GENEPIO:0001232	Covid-19		Sample collection and processing	environmental site	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					An environmental location may describe a site in the natural or built environment e.g. contact surface, metal can, hospital, wet market, bat cave.	Provide a descriptor if an environmental site was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Hospital room	Specimen source	isolation_source;environmental_site			isolation-source
GENEPIO:0001234	Covid-19		Sample collection and processing	collection device	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The instrument or container used to collect the sample e.g. swab.	Provide a descriptor if a device was used for sampling. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Swab	Specimen source	isolation_source;collection_device			isolation-source
GENEPIO:0001241	Covid-19		Sample collection and processing	collection method	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The process used to collect the sample e.g. phlebotamy, necropsy.	Provide a descriptor if a collection method was used for sampling. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Bronchoalveolar lavage (BAL)	Specimen source	isolation_source;collection_method			isolation-source
GENEPIO:0001243	Covid-19		Sample collection and processing	collection protocol	xs:token							The name and version of a particular protocol used for sampling.	Free text.	SC2SamplingProtocol 1.2					
GENEPIO:0001253	Covid-19		Sample collection and processing	specimen processing	multiple		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	recommended				Any processing applied to the sample during or after receiving the sample.	Critical for interpreting data. Select all the applicable processes from the pick list. If virus was passaged, include information in "lab host", "passage number", and "passage method" fields. If none of the processes in the pick list apply, put "not applicable".	Virus passage					
GENEPIO:0100311	Covid-19		Sample collection and processing	specimen processing details	xs:token							Detailed information regarding the processing applied to a sample during or after receiving the sample.	Provide a free text description of any processing details applied to a sample.	25 swabs were pooled and further prepared as a single sample during library prep.					
GENEPIO:0001255	Covid-19		Sample collection and processing	lab host	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Name and description of the laboratory host used to propagate the source organism or material from which the sample was obtained.	Type of cell line used for propagation. Provide the name of the cell line using the picklist in the template. If not passaged, put "not applicable".	Vero E6 cell line					
GENEPIO:0001261	Covid-19		Sample collection and processing	passage number	xs:nonNegativeInteger							Number of passages.	Provide number of known passages. If not passaged, put "not applicable"	3		passage_number			
GENEPIO:0001264	Covid-19		Sample collection and processing	passage method	xs:token		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Description of how organism was passaged.	Free text. Provide a very short description (<10 words). If not passaged, put "not applicable".	AVL buffer+30%EtOH lysate received from Respiratory Lab. P3 passage in Vero-1 via bioreactor large-scale batch passage. P3 batch derived from the SP-2/reference lab strain.		passage_method			
GENEPIO:0001266	Covid-19		Sample collection and processing	biomaterial extracted	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The biomaterial extracted from samples for the purpose of sequencing.	Provide the biomaterial extracted from the picklist in the template.	RNA (total)					
GENEPIO:0100278	Covid-19		Sample collection and processing	data abstraction details	xs:token							A description of how any data elements were altered to preserve patient privacy.	If applicable, provide a description of how each data element was abstracted. 	Jitter added to publicly shared collection dates to prevent re-identifiability.					
GENEPIO:0001268	Covid-19			Host Information															
GENEPIO:0001386	Covid-19		Host Information	host (common name)	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The commonly used name of the host.	Common name or scientific name are required if there was a host. Both can be provided, if known. Use terms from the pick lists in the template. Common name e.g. human, bat. If the sample was environmental, put "not applicable.	Human					
GENEPIO:0001387	Covid-19		Host Information	host (scientific name)	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The taxonomic, or scientific name of the host.	Common name or scientific name are required if there was a host. Both can be provided, if known. Use terms from the pick lists in the template. Scientific name e.g. Homo sapiens, If the sample was environmental, put "not applicable	Homo sapiens	Host	host			host
GENEPIO:0001388	Covid-19		Host Information	host health state	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Health status of the host at the time of sample collection.	If known, select a descriptor from the pick list provided in the template.	Asymptomatic	Patient status	host_health_state			
GENEPIO:0001389	Covid-19		Host Information	host health status details	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Further details pertaining to the health or disease status of the host at time of collection.	If known, select a descriptor from the pick list provided in the template.	Hospitalized (ICU)					
GENEPIO:0001391	Covid-19		Host Information	host disease	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The name of the disease experienced by the host.	Select "COVID-19" from the pick list provided in the template.	COVID-19		host_disease			
GENEPIO:0001390	Covid-19		Host Information	host health outcome	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Disease outcome in the host.	If known, select a descriptor from the pick list provided in the template.	Recovered		host_disease_outcome			
GENEPIO:0001392	Covid-19		Host Information	host age	xs:decimal		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	recommended	0	130		Age of host at the time of sampling.	Enter the age of the host in years. If not available, provide a null value. If there is not host, put "Not Applicable".	79	Patient age	host_age			
GENEPIO:0001393	Covid-19		Host Information	host age unit	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	recommended				The unit used to measure the host age, in either months or years.	Indicate whether the host age is in months or years. Age indicated in months will be binned to the 0 - 9 year age bin. 	years					
GENEPIO:0001394	Covid-19		Host Information	host age bin	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	recommended				Age of host at the time of sampling, expressed as an age group.	Select the corresponding host age bin from the pick list provided in the template. If not available, provide a null value.	60 - 69					
GENEPIO:0001395	Covid-19		Host Information	host gender	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	recommended				The gender of the host at the time of sample collection.	Select the corresponding host gender from the pick list provided in the template. If not available, provide a null value. If there is no host, put "Not Applicable".	male	Gender	host_sex			
GENEPIO:0001396	Covid-19		Host Information	host residence geo_loc name (country)	select	geo_loc_name (country)	Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The country of residence of the host.	Select the country name from pick list provided in the template.	Canada					
GENEPIO:0100312		GECKO:0000061	Host Information	host ethnicity	xs:token							The self-identified ethnicity(ies) of the host.	If known, provide the self-identified ethnicity or ethnicities of the host as a free text description. This is highly sensitive information which must be treated respectfully and carefully when sharing. The information may have implications for equitable access and benefit sharing. Consult your privacy officer, data steward and/or cultural services representative.	Indigenous, European					
GENEPIO:0001398	Covid-19		Host Information	host subject ID	xs:token							A unique identifier by which each host can be referred to e.g. #131	Provide the host identifier. Should be a unique, user-defined identifier.	BCxy123		host_subject_id			
GENEPIO:0100281	Covid-19		Host Information	case ID	xs:token							The identifier used to specify an epidemiologically detected case of disease.	Provide the case identifer. The case ID greatly facilitates linkage between laboratory and epidemiological data. The case ID may be considered identifiable information. Consult the data steward before sharing.	ABCD1234					
GENEPIO:0001399	Covid-19		Host Information	symptom onset date	xs:date		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The date on which the symptoms began or were first noted.	ISO 8601 standard "YYYY-MM-DD".	2020-03-16					
GENEPIO:0001400	Covid-19		Host Information	signs and symptoms	multiple		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					A perceived change in function or sensation, (loss, disturbance or appearance) indicative of a disease, reported by a patient or clinician.	Select all of the symptoms experienced by the host from the pick list.	Cough, Fever, Chills					
GENEPIO:0001401	Covid-19		Host Information	pre-existing conditions and risk factors	multiple		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Patient pre-existing conditions and risk factors. Pre-existing condition: A medical condition that existed prior to the current infection. Risk Factor: A variable associated with an increased risk of disease or infection.	Select all of the pre-existing conditions and risk factors experienced by the host from the pick list. If the desired term is missing, contact the curation team.	Asthma					
GENEPIO:0001402	Covid-19		Host Information	complications	multiple		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Patient medical complications that are believed to have occurred as a result of host disease.	Select all of the complications experienced by the host from the pick list. If the desired term is missing, contact the curation team.	Acute Respiratory Failure					
GENEPIO:0001403	Covid-19			Host vaccination information															
GENEPIO:0001404	Covid-19		Host vaccination information	host vaccination status	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The vaccination status of the host (fully vaccinated, partially vaccinated, or not vaccinated).	Select the vaccination status of the host from the pick list.	Fully Vaccinated		prior_sars_cov_2_vaccination			
GENEPIO:0001406	Covid-19		Host vaccination information	number of vaccine doses received	xs:nonNegativeInteger							The number of doses of the vaccine recived by the host.	Record how many doses of the vaccine the host has received.	2					
GENEPIO:0100313	Covid-19		Host vaccination information	vaccination dose 1 vaccine name	xs:token							The name of the vaccine administered as the first dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the first dose by selecting a value from the pick list.	Pfizer-BioNTech (Comirnaty)					
GENEPIO:0100314	Covid-19		Host vaccination information	vaccination dose 1 vaccination date	xs:date							The date the first dose of a vaccine was administered.	Provide the date the first dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2021-03-01					
GENEPIO:0100315	Covid-19		Host vaccination information	vaccination dose 2 vaccine name	xs:token							The name of the vaccine administered as the second dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the second dose by selecting a value from the pick list.	Pfizer-BioNTech (Comirnaty)					
GENEPIO:0100316	Covid-19		Host vaccination information	vaccination dose 2 vaccination date	xs:date							The date the second dose of a vaccine was administered.	Provide the date the second dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2021-09-01					
GENEPIO:0100317	Covid-19		Host vaccination information	vaccination dose 3 vaccine name	xs:token							The name of the vaccine administered as the third dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the third dose by selecting a value from the pick list.	Pfizer-BioNTech (Comirnaty)					
GENEPIO:0100318	Covid-19		Host vaccination information	vaccination dose 3 vaccination date	xs:date							The date the third dose of a vaccine was administered.	Provide the date the third dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2021-12-30		date_of_sars_cov_2_vaccination			
GENEPIO:0100319	Covid-19		Host vaccination information	vaccination dose 4 vaccine name	xs:token							The name of the vaccine administered as the fourth dose of a vaccine regimen.	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the fourth dose by selecting a value from the pick list.	Pfizer-BioNTech (Comirnaty)					
GENEPIO:0100320	Covid-19		Host vaccination information	vaccination dose 4 vaccination date	xs:date							The date the fourth dose of a vaccine was administered.	Provide the date the fourth dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2022-01-15					
