class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_GISAID	EXPORT_NCBI_BIOSAMPLE_SARS-COV-2_WWS	EXPORT_NCBI_SRAGenomeTrakr	EXPORT_NCBI_SRA	EXPORT_VirusSeq_Portal
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001189	geo loc name (city)	geo_loc_name_city	WhitespaceMinimizedString										The city of origin of the sample.	Provide the city name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/gaz	Vancouver					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100436	geo loc name (site)	geo_loc_name_site	WhitespaceMinimizedString										The name of a specific geographical location e.g. Credit River (rather than river).	Provide the name of the specific geographical site using a specific noun (a word that names a certain place, thing).	Credit River					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100309	geo loc latitude	geo_loc_latitude	WhitespaceMinimizedString										The latitude coordinates of the geographical location of sample collection.	Provide latitude coordinates if available. Do not use the centre of the city/region/province/state/country or the location of your agency as a proxy, as this implicates a real location and is misleading. Specify as degrees latitude in format "d[d.dddd] N|S".	38.98 N					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100310	geo loc longitude	geo_loc_longitude	WhitespaceMinimizedString										The longitude coordinates of the geographical location of sample collection.	Provide longitude coordinates if available. Do not use the centre of the city/region/province/state/country or the location of your agency as a proxy, as this implicates a real location and is misleading. Specify as degrees longitude in format "d[dd.dddd] W|E".	77.11 W					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100919	watershed shapefile availability	watershed_shapefile_availability	WatershedShapefileAvailabilityMenu	NullValueMenu									The availability status of a shapefile descriping the catchment contributing to a watershed.	Select a value from the picklist to describe whether or not a watershed shapefile would be available upon request.	watershed shapefile available					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100920	watershed shapefile filename	watershed_shapefile_filename	WhitespaceMinimizedString										The name of the watershed shapefile.	Provide the shapefile filename corresponding to the watershed from which the sample was taken. If there are multiple files associated with the watershed, provide all names separated by commas.	siteAD17.shp, siteAD17.kml					
WastewaterSARS-CoV-2	Sample collection and processing	GENEPIO:0001191	organism	organism	OrganismMenu	NullValueMenu		TRUE	TRUE						Taxonomic name of the organism.	Provide the official nomenclature for the organism present in the sample. For SARS-CoV-2, use "Severe acute respiratory syndrome coronavirus 2" provided in the picklist.	Severe acute respiratory syndrome coronavirus 2		ww_surv_target_1			
WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001191	organism	organism	WhitespaceMinimizedString	NullValueMenu		TRUE	TRUE						Taxonomic name of the organism.	Provide the official nomenclature for the organism(s) present in the sample. Multiple organisms can be entered, separated by semicolons. Avoid abbreviations. Search for taxonomic names here: ncbi.nlm.nih.gov/taxonomy.	Vibrio cholerae		ww_surv_target_1			
WastewaterAMR	Sample collection and processing	GENEPIO:0001191	organism	organism	WhitespaceMinimizedString	NullValueMenu		TRUE		TRUE					Taxonomic name of the organism.	Provide the official nomenclature for the organism(s) present in the sample if AMR profiles are assigned to organisms. Multiple organisms can be entered, separated by semicolons. Avoid abbreviations. Search for taxonomic names here: ncbi.nlm.nih.gov/taxonomy.	Vibrio cholerae		ww_surv_target_1			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001198	purpose of sampling	purpose_of_sampling	PurposeOfSamplingMenu	NullValueMenu		TRUE	TRUE						The reason that the sample was collected.	The reason a sample was collected may provide information about potential biases in sampling strategy. Provide the purpose of sampling from the picklist in the template. Most likely, the sample was collected for Public health surveillance. The reason why a sample was originally collected may differ from the reason why it was selected for sequencing, which should be indicated in the "purpose of sequencing" field.	Public health surveillance		purpose_of_ww_sampling			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100877	scale of sampling	scale_of_sampling	ScaleOfSamplingMenu	NullValueMenu				TRUE					The range of locations or entities sampled expressed in general terms.	Provide the scale of wastewater sampling by selecting a value from the picklist.	Community-level surveillance		purpose_of_ww_sampling			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001179	sample received date	sample_received_date	date	NullValueMenu						{today}			The date on which the sample was received.	Provide the sample received date in ISO 8601 format, i.e. "YYYY-MM-DD".	2020-03-28					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001174	sample collection start date	sample_collection_start_date	date	NullValueMenu			TRUE			{today}			The date on which the sample was collected, or sampling began for a continuous sample.	If your sample is a continuous sample please use this field to capture your start date. Sample collection date is critical for surveillance and many types of analyses. Required granularity includes year, month and day. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2020-03-16					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0101071	sample collection end date	sample_collection_end_date	date	NullValueMenu				TRUE	{sample_collection_start_date}	{today}			The date on which sample collection ended for a continuous sample.	Provide the date that sample collection ended in ISO 8601 format i.e. YYYY-MM-DD	2020-03-18					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100763	sample processing date	sample_processing_date	date	NullValueMenu						{today}			The date on which the sample was processed.	Provide the sample processed date in ISO 8601 format, i.e. "YYYY-MM-DD". The sample may be collected and processed (e.g. filtered, extraction) on the same day, or on different dates.	2020-03-16					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0101072	sample collection start time	sample_collection_start_time	time	NullValueMenu				TRUE					The time at which sample collection began.	Provide this time in ISO 8601 24hr format, in your local time.	17:15 PST					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0101073	sample collection end time	sample_collection_end_time	time	NullValueMenu				TRUE					The time at which sample collection ended.	Provide this time in ISO 8601 24hr format, in your local time.	19:15 PST					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100765	sample collection time of day	sample_collection_time_of_day	SampleCollectionTimeOfDayMenu	NullValueMenu									The descriptive time of day during which the sample was collected.	If known, select a value from the pick list. The time of sample processing matters especially for grab samples, as fecal concentration in wastewater fluctuates over the course of the day.	Morning					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100766	sample collection time duration value	sample_collection_time_duration_value	WhitespaceMinimizedString	NullValueMenu				TRUE					The amount of time over which the sample was collected.	Provide the numerical value of time.	4		ww_sample_duration			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100767	sample collection time duration unit	sample_collection_time_duration_unit	SampleCollectionDurationUnitMenu	NullValueMenu				TRUE					The units of the time duration measurement of sample collection.	Provide the units from the pick list.	Hour		ww_sample_duration			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100433	presampling activity	presampling_activity	PresamplingActivityMenu	NullValueMenu		TRUE							The activities or variables upstream of sample collection that may affect the sample.	If there was an activity that would affect the sample prior to collection (this is different than sample processing), provide the activities by selecting one or more values from the template pick list. If the information is unknown or cannot be provided, leave blank or provide a null value.	Agricultural activity					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100434	presampling activity details	presampling_activity_details	WhitespaceMinimizedString	NullValueMenu									The details of the activities or variables that affected the sample collected.	Briefly describe the presampling activities using free text.	Agricultural waste from large farm contributes waste to the site sampled.					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100768	sample volume measurement value	sample_volume_measurement_value	WhitespaceMinimizedString										The numerical value of the volume measurement of the sample collected.	Provide the numerical value of volume.	5		collection_volume			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100769	sample volume measurement unit	sample_volume_measurement_unit	SampleVolumeMeasurementUnitMenu	NullValueMenu									The units of the volume measurement of the sample collected.	Provide the units from the pick list.	mL		collection_volume			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100448	sample storage method	sample_storage_method	WhitespaceMinimizedString										The process used to store the sample.	Provide details of how the sample was stored from time of collection until time of processing. If there were issues with the cold chain storage, note those here.	The sample was placed in a tube in a cooler bag during transportation (~3 hours) to the lab site. At this point the sample was placed in storage medium and put in a -10C freezer until it was processed and extracted 5 days later.					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100449	sample storage medium	sample_storage_medium	WhitespaceMinimizedString										The medium in which a sample is stored.	Provide the name of the transport medium or storage medium used for this sample. If none was used, leave blank or write "None".	Cary-Blair transport medium					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0101014	sample storage duration value	sample_storage_duration_value	WhitespaceMinimizedString										The numerical value of the time measurement during which a sample is in storage.	Provide the numerical value of time.	5					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0101015	sample storage duration unit	sample_storage_duration_unit	SampleStorageDurationUnitMenu	NullValueMenu									The units of a measured sample storage duration.	Provide the units from the pick list.	Day					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001253	specimen processing	specimen_processing	SpecimenProcessingMenu	NullValueMenu		TRUE							Any processing applied to the sample during or after receiving the sample.	Select processes from the picklist that were applied to this sample.	Centrifugation		specimen_processing			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100311	specimen processing details	specimen_processing_details	WhitespaceMinimizedString										The details of the processing applied to the sample during or after receiving the sample.	Briefly describe the processes applied to the sample.	25 samples were pooled and further prepared as a single sample during library prep.		specimen_processing_details			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0101029	experimental protocol name	experimental_protocol_name	WhitespaceMinimizedString										The name of the overarching experimental methodology that was used to process the biomaterial.	Provide the name of the methodology used in your study. If available, provide a url link to the protocol.			ww_processing_protocol			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing		experimental protocol url	experimental_protocol_url	WhitespaceMinimizedString											Provide a url link to the protocol.			ww_processing_protocol			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001232	environmental site	environmental_site	EnvironmentalSiteMenu	NullValueMenu		TRUE		TRUE					An environmental location may describe a site in the natural or built environment e.g. contact surface, metal can, hospital, wet market, bat cave.	Provide a descriptor of the environmental site sampled. Use the picklist provided in the template. If not applicable, choose a null value.	Meat processing plant		ww_sample_site			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0101205	proximal environmental site	proximal_environmental_site	EnvironmentalSiteMenu			TRUE							An environmental location in the natural or built environment, that is proximal to a sampling location and which can impact a sample.	Provide a descriptor of the environmental site close to the sampling site. Use the picklist provided in the template. If not applicable, choose a null value.	Farm					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001223	environmental material	environmental_material	EnvironmentalMaterialMenu	NullValueMenu		TRUE		TRUE					A substance obtained from the natural or man-made environment e.g. soil, water, sewage.	Provide a descriptor of the environmental material sampled. Use the picklist provided in the template. If not applicable, choose a null value.	Raw wastewater		ww_sample_matrix			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100770	environmental material properties	environmental_material_properties	EnvironmentalMaterialPropertiesMenu	NullValueMenu		TRUE		TRUE					The properties, characteristics and qualities of a substance obtained from the natural or man-made environment.	Provide the environmental material properties by selecting descriptors from the pick list.	Stagnant					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100771	wastewater system type	wastewater_system_type	WastewaterSystemTypeMenu	NullValueMenu				TRUE					The type or classification of a wastewater system e.g. sanitary sewer, combined sewer, latrine	Provide the classification of the wastewater system by selecting from the provided pick list.	Sanitary sewer					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100921	experimental specimen role type	experimental_specimen_role_type	ExperimentalSpecimenRoleTypeMenu	NullValueMenu		TRUE							The type of role that the sample represents in the experiment.	Samples can play different types of roles in experiments. A sample under study in one experiment may act as a control or be a replicate of another sample in another experiment. This field is used to distinguish samples under study from controls, replicates, etc.  If the sample acted as an experimental control or a replicate, select a role type from the picklist. If the sample was not a control, leave blank or select "Not Applicable".	Positive experimental control					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100922	experimental control details	experimental_control_details	WhitespaceMinimizedString										The details regarding the experimental control contained in the sample.	Provide details regarding the nature of the reference strain used as a control, or what is was used to monitor.	Human coronavirus 229E (HCoV-229E) spiked in sample as process control					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001234	collection device	collection_device	CollectionDeviceMenu	NullValueMenu		TRUE							The instrument or container used to collect the sample e.g. grab sampler.	Provide a descriptor of the device used for sampling. Use the picklist provided in the template. If not applicable, choose a null value.	Automatic flow-proportional sampler					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001241	collection method	collection_method	CollectionMethodMenu	NullValueMenu		TRUE		TRUE					The process used to collect the sample.	Provide a descriptor of the collection method used for sampling. Use the picklist provided in the template. If not applicable, choose a null value.	Automatic composite sampling		ww_sample_type			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100939	nucleic acid extraction method	nucleic_acid_extraction_method	WhitespaceMinimizedString										The process used to extract genomic material from a sample.	Briefly describe the extraction method used.	Direct wastewater RNA capture and purification via the "Sewage, Salt, Silica and SARS-CoV-2 (4S)" method v4 found at https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-36wgq581ygk5/v4		extraction_method			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100772	nucleic acid extraction kit	nucleic_acid_extraction_kit	WhitespaceMinimizedString										The kit used to extract genomic material from a sample	Provide the name of the genomic extraction kit used.	QIAamp PowerFecal Pro DNA Kit					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100923	endogenous control details	endogenous_control_details	WhitespaceMinimizedString					TRUE					The description of the endogenous controls included when extracting a sample.	Provide the names of endogenous controls that were used as a reference during extraction. If relevant, include titers of these controls, as well as whether any controls were expected but not identified in the sample.			ww_endog_control_1			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100924	extraction recovery efficiency measurement value	extraction_recovery_efficiency_measurement_value	WhitespaceMinimizedString										The recovery efficiency of an extraction, calculated as the amount of a synthetic or endogenous compound identified in the sample relative to the amount expected.	Provide value as a percent.						
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100925	extraction recovery efficiency measurement method	extraction_recovery_efficiency_measurement_method	WhitespaceMinimizedString										The method by which recovery efficiency of an extraction was calculated.	Provide a brief description of how extraction recovery efficiency was measured or estimated.						
WastewaterPathogenAgnostic		GENEPIO:0100453	Strain and isolation information																			
WastewaterPathogenAgnostic	Strain and isolation information	GENEPIO:0100454	microbiological method	microbiological_method	WhitespaceMinimizedString					TRUE					The laboratory method used to grow, prepare, and/or isolate the microbial isolate.	Provide the name and version number of the microbiological method. The ID of the method is also acceptable if the ID can be linked to the laboratory that created the procedure.	MFHPB-30					
WastewaterPathogenAgnostic	Strain and isolation information	GENEPIO:0100455	strain	strain	WhitespaceMinimizedString										The strain identifier.	If the isolate represents or is derived from, a lab reference strain or strain from a type culture collection, provide the strain identifier.	K12					
WastewaterPathogenAgnostic	Strain and isolation information	GENEPIO:0100456	isolate ID	isolate_id	WhitespaceMinimizedString	NullValueMenu			TRUE						The user-defined identifier for the isolate, as provided by the laboratory that originally isolated the isolate.	Provide the isolate_ID created by the lab that first isolated the isolate (i.e. the original isolate ID). If the information is unknown or cannot be provided, leave blank or provide a null value. If only an alternate isolate ID is known (e.g. the ID from your lab, if your lab did not isolate the isolate from the original sample), make asure to include it in the alternative_isolate_ID field.	SA20131043					
WastewaterPathogenAgnostic	Strain and isolation information	GENEPIO:0100457	alternative isolate ID	alternative_isolate_id	WhitespaceMinimizedString			TRUE		TRUE					An alternative isolate_ID assigned to the isolate by another organization.	Alternative isolate IDs should be provided in the in a prescribed format which consists of the ID followed by square brackets (no space in between the ID and bracket) containing the short form of ID provider’s agency name i.e. ID[short organization code]. An example of a properly formatted alternative_isolate_identifier would be e.g. XYZ4567[CFIA]. Multiple alternative isolate IDs can be provided, separated by semi-colons.	GHIF3456[PHAC]; QWICK222[CFIA]					
WastewaterPathogenAgnostic	Strain and isolation information	GENEPIO:0100458	progeny isolate ID	progeny_isolate_id	WhitespaceMinimizedString										The identifier assigned to a progenitor isolate derived from an isolate that was directly obtained from a sample.	If your sequence data pertains to progeny of an original isolate, provide the progeny_isolate_ID.	SUB_ON_1526					
WastewaterPathogenAgnostic	Strain and isolation information	GENEPIO:0100461	isolated by	isolated_by	WhitespaceMinimizedString										The name of the agency, organization or institution with which the individual who performed the isolation procedure is affiliated.	Provide the name of the agency, organization or institution that isolated the original isolate in full (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Public Health Agency of Canada (PHAC) [GENEPIO:0100551]					
WastewaterPathogenAgnostic	Strain and isolation information	GENEPIO:0100462	isolated by laboratory name	isolated_by_laboratory_name	WhitespaceMinimizedString										The specific laboratory affiliation of the individual who performed the isolation procedure.	Provide the name of the specific laboratory that that isolated the original isolate (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Topp Lab					
