Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples
	optional	host_disease_stat	xs:token								host disease status		disease name or Disease Ontology term {text}|{termLabel} {[termID]}
	optional	host_dry_mass	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	host dry mass		{float} {unit}
	optional	host_genotype	xs:token								host genotype		{text}
	optional	host_height	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	host height		{float} {unit}
	optional	host_infra_specific_name	xs:token								host infra-specific name		{text}
	optional	host_infra_specific_rank	xs:token								host infra-specific rank		{text}
	optional	host_length	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	host length		{float} {unit}
	optional	host_life_stage	xs:token								host life stage		{text}
	optional	host_phenotype	xs:token								host phenotype		{text};{termLabel} {[termID]}
	optional	host_symbiont	xs:token								observed host symbionts		{text}
	optional	host_tot_mass	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	host total mass		{float} {unit}
	optional	host_wet_mass	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	host wet mass		{float} {unit}
	optional	mechanical_damage	xs:token								mechanical damage		damage type {text}; body site {text}
	optional	mineral_nutr_regm	xs:token								mineral nutrient regimen		mineral nutrient name {text}; mineral nutrient amount {value} {unit}; treatment interval and duration {Rn/start_time/end_time/duration} 
	optional	misc_param	xs:token								miscellaneous parameter		parameter name {text}; measurement value {float} {unit}
	optional	non_min_nutr_regm	xs:token								non-mineral nutrient regimen		non-mineral nutrient name {text}; non-mineral nutrient amount {value} {unit}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	organism_count	xs:token								organism count		organism name {text}; measurement value {value} {unit}; enumeration [qPCR|ATP|MPN|other]
	optional	oxy_stat_samp	select								oxygenation status of sample		enumeration
	optional	perturbation	xs:token								perturbation		perturbation type name {text}; perturbation interval and duration {Rn/start_time/end_time/duration}
	optional	pesticide_regm	xs:token								pesticide regimen		pesticide name {text}; pesticide amount {value} {unit}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	ph_regm	xs:token								pH regimen		{float};{Rn/start_time/end_time/duration}
	optional	plant_growth_med	xs:token								plant growth medium		{termLabel} {[termID]} or [husk|other artificial liquid medium|other artificial solid medium|peat moss|perlite|pumice|sand|soil|vermiculite|water]
	optional	plant_product	xs:token								plant product		{text}
	optional	plant_sex	select								plant sex		enumeration
	optional	radiation_regm	xs:token								radiation regimen		radiation type name {text}; radiation amount {value} {unit}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	rainfall_regm	xs:token								rainfall regimen		measurement value {value} {unit}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	root_cond	xs:token								rooting conditions		{PMID}|{DOI}|{URL}|{text}
	optional	root_med_carbon	xs:token								rooting medium carbon		carbon source name {text}; measurement value {float} {unit}
	optional	root_med_macronutr	xs:token								rooting medium macronutrients		macronutrient name {text}; measurement value {float} {unit}
	optional	root_med_micronutr	xs:token								rooting medium micronutrients		micronutrient name {text}; measurement value {float} {unit}
	optional	root_med_ph	xs:decimal								rooting medium pH		{float}
	optional	root_med_regl	xs:token								rooting medium regulators		regulator name {text}; measurement value {float} {unit}
	optional	root_med_solid	xs:token								rooting medium solidifier		{text}
	optional	root_med_suppl	xs:token								rooting medium organic supplements		supplement name {text}; measurement value {float} {unit}
	optional	salt_regm	xs:token								salt regimen		salt name {text}; salt amount {value} {unit}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	samp_capt_status	select								sample capture status		enumeration
	optional	samp_dis_stage	select								sample disease stage		enumeration
	optional	samp_salinity	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	sample salinity		{float} {unit}
	optional	season_environment	xs:token								seasonal environment		seasonal environment name {text}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	standing_water_regm	xs:token								standing water regimen		standing water type {text}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	temp	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	temperature		{float} {unit}
	optional	tiss_cult_growth_med	xs:token								tissue culture growth media		{PMID}|{DOI}|{URL}|{text}
	optional	water_temp_regm	xs:token								water temperature regimen		measurement value {value} {unit}; treatment interval and duration {Rn/start_time/end_time/duration}
	investigation_type	chemical speciation/mapping											
	investigation_type	genome											
	investigation_type	imaging- electron											
	investigation_type	imaging- ion											
	investigation_type	imaging- light											
	investigation_type	lipidome											
	investigation_type	metabolome											
	investigation_type	molecular structure											
	investigation_type	organic matter											
	investigation_type	proteome											
	investigation_type	transcriptome											
	growth_facil	experimental_garden											
	growth_facil	field											
	growth_facil	field_incubation											
	growth_facil	greenhouse											
	growth_facil	growth_chamber											
	growth_facil	lab_incubation											
	growth_facil	open_top_chamber											
	growth_facil	other											
	store_cond	fresh											
	store_cond	frozen											
	store_cond	lyophilized											
	store_cond	other											
	samp_store_temp	-20 degree Celsius											
	samp_store_temp	-80 degree Celsius											
	samp_store_temp	4 degree Celsius											
	samp_store_temp	other											
	samp_store_temp	room temperature											
	plant_struc	fine_roots											
	plant_struc	leaf											
	plant_struc	rhizodeposits											
	plant_struc	root											
	plant_struc	stem											
	plant_struc	whole_plant											
	biol_stat	breeder's line											
	biol_stat	clonal selection											
	biol_stat	hybrid											
	biol_stat	inbred line											
	biol_stat	mutant											
	biol_stat	natural											
	biol_stat	semi-natural											
	biol_stat	wild											
	biotic_relationship	commensalism											
	biotic_relationship	free living											
	biotic_relationship	mutualism											
	biotic_relationship	parasitism											
	biotic_relationship	symbiotic											
	growth_habit	erect											
	growth_habit	prostrate											
	growth_habit	semi-erect											
	growth_habit	spreading											
	oxy_stat_samp	aerobic											
	oxy_stat_samp	anaerobic											
	oxy_stat_samp	anoxic											
	oxy_stat_samp	facultative											
	oxy_stat_samp	microaerophilic											
	oxy_stat_samp	microanaerobe											
	oxy_stat_samp	obligate aerobe											
	oxy_stat_samp	obligate anaerobe											
	plant_sex	Androdioecious											
	plant_sex	Androecious											
	plant_sex	Androgynomonoecious											
	plant_sex	Andromonoecious											
	plant_sex	Bisexual											
	plant_sex	Dichogamous											
	plant_sex	Diclinous											
	plant_sex	Dioecious											
	plant_sex	Gynodioecious											
	plant_sex	Gynoecious											
	plant_sex	Gynoecious											
	plant_sex	Gynomonoecious											
	plant_sex	Gynomonoecious											
	plant_sex	Hermaphroditic											
	plant_sex	Hermaphroditic											
	plant_sex	Imperfect											
	plant_sex	Monoclinous											
	plant_sex	Monoecious											
	plant_sex	Perfect											
	plant_sex	Polygamodioecious											
	plant_sex	Polygamomonoecious											
	plant_sex	Polygamous											
	plant_sex	Protandrous											
	plant_sex	Protogynous											
	plant_sex	Subandroecious											
	plant_sex	Subdioecious											
	plant_sex	Subgynoecious											
	plant_sex	Synoecious											
	plant_sex	Trimonoecious											
	plant_sex	Trioecious											
	plant_sex	Unisexual											
	samp_capt_status	active surveillance in response to an outbreak											
	samp_capt_status	active surveillance not initiated by an outbreak											
	samp_capt_status	farm sample											
	samp_capt_status	market sample											
	samp_capt_status	other											
	samp_dis_stage	dissemination											
	samp_dis_stage	growth and reproduction											
	samp_dis_stage	infection											
	samp_dis_stage	inoculation											
	samp_dis_stage	other											
	samp_dis_stage	penetration											
