class_name	slot_group	slot_group_fr	slot_uri	title	name	title_fr	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	description_fr	comments	comments_fr	examples	examples_fr	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001142	SRA accession	sra_accession	Numéro d’accès à l’archive des séquences	WhitespaceMinimizedString									{UPPER_CASE}	The Sequence Read Archive (SRA) identifier linking raw read data, methodological metadata and quality control metrics submitted to the INSDC.	Identifiant de l’archive des séquences reliant les données de séquences brutes de lecture, les métadonnées méthodologiques et les mesures de contrôle de la qualité soumises à INSDC	Store the accession assigned to the submitted "run". NCBI-SRA accessions start with SRR.	Conservez le numéro d’accès attribué au « cycle » soumis. Les accès NCBI-SRA commencent par SRR.	SRR11177792	SRR11177792		SRA Accession	PH_SRA_ACCESSION		
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001145	GenBank accession	genbank_accession	Numéro d’accès à GenBank	WhitespaceMinimizedString									{UPPER_CASE}	The GenBank identifier assigned to the sequence in the INSDC archives.	Identifiant GenBank attribué à la séquence dans les archives INSDC	Store the accession returned from a GenBank submission (viral genome assembly).	Conservez le numéro d’accès renvoyé avec la soumission de GenBank (assemblage du génome viral).	MN908947.3	MN908947.3		GenBank Accession 	GenBank accession		
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001147	GISAID accession	gisaid_accession	Numéro d’accès à la GISAID	WhitespaceMinimizedString									{UPPER_CASE}	The GISAID accession number assigned to the sequence.	Numéro d’accès à la GISAID attribué à la séquence	Store the accession returned from the GISAID submission.	Conservez le numéro d’accès renvoyé avec la soumission de la GISAID.	EPI_ISL_436489	EPI_ISL_436489		GISAID Accession (if known)	SUBMISSIONS - GISAID Accession ID	GISAID_accession	GISAID accession
			GENEPIO:0001150	Sample collection and processing																							
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001153	sample collected by	sample_collected_by	Échantillon prélevé par	SampleCollectedByMenu	NullValueMenu			TRUE						The name of the agency that collected the original sample.	Nom de l’organisme ayant prélevé l’échantillon original	The name of the sample collector should be written out in full, (with minor exceptions) and be consistent across multple submissions e.g. Public Health Agency of Canada, Public Health Ontario, BC Centre for Disease Control. The sample collector specified is at the discretion of the data provider (i.e. may be hospital, provincial public health lab, or other).	Le nom du collecteur d’échantillons doit être écrit au long (à quelques exceptions près) et être cohérent dans plusieurs soumissions, par exemple Agence de la santé publique du Canada, Santé publique Ontario, Centre de contrôle des maladies de la Colombie-Britannique.	BC Centre for Disease Control	Centre de contrôle des maladies de la Colombie-Britannique	Originating lab	Lab Name	CUSTOMER	collected_by	sample collected by
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001156	sample collector contact email	sample_collector_contact_email	Adresse courriel du collecteur d’échantillons	WhitespaceMinimizedString								^\S+@\S+\.\S+$		The email address of the contact responsible for follow-up regarding the sample.	Adresse courriel de la personne-ressource responsable du suivi concernant l’échantillon	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	L’adresse courriel peut représenter une personne ou un laboratoire spécifique (p. ex., johnnyblogs@lab.ca, or RespLab@lab.ca).	RespLab@lab.ca	RespLab@lab.ca			sample collector contact email		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001158	sample collector contact address	sample_collector_contact_address	Adresse du collecteur d’échantillons	WhitespaceMinimizedString										The mailing address of the agency submitting the sample.	Adresse postale de l’organisme soumettant l’échantillon	The mailing address should be in the format: Street number and name, City, Province/Territory, Postal Code, Country	Le format de l’adresse postale doit être le suivant : Numéro et nom de la rue, ville, province/territoire, code postal et pays.	655 Lab St, Vancouver, British Columbia, V5N 2A2, Canada	655, rue Lab, Vancouver (Colombie-Britannique)  V5N 2A2 Canada	Address		sample collector contact address		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001159	sequence submitted by	sequence_submitted_by	Séquence soumise par	SequenceSubmittedByMenu	NullValueMenu			TRUE						The name of the agency that generated the sequence.	Nom de l’organisme ayant généré la séquence	The name of the agency should be written out in full, (with minor exceptions) and be consistent across multple submissions. If submitting specimens rather than sequencing data, please put the "National Microbiology Laboratory (NML)".	Le nom de l’agence doit être écrit au long (à quelques exceptions près) et être cohérent dans plusieurs soumissions. Si vous soumettez des échantillons plutôt que des données de séquençage, veuillez inscrire « Laboratoire national de microbiologie (LNM) ».	Public Health Ontario (PHO)	Santé publique Ontario (SPO)	Submitting lab	Sequencing Centre	PH_SEQUENCING_CENTRE	sequenced_by	sequence submitted by
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001165	sequence submitter contact email	sequence_submitter_contact_email	Adresse courriel du soumissionnaire de séquence	WhitespaceMinimizedString										The email address of the contact responsible for follow-up regarding the sequence.	Adresse courriel de la personne-ressource responsable du suivi concernant l’échantillon	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	L’adresse courriel peut représenter une personne ou un laboratoire spécifique (p. ex., johnnyblogs@lab.ca, or RespLab@lab.ca).	RespLab@lab.ca	RespLab@lab.ca			sequence submitter contact email		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001167	sequence submitter contact address	sequence_submitter_contact_address	Adresse du soumissionnaire de séquence	WhitespaceMinimizedString										The mailing address of the agency submitting the sequence.	Adresse postale de l’organisme soumettant l’échantillon	The mailing address should be in the format: Street number and name, City, Province/Territory, Postal Code, Country	Le format de l’adresse postale doit être le suivant : Numéro et nom de la rue, ville, province/territoire, code postal et pays.	123 Sunnybrooke St, Toronto, Ontario, M4P 1L6, Canada	123, rue Sunnybrooke, Toronto (Ontario)  M4P 1L6 Canada	Address		sequence submitter contact address		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001174	sample collection date	sample_collection_date	Date de prélèvement de l’échantillon	date	NullValueMenu			TRUE		2019-10-01	{today}			The date on which the sample was collected.	Date à laquelle l’échantillon a été prélevé	Sample collection date is critical for surveillance and many types of analyses. Required granularity includes year, month and day. If this date is considered identifiable information, it is acceptable to add "jitter" by adding or subtracting a calendar day (acceptable by GISAID). Alternatively, ”received date” may be used as a substitute. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	La date de prélèvement des échantillons est essentielle pour la surveillance et de nombreux types d’analyses. La granularité requise comprend l’année, le mois et le jour. Si cette date est considérée comme un renseignement identifiable, il est acceptable d’y ajouter une « gigue » en ajoutant ou en soustrayant un jour civil. La « date de réception » peut également servir de date de rechange. La date doit être fournie selon le format standard ISO 8601 : « AAAA-MM-JJ ».	2020-03-16	2020-03-16	Collection date	Patient Sample Collected Date	HC_COLLECT_DATE	sample collection date	sample collection date
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001177	sample collection date precision	sample_collection_date_precision	Précision de la date de prélèvement de l’échantillon	SampleCollectionDatePrecisionMenu	NullValueMenu			TRUE						The precision to which the "sample collection date" was provided.	Précision avec laquelle la « date de prélèvement de l’échantillon » a été fournie	Provide the precision of granularity to the "day", "month", or "year" for the date provided in the "sample collection date" field. The "sample collection date" will be truncated to the precision specified upon export; "day" for "YYYY-MM-DD", "month" for "YYYY-MM", or "year" for "YYYY".	Fournissez la précision de la granularité au « jour », au « mois » ou à « l’année » pour la date fournie dans le champ « Date de prélèvement de l’échantillon ». Cette date sera tronquée selon la précision spécifiée lors de l’exportation : « jour » pour « AAAA-MM-JJ », « mois » pour « AAAA-MM » ou « année » pour « AAAA ».	year	année		Precision of date collected	HC_TEXT2		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001179	sample received date	sample_received_date	Date de réception de l’échantillon	date	NullValueMenu					{sample_collection_date}	{today}			The date on which the sample was received.	Date à laquelle l’échantillon a été reçu	ISO 8601 standard "YYYY-MM-DD".	La date doit être fournie selon le format standard ISO 8601 : « AAAA-MM-JJ ».	2020-03-20	2020-03-20			sample received date		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001181	geo_loc_name (country)	geo_loc_name_country	nom_lieu_géo (pays)	GeoLocNameCountryMenu	NullValueMenu			TRUE						The country where the sample was collected.	Pays d’origine de l’échantillon	Provide the country name from the controlled vocabulary provided.	Fournissez le nom du pays à partir du vocabulaire contrôlé fourni.	Canada	Canada	Location	Patient Country	HC_COUNTRY	geo_loc_name	geo_loc_name (country)
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001185	geo_loc_name (state/province/territory)	geo_loc_name_state_province_territory	nom_lieu_géo (état/province/territoire)	GeoLocNameStateProvinceTerritoryMenu	NullValueMenu			TRUE						The province/territory where the sample was collected.	Province ou territoire où l’échantillon a été prélevé	Provide the province/territory name from the controlled vocabulary provided.	Fournissez le nom de la province ou du territoire à partir du vocabulaire contrôlé fourni.	Saskatchewan	Saskatchewan		Patient Province	HC_PROVINCE	geo_loc_name	geo_loc_name (state/province/territory)
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001189	geo_loc_name (city)	geo_loc_name_city	nom_géo_loc (ville)	WhitespaceMinimizedString										The city where the sample was collected.	Ville où l’échantillon a été prélevé	Provide the city name. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	Fournissez le nom de la ville. Utilisez ce service de recherche pour trouver le terme normalisé : https://www.ebi.ac.uk/ols/ontologies/gaz.	Medicine Hat	Medicine Hat		Patient City	geo_loc_name (city)		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001191	organism	organism	Organisme	OrganismMenu	NullValueMenu			TRUE						Taxonomic name of the organism.	Nom taxonomique de l’organisme	Use "Severe acute respiratory syndrome coronavirus 2". This value is provided in the template.	Utilisez « coronavirus du syndrome respiratoire aigu sévère 2 ». Cette valeur est fournie dans le modèle.	Severe acute respiratory syndrome coronavirus 2	Coronavirus du syndrome respiratoire aigu sévère 2		Pathogen	HC_CURRENT_ID	organism	organism
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001195	isolate	isolate	Isolat	WhitespaceMinimizedString	NullValueMenu			TRUE						Identifier of the specific isolate.	Identifiant de l’isolat spécifique	Provide the GISAID virus name, which should be written in the format “hCov-19/CANADA/2 digit provincial ISO code-xxxxx/year”.	Fournissez le nom du virus de la GISAID, qui doit être écrit dans le format « hCov-19/CANADA/code ISO provincial à 2 chiffres-xxxxx/année ».	hCov-19/CANADA/BC-prov_rona_99/2020	hCov-19/CANADA/BC-prov_rona_99/2020	Virus name	GISAID Virus Name	RESULT - CANCOGEN_SUBMISSIONS	isolate;GISAID_virus_name	isolate;fasta header name
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001198	purpose of sampling	purpose_of_sampling	Objectif de l’échantillonnage	PurposeOfSamplingMenu	NullValueMenu			TRUE						The reason that the sample was collected.	Motif de prélèvement de l’échantillon	The reason a sample was collected may provide information about potential biases in sampling strategy. Provide the purpose of sampling from the picklist in the template. Most likely, the sample was collected for diagnostic testing. The reason why a sample was originally collected may differ from the reason why it was selected for sequencing, which should be indicated in the "purpose of sequencing" field. 	La raison pour laquelle un échantillon a été prélevé peut fournir des renseignements sur les biais potentiels de la stratégie d’échantillonnage. Choisissez l’objectif de l’échantillonnage à partir de la liste déroulante du modèle. Il est très probable que l’échantillon ait été prélevé en vue d’un test diagnostique. La raison pour laquelle un échantillon a été prélevé à l’origine peut différer de la raison pour laquelle il a été sélectionné aux fins de séquençage, ce qui doit être indiqué dans le champ « Objectif du séquençage ».	Diagnostic testing	Tests diagnostiques		Reason for Sampling	HC_SAMPLE_CATEGORY	purpose_of_sampling	purpose of sampling
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001200	purpose of sampling details	purpose_of_sampling_details	Détails de l’objectif de l’échantillonnage	WhitespaceMinimizedString	NullValueMenu			TRUE						The description of why the sample was collected, providing specific details.	Détails précis concernant le motif de prélèvement de l’échantillon	Provide an expanded description of why the sample was collected using free text. The description may include the importance of the sample for a particular public health investigation/surveillance activity/research question. If details are not available, provide a null value.	Fournissez une description détaillée de la raison pour laquelle l’échantillon a été prélevé en utilisant du texte libre. La description peut inclure l’importance de l’échantillon pour une enquête, une activité de surveillance ou une question de recherche particulière dans le domaine de la santé publique. Si les détails ne sont pas disponibles, fournissez une valeur nulle.	The sample was collected to investigate the prevalence of variants associated with mink-to-human transmission in Canada. 	L’échantillon a été prélevé pour étudier la prévalence des variants associés à la transmission du vison à l’homme au Canada.		Details on the Reason for Sampling	PH_SAMPLING_DETAILS	description	purpose of sampling details
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001204	NML submitted specimen type	nml_submitted_specimen_type	Type d’échantillon soumis au LNM	NmlSubmittedSpecimenTypeMenu				TRUE						The type of specimen submitted to the National Microbiology Laboratory (NML) for testing.	Type d’échantillon soumis au Laboratoire national de microbiologie (LNM) aux fins d’analyse	This information is required for upload through the CNPHI LaSER system. Select the specimen type from the pick list provided. If sequence data is being submitted rather than a specimen for testing, select “Not Applicable”.	Ces renseignements sont requis pour le téléchargement à l’aide du système LaSER du RCRSP. Choisissez le type d’échantillon à partir de la liste de sélection fournie. Si les données de séquences sont soumises plutôt qu’un échantillon aux fins d’analyse, sélectionnez « Sans objet ».	swab	Écouvillon		Specimen Type	PH_SPECIMEN_TYPE		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001209	Related specimen relationship type	related_specimen_relationship_type	Type de relation de l’échantillon lié	RelatedSpecimenRelationshipTypeMenu										The relationship of the current specimen to the specimen/sample previously submitted to the repository.	Relation entre l’échantillon actuel et celui précédemment soumis au dépôt	Provide the tag that describes how the previous sample is related to the current sample being submitted from the pick list provided, so that the samples can be linked and tracked in the system.	Fournissez l’étiquette qui décrit comment l’échantillon précédent est lié à l’échantillon actuel soumis à partir de la liste de sélection fournie afin que les échantillons puissent être liés et suivis dans le système.	Specimen sampling methods testing	Test des méthodes de prélèvement des échantillons		Related Specimen ID;Related Specimen Relationship Type	PH_RELATED_RELATIONSHIP_TYPE		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001211	anatomical material	anatomical_material	Matière anatomique	AnatomicalMaterialMenu	NullValueMenu		TRUE	TRUE						A substance obtained from an anatomical part of an organism e.g. tissue, blood.	Substance obtenue à partir d’une partie anatomique d’un organisme (p. ex., tissu, sang)	Provide a descriptor if an anatomical material was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Fournissez un descripteur si une matière anatomique a été échantillonnée. Utilisez la liste de sélection fournie dans le modèle. Si un terme souhaité ne figure pas dans la liste de sélection, veuillez envoyer un courriel à l’adresse emma_griffiths@sfu.ca. Si ce n’est pas le cas, ne laissez pas le champ vide. Choisissez une valeur nulle. 	Blood	Sang	Specimen source	Anatomical Material	PH_ISOLATION_SITE_DESC	isolation_source;anatomical_material	anatomical material
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001214	anatomical part	anatomical_part	Partie anatomique	AnatomicalPartMenu	NullValueMenu		TRUE	TRUE						An anatomical part of an organism e.g. oropharynx.	Partie anatomique d’un organisme (p. ex., oropharynx)	Provide a descriptor if an anatomical part was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Fournissez un descripteur si une partie anatomique a été échantillonnée. Utilisez la liste de sélection fournie dans le modèle. Si un terme souhaité ne figure pas dans la liste de sélection, veuillez envoyer un courriel à l’adresse emma_griffiths@sfu.ca. Si ce n’est pas le cas, ne laissez pas le champ vide. Choisissez une valeur nulle. 	Nasopharynx (NP)	Nasopharynx (NP)	Specimen source	Anatomical Site	PH_ISOLATION_SITE	isolation_source;anatomical_part	anatomical part
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001216	body product	body_product	Produit corporel	BodyProductMenu	NullValueMenu		TRUE	TRUE						A substance excreted/secreted from an organism e.g. feces, urine, sweat.	Substance excrétée ou sécrétée par un organisme (p. ex., selles, urine, sueur)	Provide a descriptor if a body product was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Fournissez un descripteur si un produit corporel a été échantillonné. Utilisez la liste de sélection fournie dans le modèle. Si un terme souhaité ne figure pas dans la liste de sélection, veuillez envoyer un courriel à l’adresse emma_griffiths@sfu.ca. Si ce n’est pas le cas, ne laissez pas le champ vide. Choisissez une valeur nulle. 	Feces	Selles	Specimen source	Body Product	PH_SPECIMEN_SOURCE_DESC	isolation_source;body_product	body product
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001223	environmental material	environmental_material	Matériel environnemental	EnvironmentalMaterialMenu	NullValueMenu		TRUE	TRUE						A substance obtained from the natural or man-made environment e.g. soil, water, sewage.	Substance obtenue à partir de l’environnement naturel ou artificiel (p. ex., sol, eau, eaux usées)	Provide a descriptor if an environmental material was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Fournissez un descripteur si une matière environnementale a été échantillonnée. Utilisez la liste de sélection fournie dans le modèle. Si un terme souhaité ne figure pas dans la liste de sélection, veuillez envoyer un courriel à l’adresse emma_griffiths@sfu.ca. Si ce n’est pas le cas, ne laissez pas le champ vide. Choisissez une valeur nulle. 	Face mask	Masque	Specimen source	Environmental Material	PH_ENVIRONMENTAL_MATERIAL	isolation_source;environmental_material	environmental material
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001232	environmental site	environmental_site	Site environnemental	EnvironmentalSiteMenu	NullValueMenu		TRUE	TRUE						An environmental location may describe a site in the natural or built environment e.g. contact surface, metal can, hospital, wet market, bat cave.	Emplacement environnemental pouvant décrire un site dans l’environnement naturel ou artificiel (p. ex., surface de contact, boîte métallique, hôpital, marché traditionnel de produits frais, grotte de chauves-souris)	Provide a descriptor if an environmental site was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Fournissez un descripteur si un site environnemental a été échantillonné. Utilisez la liste de sélection fournie dans le modèle. Si un terme souhaité ne figure pas dans la liste de sélection, veuillez envoyer un courriel à l’adresse emma_griffiths@sfu.ca. Si ce n’est pas le cas, ne laissez pas le champ vide. Choisissez une valeur nulle. 	Production Facility	Installation de production	Specimen source	Environmental Site	PH_ENVIRONMENTAL_SITE	isolation_source;environmental_site	environmental site
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001234	collection device	collection_device	Dispositif de prélèvement	CollectionDeviceMenu	NullValueMenu		TRUE	TRUE						The instrument or container used to collect the sample e.g. swab.	Instrument ou contenant utilisé pour prélever l’échantillon (p. ex., écouvillon)	Provide a descriptor if a device was used for sampling. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Fournissez un descripteur si un dispositif de prélèvement a été utilisé pour l’échantillonnage. Utilisez la liste de sélection fournie dans le modèle. Si un terme souhaité ne figure pas dans la liste de sélection, veuillez envoyer un courriel à l’adresse emma_griffiths@sfu.ca. Si ce n’est pas le cas, ne laissez pas le champ vide. Choisissez une valeur nulle. 	Swab	Écouvillon	Specimen source	Specimen Collection Matrix	PH_SPECIMEN_TYPE_ORIG	isolation_source;collection_device	collection device
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001241	collection method	collection_method	Méthode de prélèvement	CollectionMethodMenu	NullValueMenu		TRUE	TRUE						The process used to collect the sample e.g. phlebotomy, necropsy.	Processus utilisé pour prélever l’échantillon (p. ex., phlébotomie, autopsie)	Provide a descriptor if a collection method was used for sampling. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value. 	Fournissez un descripteur si une méthode de prélèvement a été utilisée pour l’échantillonnage. Utilisez la liste de sélection fournie dans le modèle. Si un terme souhaité ne figure pas dans la liste de sélection, veuillez envoyer un courriel à l’adresse emma_griffiths@sfu.ca. Si ce n’est pas le cas, ne laissez pas le champ vide. Choisissez une valeur nulle. 	Bronchoalveolar lavage (BAL)	Lavage bronchoalvéolaire (LBA)	Specimen source	Collection Method	COLLECTION_METHOD	isolation_source;collection_method	collection method
