class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_GISAID	EXPORT_NCBI_BIOSAMPLE_SARS_COV_2_WWS	EXPORT_NCBI_BIOSAMPLE	EXPORT_NCBI_SRA	EXPORT_ENA_GSC_MIxS_WW_ERC00023	EXPORT_ENA_SEWAGE_ERC00036	EXPORT_iMicroSeq_Portal
iMicroSeq	Sample collection	GENEPIO:0001156	sample collected by contact email	sample_collected_by_contact_email	WhitespaceMinimizedString	NullValueMenu							^\S+@\S+\.\S+$		The email address of the contact responsible for follow-up regarding the sample.	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	WaterTester@facility.ca							
iMicroSeq	Sample collection	GENEPIO:0100762	sample collection data steward name	sample_collection_data_steward_name	WhitespaceMinimizedString	NullValueMenu									The name of the individual responsible for the data governance, (meta)data usage and distribution of the sample.	Provide the name of the sample collection data steward.	Joe Bloggs							
iMicroSeq	Sample collection	GENEPIO:0001174	sample collection start date	sample_collection_start_date	date				TRUE			{today}			The date on which the sample was collected, or sampling began for a continuous sample.	Sample collection date is critical for surveillance and many types of analyses. For samples taken at a single point in time, use this field to capture the date the sample was collected. If your sample was collected continuously over an interval, use this field to capture the sample collection start date. Required granularity includes year, month and day. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2020-03-16	Collection date	collection_date	collection_date		collection date	collection date	sample collection date
iMicroSeq	Sample collection		sample collection start date null reason	sample_collection_start_date_null_reason	NullValueMenu				TRUE															
iMicroSeq	Sample collection	GENEPIO:0101071	sample collection end date	sample_collection_end_date	date					TRUE	{sample_collection_start_date}	{today}			The date on which sample collection ended for a continuous sample.	Provide the date that sample collection ended in ISO 8601 format i.e. YYYY-MM-DD. 	2020-03-18							
iMicroSeq	Sample collection		sample collection end date null reason	sample_collection_end_date_null_reason	NullValueMenu					TRUE														
iMicroSeq	Sample collection	GENEPIO:0100766	sample collection time duration value	sample_collection_time_duration_value	integer					TRUE					The amount of time over which the sample was collected.	Provide the numerical value of time.	4		ww_sample_duration	ww_sample_duration				
iMicroSeq			sample collection time duration value null reason	sample_collection_time_duration_null_reason	string	NullValueMenu									To be populated if sample collection time duration value or unit is not provided. If populated "sample collection time duration null reason" or "unit" should be empty									
iMicroSeq	Sample collection	GENEPIO:0100767	sample collection time duration unit	sample_collection_time_duration_unit	SampleCollectionDurationUnitMenu	NullValueMenu				TRUE					The units of the time duration measurement of sample collection.	Provide the units from the pick list.	Hour		ww_sample_duration	ww_sample_duration				
iMicroSeq	Sample collection	GENEPIO:0001181	geo loc name (country)	geo_loc_name_country	GeoLocNameCountryMenu	NullValueMenu			TRUE						The country of origin of the sample.	If known, select a value from the pick list.	Canada	Location	geo_loc_name	geo_loc_name		geographic location (country and/or sea)	geographic location (country and/or sea)	geo_loc_name (country)
iMicroSeq	Sample collection	GENEPIO:0001185	geo loc name (state/province/territory)	geo_loc_name_state_province_territory	GeoLocNameStateProvinceTerritoryMenu	NullValueMenu			TRUE						The state/province/territory of origin of the sample.	Provide the state/province/territory name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/ga	Ontario		geo_loc_name	geo_loc_name		geographic location (region and locality)	geographic location (region and locality)	geo_loc_name (state/province/territory)
iMicroSeq	Sample collection	GENEPIO:0100436	geo loc name (site)	geo_loc_name_site	WhitespaceMinimizedString	NullValueMenu									The name of a specific geographical location e.g. Credit River (rather than river).	Provide the name of the specific geographical site using a specific noun (a word that names a certain place, thing).	Credit River					name of the sampling site	name of the sampling site	
iMicroSeq	Sample collection and processing	GENEPIO:0001189	geo loc name (city)	geo_loc_name_city	WhitespaceMinimizedString	NullValueMenu									The city of origin of the sample.	Provide the city name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/gaz	Vancouver		geo_loc_name	geo_loc_name				
iMicroSeq	Sample collection	GENEPIO:0100309	geo loc latitude	geo_loc_latitude	WhitespaceMinimizedString	NullValueMenu									The latitude coordinates of the geographical location of sample collection.	Provide latitude coordinates if available. Do not use the centre of the city/region/province/state/country or the location of your agency as a proxy, as this implicates a real location and is misleading. Specify as degrees latitude in format "d[d.dddd] N|S".	38.98 N					geographic location (latitude)	geographic location (latitude)	
iMicroSeq	Sample collection	GENEPIO:0100310	geo loc longitude	geo_loc_longitude	WhitespaceMinimizedString	NullValueMenu									The longitude coordinates of the geographical location of sample collection.	Provide longitude coordinates if available. Do not use the centre of the city/region/province/state/country or the location of your agency as a proxy, as this implicates a real location and is misleading. Specify as degrees longitude in format "d[dd.dddd] W|E".	77.11 W					geographic location (longitude)	geographic location (longitude)	
iMicroSeq	Sample collection	GENEPIO:0001232	environmental site	environmental_site	EnvironmentalSiteMenu	NullValueMenu		TRUE		TRUE					An environmental location may describe a site in the natural or built environment e.g. hospital, wet market, lake.	Provide a descriptor of the environmental site sampled. Use the picklist provided in the template. If not applicable, choose a null value.	Influent pump station [ENVO:03501465]	Specimen source	isolation_source;ww_sample_site;description	isolation_source;ww_sample_site;description		local environmental context		environmental site
iMicroSeq	Sample collection	GENEPIO:0101205	proximal environmental site	proximal_environmental_site	EnvironmentalSiteMenu	NullValueMenu		TRUE							An environmental location in the natural or built environment, that is proximal to a sampling location and which can impact a sample.	Provide a descriptor of the environmental site close to the sampling site. Use the picklist provided in the template. If not applicable, choose a null value.	Aquaculture farm [ENVO:03600074]							
iMicroSeq	Sample collection	GENEPIO:0102171	presampling activity ID	presampling_activity_id	WhitespaceMinimizedString	NullValueMenu									The user-defined identifier assigned to a specific event that occured prior to sample collection.	Store the ID for the relevant event prior to sample collection, which impacts the sample or sample collection process. For example, a flood event occuring in 2025 is the reason for these samples being collected.	Presampling event 12345							
iMicroSeq	Sample collection	GENEPIO:0102172	presampling activity date	presampling_activity_date	date										The date of the presampling event.	Provide the date of the presampling event. If this date was over a range provide the start date.	2025-01-01							
iMicroSeq	Sample collection		presampling activity date null reason	presampling_activity_date_null_reason	NullValueMenu																			
iMicroSeq	Sample collection	GENEPIO:0100433	presampling activity	presampling_activity	PresamplingActivityMenu	NullValueMenu		TRUE							The activities or variables prior to sample collection that may affect the sample.	If there was an activity that would affect the sample prior to collection (this is different than sample processing), provide the activities by selecting one or more values from the template pick list. If the information is unknown or cannot be provided, leave blank or provide a null value.	Agricultural activity [ENVO:01001442]		ww_pre_treatment;ww_sample_matrix	ww_pre_treatment;ww_sample_matrix		sample material processing		
iMicroSeq	Sample collection	GENEPIO:0100434	presampling activity details	presampling_activity_details	WhitespaceMinimizedString	NullValueMenu									The details of the activities or variables that affected the sample collected.	Briefly describe the presampling activities using free text.	Agricultural waste from large farm contributes waste to the site sampled.		description	description		sample material processing		
iMicroSeq	Sample collection	GENEPIO:0001234	collection device	collection_device	CollectionDeviceMenu	NullValueMenu		TRUE		TRUE					The instrument or container used to collect the sample e.g. grab sampler.	Provide a descriptor of the device used for sampling. Use the picklist provided in the template. If not applicable, choose a null value.	Grab sampler [GENEPIO:0100941]	Specimen source	isolation_source;ww_sample_type	isolation_source;ww_sample_type		sample collection device		collection device
iMicroSeq	Sample collection	GENEPIO:0001241	collection method	collection_method	CollectionMethodMenu	NullValueMenu		TRUE		TRUE					The process used to collect the sample.	Provide a descriptor of the collection method used for sampling. Use the picklist provided in the template. If not applicable, choose a null value.	Grab sampling [GENEPIO:0100953]	Specimen source	isolation_source;ww_sample_type	isolation_source;ww_sample_type		sample collection method		collection method
iMicroSeq	Sample collection	GENEPIO:0001223	environmental material	environmental_material	EnvironmentalMaterialMenu	NullValueMenu		TRUE		TRUE					A substance obtained from the natural or man-made environment e.g. soil, water, sewage.	Provide a descriptor of the environmental material sampled. Use the picklist provided in the template. If not applicable, choose a null value.	Leachate [ENVO:00002141]	Specimen source	isolation_source;ww_sample_matrix;description	isolation_source;ww_sample_matrix;description		environmental medium;sewage type;wastewater type	sewage type	environmental material
iMicroSeq	Sample collection	GENEPIO:0100770	environmental material properties	environmental_material_properties	EnvironmentalMaterialPropertiesMenu	NullValueMenu		TRUE		TRUE					The properties, characteristics and qualities of a substance obtained from the natural or man-made environment.	Provide the environmental material properties by selecting descriptors from the pick list.	Fluid (stagnant) [GENEPIO:0101004]		description					
iMicroSeq	Sample collection	GENEPIO:0001211	anatomical material	anatomical_material	AnatomicalMaterialMenu	NullValueMenu		TRUE		TRUE					A substance obtained from an anatomical part of an organism e.g. tissue, blood.	An anatomical material is a substance taken from the body. If applicable, select the standardized term and ontology ID for the anatomical material from the picklist provided. Multiple values can be provided, separated by a semi-colon.	Tissue [UBERON:0000479]; Blood [UBERON:0000178]	isolation_source;anatomical_material	host_tissue_sampled;isolation_source					
iMicroSeq	Sample collection	GENEPIO:0001214	anatomical part	anatomical_part	AnatomicalPartMenu	NullValueMenu		TRUE		TRUE					An anatomical part of an organism e.g. oropharynx.	An anatomical part is a structure or location in the body. If applicable, select the standardized term and ontology ID for the anatomical material from the picklist provided. Multiple values can be provided, separated by a semi-colon.	Fish vent [GENEPIO:0100902]	isolation_source;anatomical_part	isolation_source					
iMicroSeq	Sample collection	GENEPIO:0001216	body product	body_product	BodyProductMenu	NullValueMenu		TRUE		TRUE					A substance excreted/secreted from an organism e.g. feces, urine, sweat.	A body product is a substance produced by the body but meant to be excreted/secreted (i.e. not part of the body). If applicable, select the standardized term and ontology ID for the body product from the picklist provided. Multiple values can be provided, separated by a semi-colon.	Feces [UBERON:0001988]; Urine [UBERON:0001088]	isolation_source;body_product	host_body_product;isolation_source					
iMicroSeq	Sample processing	GENEPIO:0100921	experimental specimen role type	experimental_specimen_role_type	ExperimentalSpecimenRoleTypeMenu	NullValueMenu		TRUE							The type of role that the sample represents in the experiment.	Samples can play different types of roles in experiments. A sample under study in one experiment may act as a control or be a replicate of another sample in another experiment. This field is used to distinguish samples under study from controls, replicates, etc. If the sample acted as an experimental control or a replicate, select a role type from the picklist. If the sample was not a control, leave blank or select "Not Applicable".	Positive experimental control [GENEPIO:0101018]							
iMicroSeq	Sample processing	GENEPIO:0001253	specimen processing	specimen_processing	SpecimenProcessingMenu	NullValueMenu		TRUE		TRUE					Any processing applied to the sample during or after receiving the sample.	Select processes from the picklist that were applied to this sample.	Filtration [OBI:0302885]	Passage details/history		specimen_processing		sample material processing		
iMicroSeq	Sample processing	GENEPIO:0100311	specimen processing details	specimen_processing_details	WhitespaceMinimizedString	NullValueMenu									The details of the processing applied to the sample during or after receiving the sample.	Briefly describe the processes applied to the sample.	5 samples were pooled and further prepared as a single sample during library prep.			specimen_processing_details				
iMicroSeq		GENEPIO:0101029	experimental protocol name	experimental_protocol_name	WhitespaceMinimizedString	NullValueMenu									The name of the overarching experimental methodology that was used to process the biomaterial.	Provide the name of the methodology used in your study. 	Legionella Testing Protocol 2025							
iMicroSeq	Sample processing	GENEPIO:0102071	experimental protocol url	experimental_protocol_url	WhitespaceMinimizedString	NullValueMenu									A URL linking to detailed information or documentation about the experimental protocol. This URL should direct users to a source that provides the necessary details to reproduce the experiment that generated the dataset.	Provide the url of the experimental protocol.	https://github.com/ww-protocol		ww_processing_protocol	ww_processing_protocol				
iMicroSeq	Sample processing	GENEPIO:0100922	experimental control details	experimental_control_details	WhitespaceMinimizedString	NullValueMenu									The details regarding the experimental control contained in the sample.	Provide details regarding the nature of the reference strain used as a control, or what is was used to monitor.	Human coronavirus 229E (HCoV-229E) spiked in sample as process control.							
iMicroSeq	Sample processing	GENEPIO:0100939	nucleic acid extraction method	nucleic_acid_extraction_method	WhitespaceMinimizedString	NullValueMenu									The process used to extract genomic material from a sample.	Briefly describe the extraction method used.	Direct wastewater RNA capture and purification via the "Sewage, Salt, Silica and SARS-CoV-2 (4S)" method v4 found at https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-36wgq581ygk5/v4			extraction_method		nucleic acid extraction	nucleic acid extraction	
iMicroSeq	Sample collection and processing	GENEPIO:0100772	nucleic acid extraction kit	nucleic_acid_extraction_kit	WhitespaceMinimizedString	NullValueMenu									The kit used to extract genomic material from a sample	Provide the name of the genomic extraction kit used.	QIAamp PowerFecal Pro DNA Kit					nucleic acid extraction	nucleic acid extraction	
iMicroSeq	Sample processing	GENEPIO:0100923	endogenous control details	endogenous_control_details	WhitespaceMinimizedString	NullValueMenu				TRUE					The description of the endogenous controls included when extracting a sample.	Provide the names of endogenous controls that were used as a reference during extraction. If relevant, include titers of these controls, as well as whether any controls were expected but not identified in the sample.	Pepper Mild Mottle Virus (PMMV)			ww_endog_control_1				
iMicroSeq	Sample collection and processing	GENEPIO:0100690	available data types	available_data_types	AvailableDataTypesMenu	NullValueMenu		TRUE							The type of data that is available, that may or may not require permission to access.	This field provides information about additional data types that are available that may provide context for interpretation of the sequence data. Provide a term from the picklist for additional data types that are available. Additional data types may require special permission to access. Contact the data provider for more information.	Total coliform count [GENEPIO:0100729]							
iMicroSeq	Sample collection and processing	GENEPIO:0101023	available data type details	available_data_type_details	WhitespaceMinimizedString	NullValueMenu									Detailed information regarding other available data types.	Use this field to provide free text details describing other available data types that may provide context for interpreting genomic sequence data.	Pooled metagenomes containing extended spectrum beta-lactamase (ESBL) bacteria							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100778	populated area type	populated_area_type	PopulatedAreaTypeMenu	NullValueMenu									A type of area that is populated by humans to different degrees.	Provide the populated area type from the pick list.	Urban [GSSO:011080]							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100773	water catchment area human population measurement value	water_catchment_area_human_population_measurement_value	integer					TRUE					The numerical value of the human population measurement that contributes to the composition of water in a catchment area.	Where known, provide the numerical value of population size, i.e. the number of people.	10,500		ww_population	ww_population			population size of the catchment area	
iMicroSeq			water catchment area human population measurement value null reason	water_catchment_area_human_population_measurement_value_null_reason	NullValueMenu										To be populated if water catchment area human population measurement value or measurement range not provided. If populated "water catchment area human population range" and "water catchment area human population measurement value" are to be empty									
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100774	water catchment area human population range	water_catchment_area_human_population_range	WaterCatchmentAreaHumanPopulationRangeMenu	NullValueMenu									The human population range of the water catchment that contributes effluent to a wastewater site.	Where catchment population is not well known, provide an estimation of population size by selecting a value from the picklist.	1,000 - 10,000 people							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100780	presampling weather conditions	presampling_weather_conditions	WeatherConditionsMenu	NullValueMenu		TRUE		TRUE					Weather conditions prior to collection that may affect the sample.	Provide the weather conditions prior to sample collection by selecting a value from the picklist.	Drizzle [ENVO:03501420]							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100779	sampling weather conditions	sampling_weather_conditions	WeatherConditionsMenu	NullValueMenu		TRUE		TRUE					The state of the atmosphere at a place and time as regards heat, dryness, sunshine, wind, rain, etc.	Provide the weather conditions at the time of sample collection by selecting a value from the picklist.	Rain [ENVO:01001564]							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100911	precipitation measurement value	precipitation_measurement_value	WhitespaceMinimizedString	NullValueMenu				TRUE					The amount of water which has fallen during a precipitation process.	Provide the quantity of precipitation in the area leading up to the time of sample collection.	12							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100912	precipitation measurement unit	precipitation_measurement_unit	PrecipitationMeasurementUnitMenu	NullValueMenu				TRUE					The units of measurement for the amount of water which has fallen during a precipitation process.	Provide the units of precipitation by selecting a value from the pick list.	inch							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100440	water depth value	water_depth_value	WhitespaceMinimizedString	NullValueMenu									The depth of some water from which the sample was collected.	Provide the numerical depth only of water only (without units).	5							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0101025	water depth units	water_depth_units	DepthUnitsMenu	NullValueMenu									The units of measurement for water depth.	Provide the units of measurement for which the depth was recorded by selecting a value from the picklist.	meter (m) [UO:0000008]							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100697	sediment depth value	sediment_depth_value	WhitespaceMinimizedString	NullValueMenu									The depth of some sediment from which the sample was collected.	Provide the numerical depth only of the sediment (without units).	2							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0101026	sediment depth units	sediment_depth_units	DepthUnitsMenu	NullValueMenu									The units of measurement for sediment depth.	Provide the units of measurement for which the depth was recorded by selecting a value from the picklist.	meter (m) [UO:0000008]							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0001736	pH measurement value	ph_measurement_value	WhitespaceMinimizedString	NullValueMenu									The measured pH value indicating the acidity or basicity(alkalinity) of an aqueous solution.	Provide the numerical value of the measured pH.	7.4		ww_ph	ww_ph		pH		
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100905	total daily flow rate measurement value	total_daily_flow_rate_measurement_value	WhitespaceMinimizedString	NullValueMenu									The numerical value of a measured fluid flow rate over the course of a day.	Provide the numerical value of the measured flow rate.	10		ww_flow	ww_flow				
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100906	total daily flow rate measurement unit	total_daily_flow_rate_measurement_unit	TotalDailyFlowRateMeasurementUnitMenu	NullValueMenu									The units of a measured fluid flow rate over the course of a day.	Provide the units of the measured flow rate by selecting a value from the pick list.	million gallons per day (MGD)		ww_flow	ww_flow				
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100908	instantaneous flow rate measurement value	instantaneous_flow_rate_measurement_value	WhitespaceMinimizedString	NullValueMenu									The numerical value of a measured instantaneous fluid flow rate.	Provide the numerical value of the measured flow rate.	25			instantaneous_flow				
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100909	instantaneous flow rate measurement unit	instantaneous_flow_rate_measurement_unit	InstantaneousFlowRateMeasurementUnitMenu	NullValueMenu									The units of a measured instantaneous fluid flow rate.	Provide the units of the measured flow rate by selecting a value from the pick list.	cubic meter per hour (m^3/h)			instantaneous_flow				
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100783	turbidity measurement value	turbidity_measurement_value	WhitespaceMinimizedString	NullValueMenu				TRUE					The numerical value of a measurement of turbidity.	Provide the numerical value of the measured turbidity.	0.02							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100914	turbidity measurement unit	turbidity_measurement_unit	TurbidityMeasurementUnitMenu	NullValueMenu				TRUE					The units of a measurement of turbidity.	Provide the units of the measured turbidity by selecting a value from the pick list.	nephelometric turbidity unit (NTU)							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0000034	conductivity measurement value	conductivity_measurement_value	WhitespaceMinimizedString	NullValueMenu									The numerical value of a measurement of conductivity.	Provide the numerical value of the measured conductivity.	1412							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100803	conductivity measurement unit	conductivity_measurement_unit	ConductivityMeasurementUnit	NullValueMenu									The units of a measurement of conductivity.	Provide the units of the measured conductivity by selecting a value from the pick list.	millisiemens per centimeter [GENEPIO:0001759]							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100805	salinity measurement value	salinity_measurement_value	WhitespaceMinimizedString	NullValueMenu									The numerical value of a measurement of salinity.	Provide the numerical value of the measured salinity.	35							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100806	salinity measurement unit	salinity_measurement_unit	SalinityMeasurementUnitMenu	NullValueMenu									The units of a measurement of salinity.	Provide the units of the measured salinity by selecting a value from the pick list.	practical salinity unit (PSU)							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0000035	dissolved oxygen measurement value	dissolved_oxygen_measurement_value	WhitespaceMinimizedString	NullValueMenu									The numerical value of a measurement of dissolved oxygen.	Provide the numerical value of the measured dissolved oxygen.	5							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100784	dissolved oxygen measurement unit	dissolved_oxygen_measurement_unit	DissolvedOxygenMeasurementUnitMenu	NullValueMenu									The units of a measurement of dissolved oxygen.	Provide the units of the measured dissolved oxygen by selecting a value from the pick list.	part per million (ppm)							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100791	carbonaceous biochemical oxygen demand (CBOD) measurement value	carbonaceous_biochemical_oxygen_demand_cbod_measurement_value	WhitespaceMinimizedString	NullValueMenu									The numerical value of a measurement of carbonaceous biochemical oxygen demand (CBOD).	Provide the numerical value of the measured CBOD.	20							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100792	carbonaceous biochemical oxygen demand (CBOD) measurement unit	carbonaceous_biochemical_oxygen_demand_cbod_measurement_unit	CarbonaceousBiochemicalOxygenDemandCbodMeasurementUnitMenu	NullValueMenu									The units of a measurement of carbonaceous biochemical oxygen demand (CBOD).	Provide the units of the measured CBOD by selecting a value from the pick list.	milligram per liter (mg/L)							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100794	total suspended solids (TSS) measurement value	total_suspended_solids_tss_measurement_value	WhitespaceMinimizedString	NullValueMenu									The numerical value of total suspended solids of a sample.	Provide the numerical value of the measured TSS.	8		ww_total_suspended_solids	ww_total_suspended_solids		suspended solids		
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100795	total suspended solids (TSS) measurement unit	total_suspended_solids_tss_measurement_unit	TotalSuspendedSolidsTssMeasurementUnitMenu	NullValueMenu									The units associated with a value from a total suspended solids (TSS) test.	Provide the units of the measured TSS by selecting a value from the pick list.	percent (%)		ww_total_suspended_solids	ww_total_suspended_solids		suspended solids		
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100814	fecal contamination indicator	fecal_contamination_indicator	FecalContaminationIndicatorMenu	NullValueMenu				TRUE					A gene, virus, bacteria, or substance used to measure the quality of water in regards to fecal contamination.	If a fecal contamination indicator was measured, select it from the picklist.	crAssphage							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100815	fecal contamination value	fecal_contamination_value	WhitespaceMinimizedString	NullValueMenu				TRUE					The numerical value of a measurement of fecal contamination.	Provide the numerical value of the measured fecal contamination.	10							
iMicroSeq	Environmental conditions and measurements	GENEPIO:0100816	fecal contamination unit	fecal_contamination_unit	FecalContaminationUnitMenu	NullValueMenu				TRUE					The units of a measurement of fecal contamination.	Provide the units of the measured fecal contamination by selecting a value from the picklist.	PCR quantification cycle (Ct value) [UO:0010077]							
