label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
ethnicity	core field	xs:token		A category of people who identify with each other, usually on the basis of presumed similarities such as a common language, ancestry, history, society, culture, nation or social treatment within their residing area. https://en.wikipedia.org/wiki/List_of_contemporary_ethnic_groups	native american	Expected value: text recommend from Wikipedia list. Occurrence: m. Position: 23.0. This field is used in: 5 packages: human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000895					
foetal_health_stat	core field	xs:token		Specification of foetal health status, should also include abortion		Expected value: health status. Occurrence: 1. Position: 38.0. This field is used uniquely in: human-associated	MIXS:0000275					
geo_loc_name	environment field	xs:token	required	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	USA: Maryland, Bethesda	Expected value: country or sea name (INSDC or GAZ): region(GAZ), specific location name. Position: 8.0	MIXS:0000010					
gestation_state	core field	xs:token		Specification of the gestation state		Expected value: gestation state. Occurrence: 1. Position: 36.0. This field is used uniquely in: human-associated	MIXS:0000272					
host_age	core field	xs:token		Age of host at the time of sampling; relevant scale depends on species and study, e.g. Could be seconds for amoebae or centuries for trees	10 days	Expected value: value. Preferred unit: year, day, hour. Occurrence: 1. Position: 9.0. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0000255					
host_body_mass_index	core field	xs:token		Body mass index, calculated as weight/(height)squared	22 kilogram per square meter	Expected value: measurement value. Preferred unit: kilogram per square meter. Occurrence: 1. Position: 20.0. This field is used in: 5 packages: human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000317					
host_body_product	core field	xs:token		Substance produced by the body, e.g. Stool, mucus, where the sample was obtained from. For foundational model of anatomy ontology (fma) or Uber-anatomy ontology (UBERON) terms, please see https://www.ebi.ac.uk/ols/ontologies/fma or https://www.ebi.ac.uk/ols/ontologies/uberon	Portion of mucus [fma66938]	Expected value: FMA or UBERON. Occurrence: 1. Position: 16.0. This field is used in: 6 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000888					
host_body_site	core field	xs:token		Name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc...). For foundational model of anatomy ontology (fma) (v 4.11.0) or Uber-anatomy ontology (UBERON) (v releases/2014-06-15) terms, please see http://purl.bioontology.org/ontology/FMA or http://purl.bioontology.org/ontology/UBERON	gill [UBERON:0002535]	Expected value: FMA or UBERON. Occurrence: 1. Position: 15.0. This field is used in: 6 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000867					
host_body_temp	core field	xs:token		Core body temperature of the host when sample was collected	15 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Occurrence: 1. Position: 29.0. This field is used in: 6 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000274					
host_diet	core field	xs:token		Type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	herbivore	Expected value: diet type. Occurrence: m. Position: 20.0. This field is used in: 6 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000869					
host_family_relation	core field	xs:token		Familial relationships to other hosts in the same study; can include multiple relationships	offspring;Mussel25	Expected value: relationship type;arbitrary identifier. Occurrence: m. Position: 24.0. This field is used in: 6 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000872					
host_genotype	core field	xs:token		Observed genotype	C57BL/6	Expected value: genotype. Occurrence: 1. Position: 27.0. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0000365					
host_height	core field	xs:token		The height of subject	0.1 meter	Expected value: measurement value. Preferred unit: centimeter, millimeter, meter. Occurrence: 1. Position: 18.0. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0000264					
host_hiv_stat	core field	xs:token		HIV status of subject, if yes HAART initiation status should also be indicated as [YES or NO]	yes;yes	Expected value: HIV status;HAART initiation status. Occurrence: 1. Position: 18.0. This field is used uniquely in: human-associated	MIXS:0000265					
host_last_meal	core field	xs:token		Content of last meal and time since feeding; can include multiple values	corn feed;P2H	Expected value: content;duration. Occurrence: m. Position: 21.0. This field is used in: 6 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000870					
host_occupation	core field	xs:token		Most frequent job performed by subject	veterinary	Expected value: IHMC code. Occurrence: 1. Position: 24.0. This field is used in: 5 packages: human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000896					
host_phenotype	core field	xs:token		Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	elongated [PATO:0001154]	Expected value: PATO or HP. Occurrence: 1. Position: 28.0. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0000874					
host_pulse	core field	xs:token		Resting pulse, measured as beats per minute	65 beats per minute	Expected value: measurement value. Preferred unit: beats per minute. Occurrence: 1. Position: 35.0. This field is used in: 5 packages: human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000333					
host_sex	core field	select		Gender or physical sex of the host.	non-binary	Expected value: enumeration. Occurrence: 1. Position: 11.0. This field is used in: 6 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000811					
host_subject_id	core field	xs:token		A unique identifier by which each subject can be referred to, de-identified.	MPI123	Expected value: unique identifier. Occurrence: 1. Position: 8.0. This field is used in: 6 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000861					
host_symbiont	core field	xs:token		The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host.	flukeworms	Expected value: species name or common name. Occurrence: m. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0001298					
host_tot_mass	core field	xs:token		Total mass of the host at collection, the unit depends on host	2500 gram	Expected value: measurement value. Preferred unit: kilogram, gram. Occurrence: 1. Position: 17.0. This field is used in: 7 packages: host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, plant-associated	MIXS:0000263					
ihmc_medication_code	core field	xs:token		Can include multiple medication codes	810	Expected value: IHMC code. Occurrence: m. Position: 5.0. This field is used in: 5 packages: human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000884					
kidney_disord	core field	xs:token		History of kidney disorders; can include multiple disorders. The terms should be chosen from the DO (Human Disease Ontology) at http://www.disease-ontology.org, kidney disease (https://disease-ontology.org/?id=DOID:557).		Expected value: disorder name. Occurrence: m. Position: 40.0. This field is used uniquely in: human-associated	MIXS:0000277					
lat_lon	environment field	xs:token	required	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	50.586825 6.408977	Expected value: decimal degrees,  limit to 8 decimal points. Position: 5.0	MIXS:0000009					
maternal_health_stat	core field	xs:token		Specification of the maternal health status		Expected value: health status. Occurrence: 1. Position: 37.0. This field is used uniquely in: human-associated	MIXS:0000273					
medic_hist_perform	core field	xs:token		Whether full medical history was collected	TRUE	Expected value: true or false. Occurrence: 1. Position: 28.0. This field is used in: 5 packages: human-associated, human-gut, human-oral, human-skin, human-vaginal	MIXS:0000897					
misc_param	core field	xs:token		Any other measurement performed or parameter collected, that is not listed here	Bicarbonate ion concentration;2075 micromole per kilogram	Expected value: parameter name;measurement value. Occurrence: m. Position: 1.0. This field is used in: 16 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, wastewater_sludge, water	MIXS:0000752					
nose_throat_disord	core field	xs:token		History of nose-throat disorders; can include multiple disorders,  The terms should be chosen from the DO (Human Disease Ontology) at http://www.disease-ontology.org, lung disease (https://disease-ontology.org/?id=DOID:850), upper respiratory tract disease (https://disease-ontology.org/?id=DOID:974).		Expected value: disorder name. Occurrence: m. Position: 31.0. This field is used in: 2 packages: human-associated, human-oral	MIXS:0000270					
organism_count	core field	select		Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	total prokaryotes;3.5e7 cells per milliliter;qPCR	Expected value: organism name;measurement value;enumeration. Preferred unit: number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter. Occurrence: m. Position: 1.0. This field is used in: 16 packages: air, built environment, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000103					
oxy_stat_samp	core field	select		Oxygenation status of sample	aerobic	Expected value: enumeration. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000753					
perturbation	core field	xs:token		Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	Expected value: perturbation type name;perturbation interval and duration. Occurrence: m. Position: 1.0. This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000754					
pet_farm_animal	core field	xs:token		Specification of presence of pets or farm animals in the environment of subject, if yes the animals should be specified; can include multiple animals present	yes; 5 cats	Expected value: presence status;type of animal or pet. Occurrence: m. Position: 25.0. This field is used uniquely in: human-associated	MIXS:0000267					
pulmonary_disord	core field	xs:token		History of pulmonary disorders; can include multiple disorders. The terms should be chosen from the DO (Human Disease Ontology) at http://www.disease-ontology.org, lung disease (https://disease-ontology.org/?id=DOID:850).		Expected value: disorder name. Occurrence: m. Position: 30.0. This field is used uniquely in: human-associated	MIXS:0000269					
salinity	core field	xs:token		The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.	25 practical salinity unit	Expected value: measurement value. Preferred unit: practical salinity unit, percentage. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000183					
samp_salinity	core field	xs:token		Salinity is the total concentration of all dissolved salts in a liquid or solid (in the form of an extract obtained by centrifugation) sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater	1 milligram per liter	Expected value: measurement value. Preferred unit: milligram per liter, practical salinity unit, percentage. Occurrence: 1. Position: 1.0. This field is used in: 11 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, plant-associated, wastewater_sludge	MIXS:0000109					
samp_store_dur	core field	xs:token		Duration for which the sample was stored	P1Y6M	Expected value: duration. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000116					
samp_store_loc	core field	xs:token		Location at which sample was stored, usually name of a specific freezer/room	Freezer no:5	Expected value: location name. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000755					
samp_store_temp	core field	xs:token	required	Temperature at which sample was stored, e.g. -80 degree Celsius	-80 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000110					
smoker	core field	xs:token		Specification of smoking status	yes	Expected value: smoking status. Occurrence: 1. Position: 17.0. This field is used uniquely in: human-associated	MIXS:0000262					
study_complt_stat	core field	select		Specification of study completion status, if no the reason should be specified	no;non-compliance	Expected value: YES or NO due to (1)adverse event (2) non-compliance (3) lost to follow up (4)other-specify. Occurrence: 1. Position: 29.0. This field is used uniquely in: human-associated	MIXS:0000898					
temp	environment field	xs:token		Temperature of the sample at the time of sampling.	25 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Position: 40.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000113					
travel_out_six_month	core field	xs:token		Specification of the countries travelled in the last six months; can include multiple travels		Expected value: country name. Occurrence: m. Position: 26.0. This field is used uniquely in: human-associated	MIXS:0000268					
twin_sibling	core field	xs:token		Specification of twin sibling presence	yes	Expected value: presence status. Occurrence: 1. Position: 27.0. This field is used uniquely in: human-associated	MIXS:0000326					
urine_collect_meth	core field	xs:token		Specification of urine collection method	catheter	Expected value: enumeration. Occurrence: 1. Position: 43.0. This field is used uniquely in: human-associated	MIXS:0000899					
urogenit_tract_disor	core field	xs:token		History of urogenital tract disorders; can include multiple disorders. The terms should be chosen from the DO (Human Disease Ontology) at http://www.disease-ontology.org, urinary system disease (https://disease-ontology.org/?id=DOID:18).		Expected value: disorder name. Occurrence: m. Position: 41.0. This field is used uniquely in: human-associated	MIXS:0000278					
weight_loss_3_month	core field	xs:token		Specification of weight loss in the last three months, if yes should be further specified to include amount of weight loss	yes;5 kilogram	Expected value: weight loss specification;measurement value. Preferred unit: kilogram, gram. Occurrence: 1. Position: 22.0. This field is used uniquely in: human-associated	MIXS:0000295					
month	drug_usage											
week	drug_usage											
day	drug_usage											
hour	drug_usage											
female	host_sex											
hermaphrodite	host_sex											
non-binary	host_sex											
male	host_sex											
transgender	host_sex											
transgender (female to male)	host_sex											
transgender (male to female)	host_sex											
undeclared	host_sex											
ATP	organism_count											
MPN	organism_count											
other	organism_count											
aerobic	oxy_stat_samp											
anaerobic	oxy_stat_samp											
other	oxy_stat_samp											
non-compliance	study_complt_stat											
lost to follow up	study_complt_stat											
other-specify	study_complt_stat											
