Ontology ID	label	parent class	description	guidance	datatype	pattern	requirement	examples	source	capitalize	data status	max value	min value	EXPORT_soil_emsl_jgi_mg	section	order	title	column_number
mixs_modified:collection_date_inc	Incubation Collection Date	Metadata- MIxS Modified Required Where Applicable	Date the incubation was harvested/collected/ended. Only relevant for incubation samples.	Date should be formatted as YYYY(-MM(-DD)). Ie, 2021-04-15, 2021-04 and 2021 are all acceptable. | Pattern hint: {date, arbitrary precision}	xs:token	^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$	recommended	2021-04-15, 2021-04 and 2021 are all acceptable.						collection_date_inc				5.0
mixs_modified:collection_time_inc	Incubation Collection Time, GMT	Metadata- MIxS Modified Required Where Applicable	Time the incubation was harvested/collected/ended. Only relevant for incubation samples.	Time should be entered as HH:MM(:SS) in GMT. See here for a converter: https://www.worldtimebuddy.com/pst-to-gmt-converter | Pattern hint: {time, seconds optional}	xs:token	^([01]?\d|2[0-3]|24(?=:00?:00?$)):([0-5]\d)(:([0-5]\d))?$	recommended	13:33 or 13:33:55						collection_time_inc				6.0
mixs_modified:start_date_inc	Incubation Start Date	Metadata- MIxS Modified Required Where Applicable	Date the incubation was started. Only relevant for incubation samples.	Date should be formatted as YYYY(-MM(-DD)). Ie, 2021-04-15, 2021-04 and 2021 are all acceptable. | Pattern hint: {date, arbitrary precision}	xs:token	^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$	recommended	2021-04-15, 2021-04 and 2021 are all acceptable.						start_date_inc				7.0
mixs_modified:start_time_inc	Incubation Start Time, GMT	Metadata- MIxS Modified Required Where Applicable	Time the incubation was started. Only relevant for incubation samples.	Time should be entered as HH:MM(:SS) in GMT. See here for a converter: https://www.worldtimebuddy.com/pst-to-gmt-converter | Pattern hint: {time, seconds optional}	xs:token	^([01]?\d|2[0-3]|24(?=:00?:00?$)):([0-5]\d)(:([0-5]\d))?$	recommended	13:33 or 13:33:55						start_time_inc				8.0
mixs_modified:depth	depth, meters	Metadata- MIxS Modified Required Where Applicable	The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.	All depths must be reported in meters. Provide the numerical portion only. | Pattern hint: {float}| {float}-{float}	xs:token		required	0-0.1 OR 1						depth				9.0
mixs_modified:sample_processing	sample material processing	Metadata- MIxS Modified Required Where Applicable	A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.	Pattern hint: {text}	xs:token		recommended							sample_processing				10.0
mixs_modified:sample_collection_dev	sample collection device	Metadata- MIxS Modified Required Where Applicable	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	Report dimensions and details when applicable | Pattern hint: {termLabel} {[termID]}|{text}	xs:token		recommended							sample_collection_dev				11.0
mixs_modified:sample_collection_method	sample collection method	Metadata- MIxS Modified Required Where Applicable	The method employed for collecting the sample.	This can be a citation or description | Pattern hint: {PMID}|{DOI}|{URL}|{text}	xs:token		recommended							sample_collection_method				12.0
mixs_modified:filter_method	Filter Method	Metadata- MIxS Modified Required Where Applicable	Type of filter used or how the sample was filtered	Pattern hint: {text}	xs:token		recommended							filter_method				13.0
mixs_modified:sample_collected	amount or size of sample collected	Metadata- MIxS Modified Required Where Applicable	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.	This refers to the TOTAL amount of sample collected from the experiment. NOT the amount sent to each institution or collected for a specific analysis. | Pattern hint: {float} {unit}	xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$	recommended	5 grams; 10 mL						sample_collected				14.0
mixs_modified:experimental_factor_other	experimental factor- other	Metadata- MIxS Modified Required Where Applicable	Other details about your sample that you feel can't be accurately represented in the available columns.	Pattern hint: {text}	xs:token		recommended							experimental_factor_other				15.0
mixs_modified:other_treatment	other treatments	Metadata- MIxS Modified Required Where Applicable	Other treatments applied to your samples that are not applicable to the provided fields	Pattern hint: {text}	xs:token		recommended							other_treatment				25.0
mixs_modified:isotope_exposure	isotope exposure/addition	Metadata- MIxS Modified Required Where Applicable	List isotope exposure or addition applied to your sample.	Pattern hint: {termLabel} {[termID]}; {timestamp}	xs:token	^\S+.*\S+ \[ENVO:\d+\]; ([\+-]?\d{4}(?!\d{2}\b))((-?)((0[1-9]|1[0-2])(\3([12]\d|0[1-9]|3[01]))?|W([0-4]\d|5[0-2])(-?[1-7])?|(00[1-9]|0[1-9]\d|[12]\d{2}|3([0-5]\d|6[1-6])))([T\s]((([01]\d|2[0-3])((:?)[0-5]\d)?|24\:?00)([\.,]\d+(?!:))?)?(\17[0-5]\d([\.,]\d+)?)?([zZ]|([\+-])([01]\d|2[0-3]):?([0-5]\d)?)?)?)?$	recommended							isotope_exposure				26.0
mixs_modified:pH	pH	Metadata- MIxS Modified Required Where Applicable	pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	Pattern hint: {float}	xs:decimal		recommended	7.2				14.0	0.0	pH				27.0
MIXS:0000647	slope aspect	Metadata- MIxS Optional	The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., nw or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								slope_aspect				19.0
MIXS:0000639	history/agrochemical additions	Metadata- MIxS Optional	Addition of fertilizers, pesticides, etc. - amount and time of applications	Pattern hint: {text};{float} {unit};{timestamp}	xs:token	^\S+.*\S+;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+;([\+-]?\d{4}(?!\d{2}\b))((-?)((0[1-9]|1[0-2])(\3([12]\d|0[1-9]|3[01]))?|W([0-4]\d|5[0-2])(-?[1-7])?|(00[1-9]|0[1-9]\d|[12]\d{2}|3([0-5]\d|6[1-6])))([T\s]((([01]\d|2[0-3])((:?)[0-5]\d)?|24\:?00)([\.,]\d+(?!:))?)?(\17[0-5]\d([\.,]\d+)?)?([zZ]|([\+-])([01]\d|2[0-3]):?([0-5]\d)?)?)?)?$		roundup;5 milligram per liter;2018-06-21						agrochem_addition				20.0
MIXS:0000607	extreme_unusual_properties/Al saturation	Metadata- MIxS Optional	Aluminum saturation (esp. For tropical soils)		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								al_sat				21.0
MIXS:0000324	extreme_unusual_properties/Al saturation method	Metadata- MIxS Optional	Reference or method used in determining Al saturation	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									al_sat_meth				22.0
MIXS:0000644	mean annual precipitation	Metadata- MIxS Optional	The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								annual_precpt				24.0
MIXS:0000642	mean annual temperature	Metadata- MIxS Optional	Mean annual temperature		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$		12.5 degree Celsius						annual_temp				25.0
MIXS:0000318	history/crop rotation	Metadata- MIxS Optional	Whether or not crop is rotated, and if yes, rotation schedule	Pattern hint: {boolean};{Rn/start_time/end_time/duration}	xs:token			yes;R2/2017-01-01/2018-12-31/P6M						crop_rotation				26.0
MIXS:0001080	current land use	Metadata- MIxS Optional	Present state of sample site		select			conifers						cur_land_use				27.0
MIXS:0000312	current vegetation	Metadata- MIxS Optional	Vegetation classification from one or more standard classification systems, or agricultural crop	Pattern hint: {text}	xs:token									cur_vegetation				28.0
MIXS:0000314	current vegetation method	Metadata- MIxS Optional	Reference or method used in vegetation classification	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									cur_vegetation_meth				29.0
MIXS:0001085	drainage classification	Metadata- MIxS Optional	Drainage classification from a standard system such as the USDA system		select			well						drainage_class				30.0
MIXS:0000008	experimental factor	Metadata- MIxS Optional	Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI	Pattern hint: {termLabel} {[termID]}|{text}	xs:token			time series design [EFO:EFO_0001779]						experimental_factor				31.0
MIXS:0000320	history/extreme events	Metadata- MIxS Optional	Unusual physical events that may have affected microbial populations		xs:date									extreme_event				32.0
MIXS:0001083	soil_taxonomic/FAO classification	Metadata- MIxS Optional	Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups		select			Luvisols						fao_class				33.0
MIXS:0001086	history/fire	Metadata- MIxS Optional	Historical and/or physical evidence of fire		xs:date									fire				34.0
MIXS:0000319	history/flooding	Metadata- MIxS Optional	Historical and/or physical evidence of flooding		xs:date									flooding				35.0
MIXS:0000652	extreme_unusual_properties/heavy metals	Metadata- MIxS Optional	Heavy metals present in the sequenced sample and their concentrations. For multiple heavy metals and concentrations, add multiple copies of this field.	Pattern hint: {text};{float} {unit}	xs:token	^\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$		mercury;0.09 micrograms per gram						heavy_metals				36.0
MIXS:0000343	extreme_unusual_properties/heavy metals method	Metadata- MIxS Optional	Reference or method used in determining heavy metals	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									heavy_metals_meth				37.0
MIXS:0000321	horizon method	Metadata- MIxS Optional	Reference or method used in determining the horizon	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									horizon_meth				38.0
MIXS:0000329	link to classification information	Metadata- MIxS Optional	Link to digitized soil maps or other soil classification information	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									link_class_info				39.0
MIXS:0000328	link to climate information	Metadata- MIxS Optional	Link to climate resource	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									link_climate_info				40.0
MIXS:0000330	soil_taxonomic/local classification	Metadata- MIxS Optional	Soil classification based on local soil classification system	Pattern hint: {text}	xs:token									local_class				41.0
MIXS:0000331	soil_taxonomic/local classification method	Metadata- MIxS Optional	Reference or method used in determining the local soil classification	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									local_class_meth				42.0
MIXS:0000752	miscellaneous parameter	Metadata- MIxS Optional	Any other measurement performed or parameter collected, that is not listed here	Pattern hint: {text};{float} {unit}	xs:token	^\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$		Bicarbonate ion concentration;2075 micromole per kilogram						misc_param				43.0
MIXS:0000753	oxygenation status of sample	Metadata- MIxS Optional	Oxygenation status of sample		select			aerobic						oxy_stat_samp				44.0
MIXS:0000316	history/previous land use method	Metadata- MIxS Optional	Reference or method used in determining previous land use and dates	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									prev_land_use_meth				45.0
MIXS:0000315	history/previous land use	Metadata- MIxS Optional	Previous land use and dates	Pattern hint: {text};{timestamp}	xs:token	^\S+.*\S+;([\+-]?\d{4}(?!\d{2}\b))((-?)((0[1-9]|1[0-2])(\3([12]\d|0[1-9]|3[01]))?|W([0-4]\d|5[0-2])(-?[1-7])?|(00[1-9]|0[1-9]\d|[12]\d{2}|3([0-5]\d|6[1-6])))([T\s]((([01]\d|2[0-3])((:?)[0-5]\d)?|24\:?00)([\.,]\d+(?!:))?)?(\17[0-5]\d([\.,]\d+)?)?([zZ]|([\+-])([01]\d|2[0-3]):?([0-5]\d)?)?)?)?$								previous_land_use				46.0
MIXS:0001084	profile position	Metadata- MIxS Optional	Cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas		select			summit						profile_position				47.0
MIXS:0000645	mean seasonal precipitation	Metadata- MIxS Optional	The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								season_precpt				48.0
MIXS:0000643	mean seasonal temperature	Metadata- MIxS Optional	Mean seasonal temperature		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$		18 degree Celsius						season_temp				49.0
MIXS:0000646	slope gradient	Metadata- MIxS Optional	Commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								slope_gradient				50.0
MIXS:0001082	soil horizon	Metadata- MIxS Optional	Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath		select			A horizon						soil_horizon				51.0
MIXS:0000335	soil texture measurement	Metadata- MIxS Optional	The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								soil_text_measure				52.0
MIXS:0000336	soil texture method	Metadata- MIxS Optional	Reference or method used in determining soil texture	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									soil_texture_meth				53.0
MIXS:0000332	soil type	Metadata- MIxS Optional	Description of the soil type or classification. This field accepts terms under soil (http://purl.obolibrary.org/obo/ENVO_00001998).  Multiple terms can be separated by pipes.	Pattern hint: {termLabel} {[termID]}	xs:token	^\S+.*\S+ \[ENVO:\d+\]$		plinthosol [ENVO:00002250]						soil_type				54.0
MIXS:0000334	soil type method	Metadata- MIxS Optional	Reference or method used in determining soil series name or other lower-level classification	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									soil_type_meth				55.0
MIXS:0000113	temperature	Metadata- MIxS Optional	Temperature of the sample at the time of sampling.		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$		25 degree Celsius						temp				56.0
MIXS:0001081	history/tillage	Metadata- MIxS Optional	Note method(s) used for tilling		multiple			chisel						tillage				57.0
MIXS:0000185	water content	Metadata- MIxS Optional	Water content measurement		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								water_content				58.0
MIXS:0000323	water content method	Metadata- MIxS Optional	Reference or method used in determining the water content of soil	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									water_cont_soil_meth				59.0
MIXS:0001106	pH method	Metadata- MIxS Optional	Reference or method used in determining ph	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									ph_meth				61.0
MIXS:0000650	microbial biomass	Metadata- MIxS Optional	The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								microbial_biomass				62.0
MIXS:0000339	microbial biomass method	Metadata- MIxS Optional	Reference or method used in determining microbial biomass	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									micro_biomass_meth				63.0
MIXS:0000310	carbon/nitrogen ratio	Metadata- MIxS Optional	Ratio of amount or concentrations of carbon to nitrogen		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$		0.417361111						carb_nitro_ratio				64.0
MIXS:0000204	organic matter	Metadata- MIxS Optional	Concentration of organic matter		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$		1.75 milligram per cubic meter						org_matter				65.0
MIXS:0000205	organic nitrogen	Metadata- MIxS Optional	Concentration of organic nitrogen		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$		4 micromole per liter						org_nitro				66.0
MIXS:0000525	total carbon	Metadata- MIxS Optional	Total carbon content		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								tot_carb				67.0
MIXS:0000530	total nitrogen content	Metadata- MIxS Optional	Total nitrogen content of the sample		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								tot_nitro_content				68.0
MIXS:0000338	total nitrogen content method	Metadata- MIxS Optional	Reference or method used in determining the total nitrogen	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									tot_nitro_cont_meth				69.0
MIXS:0000533	total organic carbon	Metadata- MIxS Optional	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								tot_org_carb				70.0
MIXS:0000337	total organic carbon method	Metadata- MIxS Optional	Reference or method used in determining total organic carbon	Pattern hint: {PMID}|{DOI}|{URL}	xs:token									tot_org_c_meth				71.0
MIXS:0000117	total phosphorus	Metadata- MIxS Optional	Total phosphorus concentration in the sample, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$		0.03 milligram per liter						tot_phosp				72.0
MIXS:0000505	phosphate	Metadata- MIxS Optional	Concentration of phosphate		xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$		0.7 micromole per liter						phosphate				73.0
