name	title	text	menu_1	menu_2	menu_3	menu_4	menu_5	meaning	description
		kj	Kuanyama, Kwanyama (kj)						
		ku	Kurdish (ku)						
		lo	Lao (lo)						
		la	Latin (la)						
		lv	Latvian (lv)						
		li	Limburgan, Limburger, Limburgish (li)						
		ln	Lingala (ln)						
		lt	Lithuanian (lt)						
		lu	Luba-Katanga (lu)						
		lb	Luxembourgish, Letzeburgesch (lb)						
		mk	Macedonian (mk)						
		mg	Malagasy (mg)						
		ms	Malay (ms)						
		ml	Malayalam (ml)						
		mt	Maltese (mt)						
		gv	Manx (gv)						
		mi	Maori (mi)						
		mr	Marathi (mr)						
		mh	Marshallese (mh)						
		mn	Mongolian (mn)						
		na	Nauru (na)						
		nv	Navajo, Navaho (nv)						
		nd	North Ndebele (nd)						
		nr	South Ndebele (nr)						
		ng	Ndonga (ng)						
		ne	Nepali (ne)						
		no	Norwegian (no)						
		nb	Norwegian Bokmål (nb)						
		nn	Norwegian Nynorsk (nn)						
		oc	Occitan (oc)						
		oj	Ojibwa (oj)						
		or	Oriya (or)						
		om	Oromo (om)						
		os	Ossetian, Ossetic (os)						
		pi	Pali (pi)						
		ps	Pashto, Pushto (ps)						
		fa	Persian (fa)						
		pl	Polish (pl)						
		pt	Portuguese (pt)						
		pa	Punjabi, Panjabi (pa)						
		qu	Quechua (qu)						
		ro	Romanian, Moldavian, Moldovan (ro)						
		rm	Romansh (rm)						
		rn	Rundi (rn)						
		ru	Russian (ru)						
		se	Northern Sami (se)						
		sm	Samoan (sm)						
		sg	Sango (sg)						
		sa	Sanskrit (sa)						
		sc	Sardinian (sc)						
		sr	Serbian (sr)						
		sn	Shona (sn)						
		sd	Sindhi (sd)						
		si	Sinhala, Sinhalese (si)						
		sk	Slovak (sk)						
		sl	Slovenian (sl)						
		so	Somali (so)						
		st	Southern Sotho (st)						
		es	Spanish, Castilian (es)						
		su	Sundanese (su)						
		sw	Swahili (sw)						
		ss	Swati (ss)						
		sv	Swedish (sv)						
		tl	Tagalog (tl)						
		ty	Tahitian (ty)						
		tg	Tajik (tg)						
		ta	Tamil (ta)						
		tt	Tatar (tt)						
		te	Telugu (te)						
		th	Thai (th)						
		bo	Tibetan (bo)						
		ti	Tigrinya (ti)						
		to	Tonga (Tonga Islands) (to)						
		ts	Tsonga (ts)						
		tn	Tswana (tn)						
		tr	Turkish (tr)						
		tk	Turkmen (tk)						
		tw	Twi (tw)						
		ug	Uighur, Uyghur (ug)						
		uk	Ukrainian (uk)						
		ur	Urdu (ur)						
		uz	Uzbek (uz)						
		ve	Venda (ve)						
		vi	Vietnamese (vi)						
		vo	Volapük (vo)						
		wa	Walloon (wa)						
		cy	Welsh (cy)						
		wo	Wolof (wo)						
		xh	Xhosa (xh)						
		ii	Sichuan Yi, Nuosu (ii)						
		yi	Yiddish (yi)						
		yo	Yoruba (yo)						
		za	Zhuang, Chuang (za)						
		zu	Zulu (zu)						
